S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,168479.0,IQBAL MOHAMAD,INR,"1,049,031.5",Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla||CEO BBNDA at Baddi Distt.Solan (H.P.)||Executive Engineer (Project Division) BBNDA,2020_BBNDA_38695_1,BBNDA-06(PROJECT)NIT/3915-25 DATED 01.07.2020,"C/o Retaining wall at damaged portion near Hare krishna Gaushala, Bhud.",Jt. CEO,Internal,"EE, JC, AE I, AE II, JDM and Clerk",Satpal Singh,20-Aug-2020 03:02 PM,finsummary_57166.pdf (196.33 KB),Technical,Bid Opening Summary,Satpal Singh,07-Aug-2020 12:48 PM,technical_57166.pdf,Finance,Financial Summary,Satpal Singh,20-Aug-2020 02:56 PM,finance_57166.pdf,BOQ Comparative Chart,26-Sep-2020,"INR 1,127,999",120.0,pardeep kumar,06-Oct-2020 11:49 AM,IqbalAOC.pdf (363.00 KB),AOC,1,170393,AMANDEEP KALIA GOVT. CONTRACTOR,29-Jul-2020 11:14 AM,Rejected-Finance,Reject,20-Aug-2020 03:02 PM,JT. CEO,Internal,"EE, JC, AE I, AE II, JDM, Clerk",Satpal Singh,07-Aug-2020 12:52 PM,13-Aug-2020 10:00 AM,techsummary_57166.pdf (290.20 KB),AOC,500.0,EE BBNDA BADDI,BBNDA BADDI,No,Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla||CEO BBNDA at Baddi Distt.Solan (H.P.)||Executive Engineer (Project Division) BBNDA,BBNDA-06(PROJECT)NIT/3915-25 DATED 01.07.2020,2020_BBNDA_38695_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"C/o Retaining wall at damaged portion near Hare krishna Gaushala, Bhud.","C/o Retaining wall at damaged portion near Hare krishna Gaushala, Bhud.",Please refer Tender documents. ,NA ,"11,27,999",Civil Works - Others,RETAINING WALL ,Tender,90.0,120.0,BADDI,173205.0,NA ,NA ,NA ,BBNDA BADDI,No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT,EE BBNDA BADDI,BBNDA BADDI,1.0,FDR - Fixed Deposit,08-Jul-2020 05:00 PM,30-Jul-2020 11:00 AM,08-Jul-2020 05:00 PM,29-Jul-2020 05:00 PM,08-Jul-2020 05:00 PM ,29-Jul-2020 04:00 PM ,08-Jul-2020 05:00 PM,29-Jul-2020 05:00 PM,13-Aug-2020 10:00 AM,"22,600",No,fixed,,EE BBNDA BADDI,BBNDA BADDI,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,170205,Divya Construction Co.,28-Jul-2020 04:33 PM,Rejected-AOC,Reject,06-Oct-2020 11:50 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,170237,gobind sahib enterprises,28-Jul-2020 06:52 PM,Rejected-Finance,Reject,20-Aug-2020 03:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,170115,HARDEEP SINGH,28-Jul-2020 11:32 AM,Rejected-Finance,Reject,20-Aug-2020 03:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,168479,IQBAL MOHAMAD,20-Jul-2020 04:29 PM,Accepted-AOC,Accept,06-Oct-2020 11:50 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,170471,K.S BUILDERS,29-Jul-2020 01:34 PM,Rejected-Finance,Reject,20-Aug-2020 03:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,168809,mangla constructions,21-Jul-2020 07:46 PM,Rejected-Finance,Reject,20-Aug-2020 03:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,170501,MS RIDHIMA CONSTRUCTION COMPANY,29-Jul-2020 02:47 PM,Rejected-Finance,Reject,20-Aug-2020 03:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,170165,Naranjan Dass,28-Jul-2020 03:04 PM,Rejected-Finance,Reject,20-Aug-2020 03:02 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,170104,SHIV CHADURY,29-Jul-2020 12:54 PM,Rejected-AOC,Reject,06-Oct-2020 11:50 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
