Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
22-Oct-2020,"INR 1,652,223",60.0,SHASHI PAL,22-Oct-2020 02:31 PM,AOC.pdf (952.00 KB),Work Awarded,Er.S.K.Agnihotri EE,Internal,Supdt HDM AO,Sanjiv Kumar Agnihotri,09-Jul-2020 07:05 PM,finsummary_56628.pdf (598.27 KB),Er.S.K.Agnihotri EE,Internal,Supdt. HDM AO,Sanjiv Kumar Agnihotri,06-Jul-2020 04:44 PM,07-Jul-2020 10:30 AM,techsummary_56628.pdf (691.05 KB),PWD,2020_PWD_38331_1,Tender Notice Job6,C/O Barrian Boul Jhamber Lam Road km. 0/000 to 6/000,Technical,Supdt HDM AO,Sanjiv Kumar Agnihotri,06-Jul-2020 04:38 PM,technical_56628.pdf,1.0,165688.0,Ajay Raizada,03-Jul-2020 11:13 AM,Accepted-AOC,Lowest,22-Oct-2020 02:33 PM,1.0,165688.0,Ajay Raizada,INR,"1,652,223",Finance,Fin bid opened,Sanjiv Kumar Agnihotri,09-Jul-2020 07:01 PM,finance_56628.pdf,BOQ Comparative Chart,AOC,1.0,SS - Small Savings Instrument,"35,075",Yes,fixed,,Executive Engineer HPPWD Division Bangana,Bangna,PWD,Tender Notice Job6,2020_PWD_38331_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,C/O Barrian Boul Jhamber Lam Road km. 0/000 to 6/000,C/O 6.00 Meter span RCC Slab Slab Culvert at RD. 4/390 and 5/000,Please refer Tender documents. ,NA ,"18,38,351",Civil Works,NA ,Tender,120.0,60.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,24-Jun-2020 11:00 AM,04-Jul-2020 11:30 AM,24-Jun-2020 11:30 AM,03-Jul-2020 06:00 PM,NA ,NA ,24-Jun-2020 11:30 AM,03-Jul-2020 06:00 PM,07-Jul-2020 10:30 AM,500.0,Executive Engineer HPPWD Division Bangana,Bangana,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,165876.0,Ajmer Singh Govt. Contractor,03-Jul-2020 04:36 PM,Rejected-AOC,Higher side,22-Oct-2020 02:33 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in Schedule F),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,165797.0,Mukesh Kumar,03-Jul-2020 12:50 PM,Rejected-AOC,Higher side,22-Oct-2020 02:33 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,165640.0,Ram,03-Jul-2020 05:02 PM,Rejected-Technical,Non-Responsive,06-Jul-2020 04:44 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,165630.0,Tilak Raj Govt Contractor,02-Jul-2020 02:09 PM,Rejected-Technical,Non-Responsive,06-Jul-2020 04:44 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,165754.0,Vikas puri,03-Jul-2020 04:26 PM,Rejected-Technical,Non-responsive,06-Jul-2020 04:44 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document as per General Rule 19,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,165737.0,Vishal Rana,02-Jul-2020 05:55 PM,Rejected-Technical,Non-responsive,06-Jul-2020 04:44 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,.P.F. No. and copy of latest return file,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed by the Contractor,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC
