Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,BOS,Jeet Singh Thakur,11-Aug-2020 06:53 PM,technical_58033.pdf,1.0,171464.0,Dinesh Construction Works,04-Aug-2020 07:54 AM,Rejected-Technical,Non Responsive,24-Aug-2020 05:20 PM,1.0,171404.0,Vipul Bali Govt. Contractor,INR,"1,778,221",Finance,Bid opening Summary,Jeet Singh Thakur,05-Oct-2020 02:34 PM,finance_58033.pdf,BOQ Comparative Chart,07-Oct-2020,"INR 1,332,866",90.0,Jeet Singh Thakur,07-Oct-2020 06:18 PM,2.aoc7719.pdf (519.00 KB),"Providing Crash Barrier on Luddu Bat road at RD 0/900 to 1/0, 1/130-210, 6/180-300, 8/400-500, 10/650-770",EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,07-Oct-2020 06:15 PM,finsummary_58033.pdf (216.33 KB),EE,Internal,Assistant Engineer Superintendent and senior assistant,Jeet Singh Thakur,24-Aug-2020 05:20 PM,27-Aug-2020 11:30 AM,techsummary_58033.pdf (453.46 KB),PWD,2020_PWD_39305_2,No.PWC-WA-II 3835-934 dated 8.7.20,"Providing Crash Barrier on Luddu Bat road at RD 0/900 to 1/0, 1/130-210, 6/180-300, 8/400-500, 10/650-770",AOC,"26,700",No,fixed,,Executive Engineer Chamba Division HPPWD. Chamba,Chamba,Executive Engineer Chamba Division HPPWD. Chamba,Executive Engineer Chamba Division HPPWD. Chamba,1.0,Corrigendum,Other,,PWD,No.PWC-WA-II 3835-934 dated 8.7.20,2020_PWD_39305_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,Executive Engineer Chamba Division HPPWD. Chamba,Chamba,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form in shape of Demand Draft,25-Jul-2020 05:00 PM,05-Aug-2020 11:30 AM,25-Jul-2020 05:00 PM,04-Aug-2020 05:00 PM,NA ,NA ,25-Jul-2020 05:00 PM,04-Aug-2020 05:00 PM,27-Aug-2020 11:30 AM,"Providing Crash Barrier on Luddu Bat road at RD 0/900 to 1/0, 1/130-210, 6/180-300, 8/400-500, 10/650-770","Providing Crash Barrier on Luddu Bat road at RD 0/900 to 1/0, 1/130-210, 6/180-300, 8/400-500, 10/650-770",Please refer Tender documents. ,NA ,"13,32,866",Civil Works - Roads,NA ,Tender,90.0,90.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD. Chamba,No ,No,AOC
,,,,,2.0,171238.0,Sarfraj Mohd,03-Aug-2020 11:27 AM,Rejected-AOC,L4,07-Oct-2020 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money in shape of FDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,171214.0,Tahir Malik Allied Services,02-Aug-2020 08:55 PM,Rejected-AOC,L2,07-Oct-2020 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,171197.0,TARUN KUMAR,02-Aug-2020 05:13 PM,Rejected-AOC,L3,07-Oct-2020 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,171404.0,Vipul Bali Govt. Contractor,04-Aug-2020 01:03 PM,Accepted-AOC,L1,07-Oct-2020 06:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan ( Permanent Account No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Crash Barrier should be as per IS 1367 and IS 1364 as per MoRTH clause 810,documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
