Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,opening summary,Vijay Kumar Aggarwal,26-Feb-2020 12:49 PM,technical_51010.pdf,1.0,150752.0,P K Construction Shimla Pvt Ltd,24-Feb-2020 07:25 PM,Accepted-AOC,L-1,22-Oct-2020 02:36 PM,Finance,FINANCIAL SUMMARY,Vijay Kumar Aggarwal,25-Jun-2020 11:10 AM,finance_51010.pdf,BOQ Comparative Chart,1.0,150752.0,P K Construction Shimla Pvt Ltd,INR,"435,861,035",22-Oct-2020,"INR 435,861,035",1825.0,Vijay Kumar Aggarwal,22-Oct-2020 02:34 PM,AOC.pdf (328.00 KB),Awarded to M/S P. K. Construction,MAHESH SINGHAL,External,EE_RAJGARH EE_D AE_D CHD SUPTD_GR_II,Vijay Kumar Aggarwal,22-Oct-2020 02:30 PM,finsummary_51010.pdf (549.22 KB),Mahesh singhal SE,Internal,EE Rajgarh EE Design AE Design CHD Supdt GR I 12th Circle HPPWD Nahan,Anil Kumar Sharma,17-Jun-2020 03:41 PM,20-Jun-2020 11:00 AM,techsummary_51010.pdf (5195.22 KB),PWD,2020_PWD_34794_1,OPBMC,"Output and Performance Based Maintenance Contract, for the work Chailla Neripul Yashwant Kumarhatti road Km 0/0 to 84/825 under OPBMC.",AOC,Superintending Engineer,Superintending Engineer 12th Circle HPPWD Nahan,"10,000",EE Rajgarh,Rajgrah,No,1.0,BOQ CORRIGENDUM,Other,,1.0,Fee/PreQual/Technical,.pdf,Cost of tender,1.0,DD - Demand Draft,PWD,OPBMC,2020_PWD_34794_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"90,81,000",No,fixed,,EE Rajgarh,Rajgarh,11-Feb-2020 12:00 PM,26-Feb-2020 11:30 AM,11-Feb-2020 12:30 PM,25-Feb-2020 05:00 PM,NA ,NA ,15-Feb-2020 12:00 PM,25-Feb-2020 05:00 PM,20-Jun-2020 11:00 AM,"Output and Performance Based Maintenance Contract, for the work Chailla Neripul Yashwant Kumarhatti road Km 0/0 to 84/825 under OPBMC.","Output and Performance Based Maintenance Contract, for the work Chailla Neripul Yashwant Kumarhatti road Km 0/0 to 84/825 under OPBMC.",Please refer Tender documents. ,NA ,"45,40,57,476",Civil Works,NA ,Tender,90.0,1825.0,Rajgarh,173101.0,Nahan ,Superintending Engineer 12th Circle HPPWD Nahan ,15-Feb-2020 11:00 AM ,Nahan,No ,No,AOC
,,,,,2.0,150267.0,S.S. Associates,25-Feb-2020 11:12 AM,Rejected-Finance,L2,22-Oct-2020 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,EMD,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"Contractor Registration certificate , EPF, GST , PAN",3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"Qualification information (Q.1) 2.1.1 ,2.1.2, 2.1.3, 2.1.4, 2.1.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"Qualification information as per section 2.2.1, 2.2.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"Qualification information as per section 2.3.1, 2.3.2, 2.3.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"Qualification information as per section 2.4.1, 2.4.2, 2.4.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Qualification information as per section 2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Qualification information as per section 2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
