Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Tender Stage
HP Horticultural Produce Marketing and Processing Corporation Ltd.,2020_HPMC_37333_1,HPHDP PIU HPMC-GOODS-GUMMA-2,"PROCUREMENT OF PLANT DESIGN,SUPPLY,INSTALLATION, and COMMISSIONING OF GOODS AT GUMMA","Mr. B.M. Saini, AGM, HO",Internal,"Sh.Maan Singh-EE-HPMC,Sh DS Negi-AO-HPMC,Sh.Anil Sharma-ALO-HPMC,Sh.Gauri Shankar-AC-HIMUDA, Sh.JC Sharma-HDO-HPHDP,Sh.Ishan Agrawal-PO-HPMC,Sh.Arun Thakur-AE-HPMC, Sh.Piyush Maria-AE-HPMC",BRIJ MOHAN SAINI,17-Aug-2020 04:42 PM,finsummary_55009.pdf (184.50 KB),1.0,164827.0,LUXMI ENGINEERS,INR,"113,784,445",18-Sep-2020,"INR 119,100,000",365.0,BRIJ MOHAN SAINI,05-Oct-2020 01:12 PM,LOA-GUMMA.pdf (348.00 KB),Letter of Acceptance (LOA) and Contract awarded to Ms LUXMI ENGINEERS.,1.0,163753.0,FIL INDUSTRIES LIMITED,27-Jun-2020 10:24 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Jul-2020 04:54 PM,"Mr. B.M. Saini, AGM, HO",Internal,"Sh.Maan Singh-EE-HPMC,Sh DS Negi-AO-HPMC,Sh.Anil Sharma-ALO-HPMC,Sh.Gauri Shankar-AC-HIMUDA, Sh.JC Sharma-HDO-HPHDP,Sh.Ishan Agrawal-PO-HPMC,Sh.Arun Thakur-AE-HPMC, Sh.Piyush Maria-AE-HPMC",BRIJ MOHAN SAINI,20-Jul-2020 04:55 PM,31-Jul-2020 11:30 AM,techsummary_55009.pdf (188.11 KB),Technical,Bid opening summary document.,BRIJ MOHAN SAINI,20-Jul-2020 04:54 PM,technical_55009.pdf,Finance,Please refer Document,BRIJ MOHAN SAINI,17-Aug-2020 04:28 PM,finance_55009.pdf,BOQ Comparative Chart,AOC,20-May-2020 05:30 PM,27-Jun-2020 12:30 PM,20-May-2020 05:45 PM,27-Jun-2020 12:00 PM,21-May-2020 09:00 AM ,04-Jun-2020 12:00 PM ,12-Jun-2020 09:00 AM,27-Jun-2020 12:00 PM,31-Jul-2020 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Letter of Bid Technical Part andBid Security in accordance with ITB 20,HP Horticultural Produce Marketing and Processing Corporation Ltd.,HPHDP PIU HPMC-GOODS-GUMMA-2,2020_HPMC_37333_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Offline,No,No,No,"23,80,000",No,fixed,,Project Director,Himachal Pradesh Horticulture Development Society,1.0,BOQ-Corrigendum-1,BOQ,,Managing Director,"HPMC HO 3rd Floor, Nigam Vihar Shimla-2","PROCUREMENT OF PLANT DESIGN,SUPPLY,INSTALLATION, and COMMISSIONING OF GOODS AT GUMMA","PROCUREMENT OF PLANT DESIGN, SUPPLY, INSTALLATION, TESTING and COMMISSIONING OF GOODS FOR UP GRADATION, EXPANSION AND STRENGTHENING OF EXISTING POST HARVEST INFRASTRUCTURE PROJECT AT GUMMA, DISTRICT SHIMLA HP",Please refer Tender documents ,NA ,"11,91,00,000",Miscellaneous Goods,NA ,Tender,120.0,365.0,"HPMC Gumma, (Kothkhai)",171202.0,Shimla ,"HPMC HO 3rd Floor, Nigam Vihar Shimla-2  ",08-Jun-2020 03:00 PM ,Shimla,No ,No,"5,900",Project Director,Himachal Pradesh Horticulture Development Society,No,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,164844.0,Frick India Limited,26-Jun-2020 02:44 AM,Rejected-Finance,L2,17-Aug-2020 04:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,written confirmation authorizing the signatory of the Bid to commit the Bidder inaccordance ITB 21.2,,,,,,,,,,,,,,,,,,,,,2.0,Date_Extension,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,164827.0,LUXMI ENGINEERS,27-Jun-2020 10:32 AM,Accepted-AOC,"Accepted, L1",05-Oct-2020 01:14 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,"documentary evidence established in accordance with ITB 14.1,15,16,16.2",,,,,,,,,,,,,,,,,,,,,3.0,Fin_Bid_Opening_Date_Extended,Financial Bid Opening Date Corrigendum,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,164985.0,RINAC INDIA LTD,27-Jun-2020 09:59 AM,Rejected-Finance,L3,17-Aug-2020 04:42 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,documentary evidence in accordance with ITB 15,,,,,,,,,,,,,,,,,,,,,4.0,General_Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,"in the case of a bid submitted by a JV (where permitted), JV agreement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Any other document required in the BDS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,Finance,.pdf,Letter of Bid Financial Part prepared in accordance with ITB 12 and ITB 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,"Completed schedules as required, including Price Schedules in accordance with ITB 12 and 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Any other document required in the BDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.xls,BOQ(Price Bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
