S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Tender Stage
1.0,178298.0,Sumit Kumar Govt. cont.,INR,"8,214,514",Finance,Fin bid opened,Sanjiv Kumar Agnihotri,01-Oct-2020 01:19 PM,finance_59625.pdf,BOQ Comparative Chart,Technical,Tech bid opened,Sanjiv Kumar Agnihotri,29-Sep-2020 12:52 PM,technical_59625.pdf,1.0,178365.0,Balbir Singh Govt Contractor,19-Sep-2020 07:50 PM,Rejected-Technical,Non-responsive,29-Sep-2020 12:56 PM,22-Oct-2020,"INR 8,214,514",365.0,SHASHI PAL,22-Oct-2020 02:55 PM,AOC.pdf (2415.00 KB),Work Awarded,Er.S.P.Dhiman EE,Internal,Supdt. HDM AO,Sanjiv Kumar Agnihotri,01-Oct-2020 01:23 PM,finsummary_59625.pdf (526.57 KB),Er.S.P.Dhiman EE,Internal,Sudt. HDM AO,Sanjiv Kumar Agnihotri,29-Sep-2020 12:55 PM,30-Sep-2020 10:30 AM,techsummary_59625.pdf (716.92 KB),PWD,2020_PWD_40390_1,No.PW/BGN/CB/T-1/2020-5619-52 dt. 17.08.2020 Job2,C/O link road from Rain Shelter to Village Gehra via Kothi Baba Garib Nath Temple Km 0/0 to 9/920 Under NABARD RIDF-XXV,AOC,C/O link road from Rain Shelter to Village Gehra via Kothi Baba Garib Nath Temple Km 0/0 to 9/920 Under NABARD RIDF-XXV,"Formation cutting, C/o Retaining wall, wire crate, CD work, CC Pavement, P/L GSB, WMM, P/L Premix carpet surfacing, Road side Drain, Parapets, P/F Kilometer stone in Km 6/920 to 8/920",Please refer Tender documents. ,NA ,"55,22,063",Civil Works,NA ,Tender,120.0,365.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,"88,800",Yes,fixed,,Executive Engineer HPPWD Division Bangana,Bangana,08-Sep-2020 11:00 AM,21-Sep-2020 11:00 AM,08-Sep-2020 11:30 AM,21-Sep-2020 09:00 AM,NA ,NA ,08-Sep-2020 11:30 AM,21-Sep-2020 09:00 AM,30-Sep-2020 10:30 AM,"2,000",Executive Engineer HPPWD Division Bangana,Bangana,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Indicated in Schedule-F),PWD,No.PW/BGN/CB/T-1/2020-5619-52 dt. 17.08.2020 Job2,2020_PWD_40390_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,AOC
,,,,,,,,,,,,,,,,2.0,178545.0,PUSHPINDER SINGH,20-Sep-2020 07:48 PM,Rejected-AOC,Higher side,22-Oct-2020 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in Schedule F),,,,,,,,,,,,,,,2.0,SS - Small Savings Instrument,,,AOC
,,,,,,,,,,,,,,,,3.0,178298.0,Sumit Kumar Govt. cont.,18-Sep-2020 05:53 PM,Accepted-AOC,Lowest,22-Oct-2020 02:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document as per General Rule 19,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,AOC
