S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Name,Address,Tender Stage
1.0,167959.0,LUXMI ENGINEERS,17-Jul-2020 10:42 AM,Accepted-AOC,L1,27-Oct-2020 11:28 AM,"Mr. B.M. Saini, AGM, HO",Internal,"Sh.Maan Singh-EE-HPMC,Sh DS Negi-AO-HPMC,Sh.Anil Sharma-ALO-HPMC,Sh.Gauri Shankar-AC-HIMUDA, Sh.JC Sharma-HDO-HPHDP,Sh.Ishan Agrawal-PO-HPMC,Sh.Arun Thakur-AE-HPMC, Sh.Piyush Maria-AE-HPMC",BRIJ MOHAN SAINI,28-Jul-2020 05:15 PM,05-Aug-2020 11:30 AM,techsummary_55062.pdf (485.49 KB),Technical,Kindly refer to the attached document.,BRIJ MOHAN SAINI,28-Jul-2020 04:56 PM,technical_55062.pdf,Finance,Kindly refer to the attached document.,BRIJ MOHAN SAINI,20-Aug-2020 03:13 PM,finance_55062.pdf,BOQ Comparative Chart,HP Horticultural Produce Marketing and Processing Corporation Ltd.,2020_HPMC_37359_1,HPHDP PIU HPMC GOODS-ODDI-4,"PROCUREMENT OF PLANT DESIGN,SUPPLY,INSTALLATION, and COMMISSIONING OF GOODS AT ODDI","Mr. B.M. Saini, AGM, HO",Internal,"Sh.Maan Singh-EE-HPMC,Sh DS Negi-AO-HPMC,Sh.Anil Sharma-ALO-HPMC,Sh.Gauri Shankar-AC-HIMUDA, Sh.JC Sharma-HDO-HPHDP,Sh.Ishan Agrawal-PO-HPMC,Sh.Arun Thakur-AE-HPMC, Sh.Piyush Maria-AE-HPMC",BRIJ MOHAN SAINI,05-Oct-2020 01:56 PM,finsummary_55062.pdf (581.46 KB),1.0,167959.0,LUXMI ENGINEERS,INR,"19,280,000",05-Oct-2020,"INR 17,350,000",365.0,BRIJ MOHAN SAINI,27-Oct-2020 11:25 AM,LOA-Oddi.pdf (398.00 KB),Letter of Acceptance (LOA) and Contract has been awarded to Ms LUXMI ENGINEERS.,AOC,HP Horticultural Produce Marketing and Processing Corporation Ltd.,HPHDP PIU HPMC GOODS-ODDI-4,2020_HPMC_37359_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Offline,No,No,No,1.0,Date_Corrigendum.,Date,,"3,47,000",No,fixed,,Project Director,Himachal Pradesh Horticulture Development Society,1.0,Fee/PreQual/Technical,.pdf,Letter of Bid Technical Part andBid Security in accordance with ITB 20,"5,900",Project Director,Himachal Pradesh Horticulture Development Society,No,21-May-2020 06:15 PM,17-Jul-2020 12:30 PM,21-May-2020 06:15 PM,17-Jul-2020 12:00 PM,21-May-2020 06:15 PM ,04-Jun-2020 09:00 AM ,12-Jun-2020 09:00 AM,17-Jul-2020 12:00 PM,05-Aug-2020 11:30 AM,"PROCUREMENT OF PLANT DESIGN,SUPPLY,INSTALLATION, and COMMISSIONING OF GOODS AT ODDI","PROCUREMENT OF PLANT DESIGN, SUPPLY, INSTALLATION, TESTING and COMMISSIONING OF GOODS FOR UP GRADATION, EXPANSION AND STRENGTHENING OF EXISTING POST HARVEST INFRASTRUCTURE PROJECT AT ODDI, DISTRICT SHIMLA HP",Please refer Tender documents. ,NA ,"1,73,50,000",Miscellaneous Goods,NA ,Tender,120.0,365.0,HPMC ODDI,171213.0,Shimla-2 ,"HPMC HO 3rd Floor, Nigam Vihar Shimla-2 ",08-Jun-2020 03:00 PM ,Shimla,No ,No,1.0,DD - Demand Draft,"Managing Director, HPMC","HPMC HO 3rd Floor, Nigam Vihar Shimla-2",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,General_Corrigendum,Other,,,,,,,,,,.pdf,written confirmation authorizing the signatory of the Bid to commit the Bidder inaccordance ITB 21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"documentary evidence established in accordance with ITB 14.1,15,16,16.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,documentary evidence in accordance with ITB 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"in the case of a bid submitted by a JV (where permitted), JV agreement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned Copy of FEE and EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other document required in the BDS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ(Price Bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Bid Financial Part prepared in accordance with ITB 12 and ITB 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Completed schedules as required, including Price Schedules in accordance with ITB 12 and 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
