Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Er. J.K. Gupta,Internal,AE Kamand DAO Supdt. HDM,Jitender Kumar,06-Oct-2020 12:24 PM,finsummary_59137.pdf (142.86 KB),06-Oct-2020,"INR 1,149,804.85",270.0,Jitender Kumar,06-Oct-2020 12:41 PM,AOC40058vetpali.PDF (161.00 KB),AOC,PWD,2020_PWD_40058_1,PW-MDI-Tender-NIT- 7354-89 dated 07.08.2020,Construction of Additional Alteration of Veterinary Hospital at Pali Tehsil Padhar District Mandi (H.P.),Er. J.K. Gupta,Internal,AE Kamand DAO Supdt. HDM,Jitender Kumar,08-Sep-2020 05:03 PM,10-Sep-2020 11:00 AM,techsummary_59137.pdf (168.97 KB),1.0,175645.0,RAJU RAM,INR,"1,149,804.85",Finance,fbosummary,Jitender Kumar,10-Sep-2020 02:54 PM,finance_59137.pdf,BOQ Comparative Chart,Technical,summary,Jitender Kumar,04-Sep-2020 10:20 AM,technical_59137.pdf,1.0,175939.0,Balwant SIngh Thakur,01-Sep-2020 12:34 PM,Rejected-Finance,L-5,06-Oct-2020 12:26 PM,AOC,350.0,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",1.0,ICICI BANK,Construction of Additional Alteration of Veterinary Hospital at Pali Tehsil Padhar District Mandi (H.P.),"Construction of building portion, W.S. and S.I. septic tank and site development etc.) (Deposit work)",As per bid documents ,NA ,"8,98,470",Civil Works - Buildings,NA ,Tender,120.0,270.0,Pali,175001.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,24-Aug-2020 10:00 AM,03-Sep-2020 11:30 AM,24-Aug-2020 10:00 AM,02-Sep-2020 05:00 PM,NA ,NA ,24-Aug-2020 10:00 AM,02-Sep-2020 05:00 PM,10-Sep-2020 11:00 AM,PWD,PW-MDI-Tender-NIT- 7354-89 dated 07.08.2020,2020_PWD_40058_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"18,000",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,175870.0,HARISH SHARMA,02-Sep-2020 03:32 PM,Rejected-Technical,Non-Responsive,08-Sep-2020 05:03 PM,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,176051.0,Kalap Engineers & Builders,02-Sep-2020 07:31 AM,Rejected-Technical,Non-Responsive,08-Sep-2020 05:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,176101.0,MANDEEP CONTRACTOR,02-Sep-2020 03:31 PM,Rejected-Finance,L-4,06-Oct-2020 12:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,176081.0,PADAM SINGH,02-Sep-2020 01:00 PM,Rejected-Finance,L-3,06-Oct-2020 12:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,176107.0,Pawan Kumar,02-Sep-2020 03:10 PM,Rejected-Finance,L-2,06-Oct-2020 12:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,175645.0,RAJU RAM,01-Sep-2020 02:44 PM,Accepted-AOC,AOC,06-Oct-2020 12:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed (General Rule No.26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,AOC
