Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Er Jagtar Singh Thakur,Internal,"AE Jawali,DAO,HDM,Supdt-Gr-II",Jagtar Singh Thakur,16-Oct-2020 05:02 PM,finsummary_57349.pdf (796.27 KB),16-Oct-2020,"INR 877,612",270.0,Jagtar Singh Thakur,16-Oct-2020 05:04 PM,Award.pdf (711.00 KB),Award,PWD,2020_PWD_38837_1,PWJ/CB/TENDER/20-21-8011-8041 Dt 06-07-2020,Construction of Veterinary Dispensary Building at Bhallad in Tehsil Jawali District Kangra (HP).,Er Jagtar Singh Thakur,Internal,"AE Jawali,DAO,Supdt-Gr-II,HDM",Jagtar Singh Thakur,10-Aug-2020 02:55 PM,11-Aug-2020 03:00 PM,techsummary_57349.pdf (796.27 KB),1.0,170852.0,SUKHBIR SINGH,INR,"877,612",Finance,Proceeding,Jagtar Singh Thakur,16-Oct-2020 04:54 PM,finance_57349.pdf,BOQ Comparative Chart,Technical,Proceeding,Jagtar Singh Thakur,10-Aug-2020 02:50 PM,technical_57349.pdf,1.0,171302.0,arun kumar,03-Aug-2020 12:47 PM,Rejected-AOC,Rejected,16-Oct-2020 05:06 PM,AOC,Construction of Veterinary Dispensary Building at Bhallad in Tehsil Jawali District Kangra (HP).,"C/o of Building portion alongwith Water supply and sanitary installation construction of Septic Tank for 10 users, Construction of Rain water harvesting system and construction of Boundary wall alongwith mild steel Gate and barbed wire fencing",Please refer Tender documents. ,NA ,"7,68,060",Civil Works,NA ,Tender,90.0,270.0,JAWALI,176023.0,NA ,NA ,NA ,HPPWD DIVISION JAWALI,No ,No,"15,500",No,fixed,,EE JAWALI,JAWALI,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender (indicated in Schedule F),PWD,PWJ/CB/TENDER/20-21-8011-8041 Dt 06-07-2020,2020_PWD_38837_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,20-Jul-2020 11:30 AM,05-Aug-2020 11:30 AM,20-Jul-2020 11:30 AM,04-Aug-2020 04:00 PM,NA ,NA ,20-Jul-2020 11:30 AM,04-Aug-2020 04:00 PM,11-Aug-2020 03:00 PM,EXECUTIVE ENGINEER,EXECUTIVE ENGINEER HPPWD DIVISION JAWALI,350.0,EE JAWALI,JAWALI,No,1.0,Due Date Extended,Admin Corrigendum Date Extend,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,171222.0,BHARAT BHUSHAN SHARMA,03-Aug-2020 01:20 PM,Rejected-Technical,Rejected due to lack of work done similar nature,10-Aug-2020 02:55 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest of Money (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,171339.0,MANMOHAN SINGH,03-Aug-2020 03:09 PM,Rejected-AOC,Rejected,16-Oct-2020 05:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rules No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,170852.0,SUKHBIR SINGH,30-Jul-2020 06:41 PM,Accepted-AOC,Accept,16-Oct-2020 05:06 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No, PAN No, EPF (Refer General Rules No.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, similar nature work not less than forty percent amount put to tender last five years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery and equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail regarding arbitration litigation cases for the last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the information furnished with BID documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 duly signed by the bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
