Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"Director, A H and Veterinary",Internal,,Pratul Mahanta,25-Sep-2020 04:42 PM,25-Sep-2020 04:45 PM,techsummary_28353.pdf (5283.35 KB),Finance,Financial bid open,Pratul Mahanta,07-Oct-2020 04:22 PM,,BOQ Comparative Chart,"Director, AH and Veterinary, Assam",Internal,,Pratul Mahanta,07-Oct-2020 04:32 PM,finsummary_28353.pdf (8380.68 KB),Technical,Technical Bid has opened,ARIF AHMED,11-Sep-2020 11:37 AM,,20-Oct-2020,INR 3.1E+7,60.0,Pratul Mahanta,20-Oct-2020 11:48 AM,SupplyOrder.pdf (10795.00 KB),Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary,2020_AHVD_18362_1,CVS/P-5/2020-21/101 DTD 11/08/2020,"SUPPLY OF VETERINARY MEDICINES, DRUGS AND INSTRUMENT and APPLIANCES TO A.H. AND VETERINARY DEPARTMENT, ASSAM FOR THE YEAR 2020-21",1.0,86875.0,THE HIMALAYA DRUG COMPANY,INR,1562765.0,1,87772,Assam Manufacturer Repacking and Distributor,08-Sep-2020 10:08 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,"Director, A,H and Veterinary, Assam","A. H. and Veterinary Department, Assam, Chenikuthi, Guwahati-781003","20,000",No,fixed,,"Director, A, H and vety",Guwahati,"2,000","Director, A, H and vety",Guwahati,No,Animal Husbandry and Veterinary Department||Directorate of A.H. and Veterinary,CVS/P-5/2020-21/101 DTD 11/08/2020,2020_AHVD_18362_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Documents,12-Aug-2020 11:00 AM,10-Sep-2020 11:00 AM,12-Aug-2020 11:00 AM,09-Sep-2020 03:00 PM,NA ,NA ,20-Aug-2020 11:00 AM,09-Sep-2020 03:00 PM,25-Sep-2020 04:45 PM,1.0,Date Extension Corrigendum For Tender ID 2020_AHVD_18362_1,Date,,"SUPPLY OF VETERINARY MEDICINES, DRUGS AND INSTRUMENT and APPLIANCES TO A.H. AND VETERINARY DEPARTMENT, ASSAM FOR THE YEAR 2020-21","SUPPLY OF VETERINARY MEDICINES, DRUGS AND INSTRUMENT and APPLIANCES TO A.H. AND VETERINARY DEPARTMENT, ASSAM FOR THE YEAR 2020-21",Please refer Tender documents. ,NA ,,Medicines,NA ,Tender,365.0,60.0,"Central Veterinary Store, A. H.and V Dept, Assam",781003.0,"Central Veterinary Store, A. H.and V Dept, Assam ","Central Veterinary Store, A. H. and Veterinary Department, Assam, Chenikuthi, Guwahati-781003 ",19-Aug-2020 12:00 PM ,"Central Veterinary Store, A. H.and V Dept, Assam",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,87056.0,Ayurvet Limited,INR,521420.0,2,87056,Ayurvet Limited,08-Sep-2020 11:15 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sealed and Signed Bid Document,,,,,,,,,,2.0,Corrigendum for Technical Bid Of Tender ID 2020_AHVD_18362_1,Technical Bid,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,87069.0,Indian Herbs Specialities Pvt.Ltd.,INR,2147315.0,3,87843,BIO-CARE ASSOCIATES,09-Sep-2020 02:50 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,87119.0,MAINDEOR ENTERPRISE,INR,1157550.0,4,87557,BRILLIANT BIO PHARMA PRIVATE LIMITED,08-Sep-2020 03:29 PM,Rejected-Technical,Please refer Technical Evaluation report,25-Sep-2020 04:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,87147.0,M/s Town Drugs,INR,673260.0,5,87697,D Sunrise Drugs and Surgicals,09-Sep-2020 08:08 AM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,87262.0,Woonmilon,INR,338700.0,6,87819,FLORIDA MEDICOS,08-Sep-2020 05:11 PM,Rejected-Finance,Financially Rejected,07-Oct-2020 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,87573.0,P.D. Associates,INR,290500.0,7,87604,HESTER BIOSCIENCES LIMITED,09-Sep-2020 02:33 PM,Rejected-Technical,Please refer Technical Evaluation report,25-Sep-2020 04:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,87697.0,D Sunrise Drugs and Surgicals,INR,173400.0,8,87069,Indian Herbs Specialities Pvt.Ltd.,01-Sep-2020 03:13 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,87728.0,INDOMA MARINE PVT. LTD.,INR,3530095.0,9,87730,INDO CONS AGE SERVICES,09-Sep-2020 12:57 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,87730.0,INDO CONS AGE SERVICES,INR,2909181.0,10,87728,INDOMA MARINE PVT. LTD.,09-Sep-2020 02:55 PM,Accepted-AOC,Supply order issued,20-Oct-2020 11:48 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
