Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
06-Oct-2020,"INR 2,359,568",182.0,Gurcharan Singh Rana,08-Oct-2020 11:19 AM,Awardletter.pdf (882.00 KB),Awardletter,Er.G.S. Rana E.E.,Internal,"Er. R.D. Sharma AE Harish Chander Head Draughtsman , Tara Singh Superintendent Gr-II , Prem Chand Sr. Asstt. Kamal Sr. Assistant",Gurcharan Singh Rana,29-Jun-2020 07:19 PM,finsummary_55998.pdf (503.58 KB),Er.G.S. Rana E.E.,Internal,"Er. R.D. Sharma AE Harish Chander Head Draughtsman , Dinesh Kumar, DAO Jagpal Singh Supdt. Gr-II Tara Singh Supdt Gr-II , Kamal Sr. Asstt.",Gurcharan Singh Rana,26-Jun-2020 03:40 PM,29-Jun-2020 10:00 AM,techsummary_55998.pdf (484.20 KB),PWD,2020_PWD_38014_1,Job 3 Construction of link road Sidhyana to Menon,"Job 3 Construction of link road Sidhyana to Menon Abadi Lower Dehlan km. 0-0 to 0-700 Sub Head C.O 6 mtr. Span Culvert at RD 0-260, C.C. Pavement at RD 0-225 to 0-400, C.O Retaining wall and wire crates etc.",Technical,TechnicalBidOpeningSummary,Ravi Dutt Sharma,20-Jun-2020 04:42 PM,technical_55998.pdf,1.0,163346.0,Arpit Prashar,19-Jun-2020 12:51 PM,Rejected-AOC,ok,08-Oct-2020 11:20 AM,Finance,Proceedingregardingopeningoffinancialbids,Gurcharan Singh Rana,29-Jun-2020 06:47 PM,finance_55998.pdf,BOQ Comparative Chart,1.0,163271.0,Ashwani Kumar,INR,"2,021,674",AOC,1.0,FDR - Fixed Deposit,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",PWD,Job 3 Construction of link road Sidhyana to Menon,2020_PWD_38014_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Job 3 Construction of link road Sidhyana to Menon Abadi Lower Dehlan km. 0-0 to 0-700 Sub Head C.O 6 mtr. Span Culvert at RD 0-260, C.C. Pavement at RD 0-225 to 0-400, C.O Retaining wall and wire crates etc.","Job 3 Construction of link road Sidhyana to Menon Abadi Lower Dehlan km. 0-0 to 0-700 Sub Head C.O 6 mtr. Span Culvert at RD 0-260, C.C. Pavement at RD 0-225 to 0-400, C.O Retaining wall and wire crates etc.",Please refer to Bidding Documents ,NA ,"23,59,568",Civil Works - Roads,NA ,Tender,120.0,182.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"43,000",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,12-Jun-2020 10:00 AM,20-Jun-2020 11:00 AM,12-Jun-2020 10:30 AM,19-Jun-2020 05:00 PM,NA ,NA ,12-Jun-2020 10:30 AM,19-Jun-2020 05:00 PM,29-Jun-2020 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,163271.0,Ashwani Kumar,18-Jun-2020 07:57 PM,Accepted-AOC,ok,08-Oct-2020 11:20 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,163393.0,Raj Kumar,19-Jun-2020 03:55 PM,Rejected-Technical,As per Technical Bid Evaluation Proceeding,26-Jun-2020 03:40 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,163303.0,Rishi Kumar,19-Jun-2020 12:31 PM,Rejected-AOC,ok,08-Oct-2020 11:20 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,163372.0,SATWINDER SINGH,19-Jun-2020 02:33 PM,Rejected-AOC,ok,08-Oct-2020 11:20 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,163398.0,Tilak Raj Govt Contractor,19-Jun-2020 04:39 PM,Rejected-AOC,ok,08-Oct-2020 11:20 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit showing that the site has been visited by the contractors/ firms and he has studies as,,,,,AOC
