Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,DOCUMENT COST,"CE, PWD (Bldg), Assam, Chandmari, Ghy-3","O/O The CE, PWD (Bldg), Assam, Chandmari, Ghy-3",02-Nov-2019 10:00 AM,07-Nov-2019 03:00 PM,02-Nov-2019 10:00 AM,07-Nov-2019 02:00 PM,NA ,NA ,02-Nov-2019 10:00 AM,07-Nov-2019 02:00 PM,11-Nov-2019 06:05 PM,1.0,Extension Notice,Date,,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,Khelo India Gr-X(RT),2019_PWBNH_14637_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Renovation, Construction and Up-gradation of Sports Complex Venues in connection with Khelo India Youth Games, 2020, Assam Tennis Association Complex at VIP Road, Chachal Civil works","Renovation, Construction and Up-gradation of Sports Complex Venues in connection with Khelo India Youth Games, 2020, Assam Tennis Association Complex at VIP Road, Chachal Civil works",Please refer Tender documents. ,NA ,"41,40,833",Civil Works - Building,NA ,Tender,180.0,60.0,Chachal,781022.0,"O/O The CE, PWD (Bldg), Assam, Chandmari, Ghy-3 ","O/O The CE, PWD (Bldg), Assam, Chandmari, Ghy-3 ",05-Nov-2019 11:00 AM ,"O/O The CE, PWD (Bldg), Assam, Chandmari, Ghy-3",No ,No,"82,817",Yes,fixed,,"E.E. PWD, P.C.C Bldg. Division, Dispur, Ghy-6",Guwahati,"1,500",Assam State Road Board Maintenance (Road) Fund,Guwahati,No,1.0,DD - Demand Draft,AOC,CE PWD (bldg),Internal,,Mridul Talukdar,15-Oct-2020 03:52 PM,finsummary_22340.pdf (338.58 KB),Finance,Summary,Mridul Talukdar,15-Oct-2020 03:48 PM,finance_22340.pdf,BOQ Comparative Chart,1,66852,Abdul Hamid,05-Nov-2019 11:26 PM,Rejected-Technical,Non-Responsive,11-Nov-2019 06:04 PM,Public Works Building and NH Department||Chief Engineer-Building - PWBNH,2019_PWBNH_14637_1,Khelo India Gr-X(RT),"Renovation, Construction and Up-gradation of Sports Complex Venues in connection with Khelo India Youth Games, 2020, Assam Tennis Association Complex at VIP Road, Chachal Civil works",1.0,66948.0,NORTH EAST ENTERPRISE,INR,3312218.0,Technical,Minutes,Mridul Talukdar,11-Nov-2019 06:02 PM,technical_22340.pdf,15-Oct-2020,INR 4140833.0,60.0,Mridul Talukdar,15-Oct-2020 03:53 PM,WO_KheloIndia___X.pdf (339.00 KB),CE PWD (Bldg),Internal,,Mridul Talukdar,11-Nov-2019 06:04 PM,11-Nov-2019 06:05 PM,techsummary_22340.pdf (410.73 KB),AOC
,,.pdf,BID SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC,,,,,,,,,,,,,2,66972,Bishal Phukan,07-Nov-2019 12:03 PM,Rejected-AOC,L3,15-Oct-2020 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,BIDDING DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,AOC,,,,,,,,,,,,,3,66853,Diganta Patowary,07-Nov-2019 09:31 AM,Rejected-Technical,Non-Responsive,11-Nov-2019 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,TECHNICAL QUALIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,AOC,,,,,,,,,,,,,4,66929,m/s chandan gogoi,07-Nov-2019 12:49 PM,Rejected-AOC,L5,15-Oct-2020 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,66985,M/S RM GROUP OF ENGINEERS,07-Nov-2019 01:06 PM,Rejected-Technical,Non-Responsive,11-Nov-2019 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,FORM OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,66948,NORTH EAST ENTERPRISE,07-Nov-2019 10:25 AM,Accepted-AOC,Work Order Issued,15-Oct-2020 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,66956,Rajdhani Associates,07-Nov-2019 11:38 AM,Rejected-AOC,L2,15-Oct-2020 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,66973,Sankalpa Associates,07-Nov-2019 12:47 PM,Rejected-AOC,L6,15-Oct-2020 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,66963,Smti Sewali Bordoloi Phukan,07-Nov-2019 12:28 PM,Rejected-AOC,L7,15-Oct-2020 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,66842,Sri Subhash Ch Pathak,05-Nov-2019 09:15 PM,Rejected-AOC,L4,15-Oct-2020 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
