Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,07-Oct-2020 11:02 AM,finsummary_60086.pdf (416.15 KB),07-Oct-2020,"INR 664,852",90.0,Kishan Lal Chaudhary,07-Oct-2020 11:03 AM,aoc.pdf (920.00 KB),AOC,PWD,2020_PWD_40709_4,Tender/2020-21-4876-4925 dated 09.09.2020,Repair and maintenance of link road from NH-07 to village Balluwala km. 0/0 to 1/0 (SH P/L 80mm.thick interlocking concrete paver tiles and C/O V-shape drain at various RDs and NP-2 pipes 300mm.dia and 600mm.dia for drainage etc. From RD. 0/0 to 0/3,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,03-Oct-2020 11:58 AM,03-Oct-2020 01:00 PM,techsummary_60086.pdf (716.39 KB),Finance,Financial bid opening summary,Kishan Lal Chaudhary,07-Oct-2020 10:57 AM,finance_60086.pdf,BOQ Comparative Chart,1.0,179246.0,Shamshad Ali Contractor,INR,"596,602",Technical,Bid opening summary,Kishan Lal Chaudhary,03-Oct-2020 11:55 AM,technical_60086.pdf,1.0,180442.0,DEEP CHAND,29-Sep-2020 04:06 PM,Rejected-Finance,L3,07-Oct-2020 11:03 AM,AOC,Repair and maintenance of link road from NH-07 to village Balluwala km. 0/0 to 1/0 (SH P/L 80mm.thick interlocking concrete paver tiles and C/O V-shape drain at various RDs and NP-2 pipes 300mm.dia and 600mm.dia for drainage etc. From RD. 0/0 to 0/3,Repair and maintenance of link road from NH-07 to village Balluwala km. 0/0 to 1/0 (SH P/L 80mm.thick interlocking concrete paver tiles and C/O V-shape drain at various RDs and NP-2 pipes 300mm.dia and 600mm.dia for drainage etc. From RD. 0/0 to 0/3,Please refer tender documents ,NA ,"6,64,852",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,1.0,ICICI BANK,Executive Engineer HPPWD Division Paonta Sahib,Executive Engineer HPPWD Division Paonta Sahib District Sirmour HP,PWD,Tender/2020-21-4876-4925 dated 09.09.2020,2020_PWD_40709_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,17-Sep-2020 04:30 PM,30-Sep-2020 11:30 AM,17-Sep-2020 05:00 PM,29-Sep-2020 05:00 PM,NA ,NA ,17-Sep-2020 05:00 PM,29-Sep-2020 05:00 PM,03-Oct-2020 01:00 PM,"13,300",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,350.0,EE Paonta Sahib,Paonta Sahib,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,180270.0,MANOJ BHARDWAJ,29-Sep-2020 04:40 PM,Rejected-Finance,L2,07-Oct-2020 11:03 AM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,179246.0,Shamshad Ali Contractor,29-Sep-2020 04:06 PM,Accepted-AOC,L1,07-Oct-2020 11:05 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.6.19Ref.Cl- No.18 i.e.R.C,purchase bills,ownership/Affidavit hire",,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,AOC
