Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt. HDM, DAO, A.E.Bhoranj Sub Division",Amar Singh Bhatia,04-Aug-2020 06:32 PM,finsummary_55691.pdf (837.81 KB),16-Oct-2020,"INR 15,283,437",365.0,Amar Singh Bhatia,16-Oct-2020 04:06 PM,A.L.Tikker.Khatrian.PDF (556.00 KB),Award letter attached,PWD,2020_PWD_37791_1,Construction of link road from Tikker Khatrian to,Construction of link road from Tikker Khatrian to Dimmi upto Jhamber Km 0.0 to 2.090,Executive Engineer,Internal,"SupdtGr-II, DAO, HDM, A.E.Bhoranj",Amar Singh Bhatia,14-Jul-2020 02:37 PM,17-Jul-2020 11:30 AM,techsummary_55691.pdf (1020.08 KB),1.0,161885.0,Piar Chand Chauhan,INR,"15,283,437",Finance,Summary attached,Amar Singh Bhatia,04-Aug-2020 06:01 PM,finance_55691.pdf,BOQ Comparative Chart,Technical,Summary attached,Amar Singh Bhatia,14-Jul-2020 02:20 PM,technical_55691.pdf,1.0,161812.0,PARDEEP KUMAR GOVT. CONTRACTOR,09-Jun-2020 01:10 PM,Rejected-Technical,Proof of HMP not uploaded,14-Jul-2020 02:38 PM,AOC,"5,000",EE Bhoranj,Bhoranj,Yes,03-Jun-2020 03:00 PM,10-Jun-2020 11:30 AM,03-Jun-2020 03:00 PM,10-Jun-2020 10:30 AM,NA ,NA ,03-Jun-2020 03:10 PM,10-Jun-2020 10:30 AM,17-Jul-2020 11:30 AM,"Executive Engineer, Bhoranj Division, HP.PWD., Bho","Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Bhoranj,1.0,DD - Demand Draft,Construction of link road from Tikker Khatrian to Dimmi upto Jhamber Km 0.0 to 2.090,SH Removal of formation deficiency R wall C.D. GSB G-II G-III and tarring V shape drain Parapets and sign board Under Nabard RIDF XXV,Please refer Tender documents. ,NA ,"1,08,10,069",Civil Works - Roads,NA ,Tender,120.0,365.0,Bhoranj,176045.0,NA ,NA ,NA ,HPPWD Division Bhoranj,No ,No,"1,40,600",Yes,fixed,,EE Bhoranj,Bhoranj,PWD,Construction of link road from Tikker Khatrian to,2020_PWD_37791_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,161885.0,Piar Chand Chauhan,09-Jun-2020 06:06 PM,Accepted-AOC,L1,16-Oct-2020 04:08 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,"Earnest Money-Indicated in Schedule F (FDR duly pledged in favour of Executive Engineer, HPPWD., Bh",2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,161983.0,Sanjay Thakur,09-Jun-2020 10:16 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Jul-2020 02:21 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration- Gen. Rules Sr. No 23 and 26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,161731.0,S.S.Chauhans Construction Private Limted,09-Jun-2020 07:12 PM,Rejected-AOC,L2,16-Oct-2020 04:08 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,GST Registration -Refer Gen. Rules Sr. No 21 and 26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,"Proof of, Mandatory Machinery Tool and Plant as per Gen Rules 25 and Schedule F Sr. No.6.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
