Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,07-Oct-2020 06:27 PM,finsummary_58057.pdf (217.24 KB),07-Oct-2020,"INR 1,285,311",180.0,Jeet Singh Thakur,07-Oct-2020 06:29 PM,2.aoc7713.pdf (521.00 KB),Providing Crash Barrier on Ludera Sungal Kalotha road at various RDs between Km. 0/0 to 7/500,PWD,2020_PWD_39305_9,No.PWC-WA-II 3835-934 dated 8.7.20,Providing Crash Barrier on Ludera Sungal Kalotha road at various RDs between Km. 0/0 to 7/500,EE,Internal,Assistant Engineer Superintendent and senior assistant,Jeet Singh Thakur,24-Aug-2020 05:41 PM,27-Aug-2020 11:30 AM,techsummary_58057.pdf (195.35 KB),Finance,Bid opening Summary,Jeet Singh Thakur,05-Oct-2020 02:37 PM,finance_58057.pdf,BOQ Comparative Chart,1.0,171406.0,Vipul Bali Govt. Contractor,INR,"1,711,282",Technical,BOS,Jeet Singh Thakur,11-Aug-2020 07:09 PM,technical_58057.pdf,1.0,171462.0,Dinesh Construction Works,04-Aug-2020 07:49 AM,Rejected-Technical,Non Responsive,24-Aug-2020 05:41 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form in shape of Demand Draft,1.0,DD - Demand Draft,500.0,Executive Engineer Chamba Division HPPWD. Chamba,Executive Engineer Chamba Division HPPWD. Chamba,No,PWD,No.PWC-WA-II 3835-934 dated 8.7.20,2020_PWD_39305_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer Chamba Division HPPWD. Chamba,Executive Engineer Chamba Division HPPWD. Chamba,25-Jul-2020 06:00 PM,05-Aug-2020 11:30 AM,25-Jul-2020 06:00 PM,04-Aug-2020 06:00 PM,NA ,NA ,25-Jul-2020 06:00 PM,04-Aug-2020 06:00 PM,27-Aug-2020 11:30 AM,Providing Crash Barrier on Ludera Sungal Kalotha road at various RDs between Km. 0/0 to 7/500,Providing Crash Barrier on Ludera Sungal Kalotha road at various RDs between Km. 0/0 to 7/500,Please refer Tender documents. ,NA ,"12,85,311",Civil Works - Roads,NA ,Tender,90.0,180.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD. Chamba,No ,No,1.0,Corrigendum,Other,,"25,725",No,fixed,,Executive Engineer Chamba Division HPPWD. Chamba,Executive Engineer Chamba Division HPPWD. Chamba,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,171519.0,KANTA DEVI,04-Aug-2020 12:10 PM,Rejected-Technical,Non Responsive,24-Aug-2020 05:41 PM,AOC,,,.pdf,Earnest Money in shape of FDR,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,171395.0,Sarfraj Mohd,03-Aug-2020 04:55 PM,Rejected-AOC,L4,07-Oct-2020 06:31 PM,AOC,,,.pdf,Contractors Registration ( Refer General Rule No.23 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,171211.0,Tahir Malik Allied Services,03-Aug-2020 09:09 PM,Rejected-AOC,L2,07-Oct-2020 06:31 PM,AOC,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,171195.0,TARUN KUMAR,02-Aug-2020 05:04 PM,Rejected-AOC,L3,07-Oct-2020 06:31 PM,AOC,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,171406.0,Vipul Bali Govt. Contractor,04-Aug-2020 01:00 PM,Accepted-AOC,L1,07-Oct-2020 06:31 PM,AOC,,,.pdf,Pan ( Permanent Account No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form 8 duly signed by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Detail of work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Crash Barrier should be as per IS 1367 and IS 1364 as per MoRTH clause 810,documentary proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
