S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,141819.0,JTL Infra Limited,INR,"222,500,000","HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Shimla,Irrigation and Public Health,HP",2019_HPIPH_33309_1,IPH-SP-1-GI-PipesVol-110 /2019-20-5855-57,Procurement of GI Pipes,Engineer in Chief,Internal,Kindly see the attachment,Rakesh Kumar,17-Oct-2020 12:44 PM,finsummary_47981.pdf (209.19 KB),Chief Engineer,Internal,Kindly see the attachment,Rakesh Kumar,15-Jan-2020 04:13 PM,15-Jan-2020 04:15 PM,techsummary_47981.pdf (577.47 KB),1.0,142652.0,APL APOLLO TUBES LIMITED,31-Dec-2019 05:49 PM,Rejected-AOC,Higher Amount Quoted,17-Oct-2020 12:50 PM,17-Oct-2020,"INR 222,500,000",180.0,Rakesh Kumar,17-Oct-2020 12:48 PM,GIAOC33309.pdf (209.00 KB),Procurement of GI Pipes Awaraded JTL Infra Limited dated 01.02.2020.,Finance,Successfully Opened,Rakesh Kumar,15-Jan-2020 05:09 PM,finance_47981.pdf,BOQ Comparative Chart,Technical,Successfully Opened,Rakesh Kumar,02-Jan-2020 12:01 PM,technical_47981.pdf,AOC,1.0,Fee/PreQual/Technical,.pdf,Annual Turn Over of GI Pipes as per Terms and Conditions,Executive Engineer,IPH Division Shimla 9,Procurement of GI Pipes,Procurement of GI Pipes for 15 mm and 20 mm dia,Please refer Tender documents. ,NA ,"25,00,00,000",Pipes and Pipe related activities,NA ,Rate Contract,120.0,180.0,All Himachal as per Tender Document,171005.0,NA ,NA ,NA ,IPH Division Shimla 9,No ,No,"50,00,000",No,fixed,,EE IPH Division Kasumpti Shimla 9,Shimla,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Shimla,Irrigation and Public Health,HP",IPH-SP-1-GI-PipesVol-110 /2019-20-5855-57,2019_HPIPH_33309_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Offline,No,No,No,1.0,DD - Demand Draft,11-Dec-2019 06:55 PM,02-Jan-2020 11:30 AM,11-Dec-2019 06:55 PM,01-Jan-2020 05:00 PM,NA ,NA ,18-Dec-2019 06:00 PM,01-Jan-2020 05:00 PM,15-Jan-2020 04:15 PM,"2,500",EE IPH Division Kasumpti Shimla 9,Shimla,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,143188.0,GAURANG PRODUCTS PVT. LTD.,01-Jan-2020 02:22 PM,Rejected-AOC,Higher Amount Quoted,17-Oct-2020 12:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Supply of GI Pipes to State/Center Govt as per Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,143333.0,JINDAL PIPES LIMITED,01-Jan-2020 11:08 AM,Rejected-AOC,Higher Amount Quoted,17-Oct-2020 12:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Cost of Tender Form and EMD and any other documents required as per Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,141819.0,JTL Infra Limited,01-Jan-2020 04:35 PM,Accepted-AOC,L1,17-Oct-2020 12:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST and Income Tax Return filed for the year 2018-2019 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,142977.0,Nippon Tubes Limited,31-Dec-2019 12:35 PM,Rejected-AOC,Higher Amount Quoted,17-Oct-2020 12:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit of galvanization facility as per Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6.0,142987.0,VISHAL PIPES LIMITED,01-Jan-2020 04:15 PM,Rejected-AOC,Higher Amount Quoted,17-Oct-2020 12:50 PM,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Certificate of Acquitance and acceptance of Terms and Conditions as per Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Certified copy of Valid Manufacturing licence and Valid ISI License as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Authorization Letter of DSC and Affidavit of Non Black Listing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,copy of MOU with approved vendor as per Tender Documents and lifting of raw material as per document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Price Bid (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
