Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
VIJAY KUMAR AGGARWAL,Internal,SUPTD DAO DHD,Vijay Kumar Aggarwal,30-May-2020 02:47 PM,finsummary_55021.pdf (493.48 KB),18-Aug-2020,"INR 8,556,667",90.0,Vijay Kumar Aggarwal,06-Oct-2020 01:58 PM,AOC_37341_2.pdf (1168.00 KB),Awarded to M/s New India Contratctors,PWD,2020_PWD_37341_2,NAHAN 22-40,Periodic Maintenance of Various Rural Roads under Nahan Division under AMP Plan for the year 2020-21,VIJAY KUMAR AGGARWAL,Internal,SUPTD DAO HDM,Vijay Kumar Aggarwal,30-May-2020 11:16 AM,30-May-2020 11:30 AM,techsummary_55021.pdf (689.04 KB),Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,28-May-2020 05:03 PM,technical_55021.pdf,1.0,159557.0,NEW INDIA CONTRACTOR AND DEVELOPERS PVT. LDT CHANDIGRAH,27-May-2020 12:55 PM,Accepted-AOC,L1,06-Oct-2020 02:00 PM,1.0,159557.0,NEW INDIA CONTRACTOR AND DEVELOPERS PVT. LDT CHANDIGRAH,INR,"12,253,549",Finance,FINANCIAL SUMMARY,Vijay Kumar Aggarwal,30-May-2020 02:41 PM,finance_55021.pdf,BOQ Comparative Chart,AOC,21-May-2020 05:00 PM,28-May-2020 11:00 AM,21-May-2020 05:00 PM,28-May-2020 10:00 AM,NA ,NA ,21-May-2020 05:00 PM,28-May-2020 10:00 AM,30-May-2020 11:30 AM,Periodic Maintenance of Various Rural Roads under Nahan Division under AMP Plan for the year 2020-21,P/L 30 mm thick Bituminous Concrete on Palion to Majri Road Km 1/0 to 4/0 and Jabbal Kanoti to Upper Surla Kathana Road Km 0/0 to 5/800,As Per Bidding Document ,NA ,"85,56,667",Civil Works - Roads,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD Division Nahan,No ,No,1.0,Technical,.pdf,COST OF TENDER (Indicated in Schedule F),PWD,NAHAN 22-40,2020_PWD_37341_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"2,000",EE Nahan,Nahan,No,"1,18,500",No,fixed,,EE Nahan,Nahan,Executive Engineer,Executive Engineer HPPWD Division Nahan,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,159647.0,PREM SINGH,28-May-2020 09:43 AM,Rejected-AOC,L2,06-Oct-2020 02:00 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY (Indicated in Schedule F),,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,159520.0,Rashid Ali Civil Contractor,27-May-2020 06:35 AM,Rejected-Technical,did not submit the documents physically,30-May-2020 11:16 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION (General Rules No. 26.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION (General Rule No. 26.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE AND WORK IN HANDCERTIFICATES(FOR Job No.1 to 4 ONLY)(General Rule No. 26.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF MACHINERY (General Rule No. 26.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM OF BID (General Rules No. 26.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"UNDERTAKING (FOR Job No. 4, 5 ONLY)(General Rule No. 28.1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"BIDDING CAPACITY/ C.A. ANNUAL REPORT (FOR Job No.1, 2, 3 ONLY) (General Rule No. 28.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Financial,.xls,BILL OF QUANTITY IN XLS FORMAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
