Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
Er.G.S. Rana E.E.,Internal,"Er. Kuldeep Singh AE to EE Arvind Choudhary AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Gurcharan Singh Rana,12-Oct-2020 05:52 PM,finsummary_60630.pdf (530.62 KB),21-Oct-2020,"INR 2,713,802",30.0,Gurcharan Singh Rana,23-Oct-2020 11:13 AM,Awardletter.pdf (925.00 KB),Awardletter,PWD,2020_PWD_41100_1,Job 3 Annual surfacing on link road from Una Jai,"Job 3 Annual surfacing on link road from Una Jaijon road to Kangar km.0-0 to 0-658 and 1-0 to 1-768 VR 027 and link road to village Polian Beet km.5-0 to 6-990 VR 048 and Sub Head P.L Patch work,30mm thick bitumen concrete Under PMGSY incentive",Er.G.S. Rana E.E.,Internal,"Er. Kuldeep Singh AE to EE Arvind Choudhary AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Gurcharan Singh Rana,07-Oct-2020 02:48 PM,09-Oct-2020 10:00 AM,techsummary_60630.pdf (368.04 KB),1.0,180720.0,SS CONSTRUCTION COMPANY,INR,"2,867,199",Finance,Proceedingregardingopeningoffinancialbids,Gurcharan Singh Rana,12-Oct-2020 05:10 PM,finance_60630.pdf,BOQ Comparative Chart,Technical,TechnicalBidOpeningSummary,Gurcharan Singh Rana,03-Oct-2020 01:25 PM,technical_60630.pdf,1.0,180500.0,bakshiram govt contractor,30-Sep-2020 12:40 PM,Rejected-AOC,ok,23-Oct-2020 11:15 AM,AOC,"48,250",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,PWD,Job 3 Annual surfacing on link road from Una Jai,2020_PWD_41100_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Job 3 Annual surfacing on link road from Una Jaijon road to Kangar km.0-0 to 0-658 and 1-0 to 1-768 VR 027 and link road to village Polian Beet km.5-0 to 6-990 VR 048 and Sub Head P.L Patch work,30mm thick bitumen concrete Under PMGSY incentive","Job 3 Annual surfacing on link road from Una Jaijon road to Kangar km.0-0 to 0-658 and 1-0 to 1-768 VR 027 and link road to village Polian Beet km.5-0 to 6-990 VR 048 and Sub Head P.L Patch work,30mm thick bitumen concrete Under PMGSY incentive",Please refer to Bidding Documents ,NA ,"27,13,802",Civil Works - Roads,NA ,Tender,120.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,25-Sep-2020 03:00 PM,01-Oct-2020 11:00 AM,25-Sep-2020 03:30 PM,01-Oct-2020 09:00 AM,NA ,NA ,25-Sep-2020 03:30 PM,01-Oct-2020 09:00 AM,09-Oct-2020 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),1.0,FDR - Fixed Deposit,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,180741.0,Ishan Thakur,30-Sep-2020 10:03 PM,Rejected-AOC,ok,23-Oct-2020 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,180621.0,R.D. DUVEDI,30-Sep-2020 05:06 PM,Rejected-AOC,ok,23-Oct-2020 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,180736.0,Shivalik Construction Company,30-Sep-2020 08:14 PM,Rejected-AOC,ok,23-Oct-2020 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,180720.0,SS CONSTRUCTION COMPANY,01-Oct-2020 06:57 AM,Accepted-AOC,ok,23-Oct-2020 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,AOC
