S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.3,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,DD - Demand Draft,C/o U shape covered drain including foot path Dhalli tunnel to Mashobra Junction on Kalka Shimla Wangtoo Road NH22 (New NH05),"Cutting in earth work, construction of Breast wall, construction of covered drain along with foot path from Km.154/500 to 154/760 against smart city project",As per tender document ,NA ,"1,02,21,109",Civil Works,NA ,Tender,120.0,365.0,Shimla,171001.0,NA ,NA ,NA ,Solan,No ,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and earnest money deposit,"Executive Engineer, NH Division, HPPWD Solan","Executive Engineer, NH Division, HPPWD Solan",1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,SBD corrigendum,Other,,"1,35,000",No,fixed,,"Executive Engineer, NH Division HPPWD Solan",Solan,PWD,2901-36,2020_PWD_40478_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,000","Executive Engineer, NH Division HPPWD Solan",Solan,No,09-Sep-2020 05:00 PM,25-Sep-2020 11:00 AM,09-Sep-2020 05:00 PM,25-Sep-2020 10:30 AM,NA ,NA ,09-Sep-2020 05:00 PM,25-Sep-2020 10:30 AM,06-Oct-2020 02:30 PM,1.0,179317.0,AIDANT IMPLEMENTATION PRIVATE LIMITED,24-Sep-2020 10:31 PM,Rejected-Finance,Being L3,09-Oct-2020,Technical,BOS,Kulbir Singh Thakur,06-Oct-2020 01:18 PM,technical_59748.pdf,1.0,178740.0,Rajinder Sharma,INR,"9,225,772",Finance,Financial bid opening summary,Kulbir Singh Thakur,09-Oct-2020 12:25 PM,finance_59748.pdf,BOQ Comparative Chart,PWD,2020_PWD_40478_3,2901-36,C/o U shape covered drain including foot path Dhalli tunnel to Mashobra Junction on Kalka Shimla Wangtoo Road NH22 (New NH05),Er Kulbir Singh Thakur EE,Internal,Miss Akriti Aggrawal AO SH Ghanshyam Mehta HDM Sh Rajinder singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,06-Oct-2020 01:40 PM,06-Oct-2020 02:30 PM,techsummary_59748.pdf (1549.16 KB),Er Kulbir Singh Thakur,Internal,Ms Akriti Aggarwal DAO Sh Ghanshyam Mehta Sh Rajinder Singh Supdt II Smt Samriti Verma TA,Kulbir Singh Thakur,09-Oct-2020 12:29 PM,finsummary_59748.pdf (695.24 KB),29-Oct-2020,"INR 9,225,772",365.0,Kulbir Singh Thakur,08-Aug-2023 03:17 PM,rajindersharma.pdf (482.00 KB),LOA
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,contractor registration,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,179342.0,Er. Ankush Dewan,25-Sep-2020 09:54 AM,Rejected-Finance,Being L2,09-Oct-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales Tax/GST,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,178802.0,kapoor sanjee,24-Sep-2020 12:34 PM,Rejected-Finance,Being L4,09-Oct-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tools and plant",,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,178740.0,Rajinder Sharma,22-Sep-2020 12:42 PM,Accepted-AOC,being L1,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness of all the documents,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,179261.0,RITESH SOOD,24-Sep-2020 10:45 PM,Rejected-Finance,Being L5,09-Oct-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding both gazetted and non gazetted employees of HPPWD related to him,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
