Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Earnest Money in shape of FDR as mentioned NIT,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722-2020-21- 4075-4150 dt 25-7-2020,2020_HPIPH_39303_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,27-Jul-2020 05:00 PM,04-Aug-2020 11:30 AM,27-Jul-2020 05:00 PM,04-Aug-2020 11:00 AM,NA ,NA ,27-Jul-2020 05:00 PM,04-Aug-2020 11:00 AM,22-Aug-2020 04:25 PM,1.0,ICICI BANK,"16,500",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"Providing LWSS to PC habitation under GP Koulanwala Bhood, Burmapapri, Palion, Nahan Bankala in Tehsil Nahan Distt. Sirmour HP","Providing, Laying and jointing of GMS pipes in GP Bikram Bag) Job No. 5 under JJM",Please refer Tender documents. ,NA ,"8,23,951",Pipe Laying Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,AOC,Dr. Mandeep Gupta EE,Internal,DM HDM EE,Mandeep Gupta,12-Oct-2020 10:53 AM,finsummary_58032.pdf (591.74 KB),1.0,171463.0,imIMRAN SHAH,INR,"652,115","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2020_HPIPH_39303_5,NHN-SMR00-722-2020-21- 4075-4150 dt 25-7-2020,"Providing LWSS to PC habitation under GP Koulanwala Bhood, Burmapapri, Palion, Nahan Bankala in Tehsil Nahan Distt. Sirmour HP",1.0,170255.0,Devinder sumra,31-Jul-2020 09:46 PM,Rejected-Finance,Rejected,12-Oct-2020 10:55 AM,Dr. Mandeep Gupta EE,Internal,HDM DAO Supdt EE,Mandeep Gupta,22-Aug-2020 04:21 PM,22-Aug-2020 04:25 PM,techsummary_58032.pdf (100.30 KB),Technical,Technical Bid Opening Summary,Mandeep Gupta,22-Aug-2020 04:18 PM,technical_58032.pdf,Finance,Fianancial Bid Openign Summary,Mandeep Gupta,22-Aug-2020 05:42 PM,finance_58032.pdf,BOQ Comparative Chart,12-Oct-2020,"INR 823,951",90.0,Mandeep Gupta,12-Oct-2020 10:56 AM,AOC.pdf (628.00 KB),AOC,AOC
,,.pdf,Cost of Tender form as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,171452.0,DINESH KUMAR GUPTA,04-Aug-2020 12:06 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Aug-2020 04:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Registration in HPJSV as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3.0,171463.0,imIMRAN SHAH,04-Aug-2020 07:53 AM,Accepted-AOC,AOC,12-Oct-2020 10:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4.0,171289.0,KESHWA NAND,03-Aug-2020 01:24 PM,Rejected-Finance,REjected,12-Oct-2020 10:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,PAN Card and GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5.0,171437.0,tanushree trader,03-Aug-2020 09:46 PM,Rejected-Finance,Rejected,12-Oct-2020 10:55 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Undertaking Joint Venture is not Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Undertaking carefully study all terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit specifying that the benefit availed under earnest money exemption has not been exhausted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
