Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Dr. Mandeep Gupta EE,Internal,TA Supdt HDM DAO Executive Engineer,Mandeep Gupta,27-Apr-2020 02:25 PM,27-Apr-2020 02:30 PM,techsummary_52938.pdf (182.84 KB),1.0,156043.0,Nil,20-Mar-2020 02:52 PM,Accepted-AOC,AOC,09-Oct-2020 05:18 PM,Finance,Financial Bid Summary,Mandeep Gupta,29-Apr-2020 01:44 PM,finance_52938.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Mandeep Gupta,27-Apr-2020 02:23 PM,technical_52938.pdf,09-Oct-2020,"INR 5,990,430",180.0,Mandeep Gupta,09-Oct-2020 05:17 PM,AOC.pdf (743.00 KB),AOC,1.0,156043.0,Nil,INR,"5,103,297","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2020_HPIPH_35969_2,NHN-SMR00-722-14956-15036 dated 05-03-2020,Providing LWSS to Industrial Area of Moginand and surrounding villages in GP KalaAmb in Tehsil Nahan Distt. Sirmour HP,Er J S Chouhan SE,Internal,SupdtWS CHD AED EED EENahan SE,Mandeep Gupta,09-Oct-2020 05:12 PM,finsummary_52938.pdf (743.26 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,800.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,Providing LWSS to Industrial Area of Moginand and surrounding villages in GP KalaAmb in Tehsil Nahan Distt. Sirmour HP,"Supply and errection of submersible pumping machinery with allied accessories and Providing, laying, jointing and Testing of MSERW/GMS pipe of Rising main for Johron, Moginand and Banka Bara",Please refer Tender documents. ,NA ,"59,90,430",Pumps/Motors,Rmain ,Tender,120.0,180.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,06-Mar-2020 06:00 PM,21-Mar-2020 11:30 AM,06-Mar-2020 06:00 PM,21-Mar-2020 11:00 AM,NA ,NA ,06-Mar-2020 06:00 PM,21-Mar-2020 11:00 AM,27-Apr-2020 02:30 PM,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,1.0,ICICI BANK,"92,500",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722-14956-15036 dated 05-03-2020,2020_HPIPH_35969_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,2.0,156128.0,shiv iron general engineers,21-Mar-2020 09:53 AM,Rejected-Finance,Rejected,09-Oct-2020 05:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Cost of Tender form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3.0,155966.0,The Nandini Enterprises and Sons,20-Mar-2020 11:11 AM,Rejected-Finance,Rejectd,09-Oct-2020 05:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Registration in HP Jal Shakti Vibhag as mentioned in NIT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,PAN No. and GST Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking Carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Dealership/Sub-dealership of offered Pumping machinery as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Upload and supply the undertaking of the curve charts along with selection of pumps and motors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
