S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,175220.0,akhilandco@gmail.com,INR,"1,483,391","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2020_HPIPH_39967_2,NHN-SMR00-722-5070-5130 dt 19-8-2020,"Providing Sewerage with primary treatment unit for Kala Amb, Moginand area in Tehsil Nahan Distt. Sirmour HP",Dr. Mandeep Gupta EE,Internal,DM HDM EE,Mandeep Gupta,12-Oct-2020 11:39 AM,finsummary_59010.pdf (796.55 KB),1.0,175220.0,akhilandco@gmail.com,26-Aug-2020 04:46 PM,Accepted-AOC,AOC,12-Oct-2020 11:51 AM,Er JS Chauhan SE,Internal,CHD AED EED SE,Mandeep Gupta,16-Sep-2020 02:53 PM,16-Sep-2020 03:00 PM,techsummary_59010.pdf (140.17 KB),Technical,Technical Bid Opening Summary,Mandeep Gupta,16-Sep-2020 12:35 PM,technical_59010.pdf,Finance,Financial Bid OPening Summary,Mandeep Gupta,16-Sep-2020 03:48 PM,finance_59010.pdf,BOQ Comparative Chart,12-Oct-2020,"INR 1,978,663",90.0,Mandeep Gupta,12-Oct-2020 11:49 AM,AOC.pdf (797.00 KB),Award to contractor,AOC,"Providing Sewerage with primary treatment unit for Kala Amb, Moginand area in Tehsil Nahan Distt. Sirmour HP","C/o Reed Beds chamber with plantation (abetting pollution/contamination in wastewater), Laying and jointing pipeline, protection work and check dam at site-2 for Rejuvenation of Jattanwala Nala using phytoremediation",Please refer Tender documents. ,NA ,"19,78,663",Civil Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,"37,200",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722-5070-5130 dt 19-8-2020,2020_HPIPH_39967_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,19-Aug-2020 05:00 PM,27-Aug-2020 11:30 AM,19-Aug-2020 05:00 PM,27-Aug-2020 11:00 AM,NA ,NA ,19-Aug-2020 05:00 PM,27-Aug-2020 11:00 AM,16-Sep-2020 03:00 PM,AOC
,,,,,,,,,,,,,,,2.0,175256.0,C AND E CONSULTANCY,26-Aug-2020 08:29 PM,Rejected-Finance,Rejected,12-Oct-2020 11:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender form as mentioned in NIT,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3.0,175250.0,MAHENDER SHARMA,26-Aug-2020 08:48 PM,Rejected-Finance,Rejected,12-Oct-2020 11:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4.0,175251.0,M/s Pardeep Sublaik,26-Aug-2020 08:11 PM,Rejected-Finance,Rejected,12-Oct-2020 11:41 AM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Card and GST No,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not allowed,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of carefully study all terms an condition,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
