Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,summary,Jitender Kumar,06-Aug-2020 04:20 PM,technical_57762.pdf,1.0,171588.0,AMIT KATOCH,05-Aug-2020 04:25 PM,Accepted-AOC,AOC,06-Oct-2020 12:11 PM,Finance,fbosummary,Jitender Kumar,17-Aug-2020 04:34 PM,finance_57762.pdf,BOQ Comparative Chart,1.0,171588.0,AMIT KATOCH,INR,"3,402,795",01-Oct-2020,"INR 3,402,795",365.0,Jitender Kumar,06-Oct-2020 12:10 PM,AOC39126kutgarh.PDF (267.00 KB),AOC,Er. J.K. Gupta,Internal,AE Jhatingri Supdt. HDM,Jitender Kumar,27-Aug-2020 01:30 PM,finsummary_57762.pdf (123.86 KB),Er. J.K. Gupta,Internal,DAO Supdt. HDM,Jitender Kumar,14-Aug-2020 04:46 PM,17-Aug-2020 11:00 AM,techsummary_57762.pdf (186.62 KB),PWD,2020_PWD_39126_1,PW-MDI-Tender-NIT- 6281-6316 dated 08.07.2020,Construction of additional accommodation for Govt. High School building at Kutgarh Tehsil Padhar Distt. Mandi (H.P.) Under execution of Civil works for strengthening of existing school infrastructure under RMSA,AOC,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",20-Jul-2020 04:00 PM,06-Aug-2020 11:30 AM,20-Jul-2020 04:00 PM,05-Aug-2020 05:00 PM,NA ,NA ,20-Jul-2020 04:00 PM,05-Aug-2020 05:00 PM,17-Aug-2020 11:00 AM,Construction of additional accommodation for Govt. High School building at Kutgarh Tehsil Padhar Distt. Mandi (H.P.) Under execution of Civil works for strengthening of existing school infrastructure under RMSA,"C/O Science Lab, Library, Art and Craft room and Stair case including site development",As per bid documents ,NA ,"26,09,271",Civil Works - Buildings,NA ,Tender,120.0,365.0,Jhatingri,176120.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,"46,700",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,PWD,PW-MDI-Tender-NIT- 6281-6316 dated 08.07.2020,2020_PWD_39126_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),1.0,DD - Demand Draft,"1,500","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,AOC
,,,,,2.0,170859.0,Ayush Thakur,31-Jul-2020 05:52 PM,Rejected-Technical,Non-Responsive,14-Aug-2020 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,3.0,170946.0,Rajneesh KUMAR THAKUR,31-Jul-2020 05:42 PM,Rejected-Finance,L-2,27-Aug-2020 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,AOC
,,,,,4.0,171583.0,RAJU RAM,04-Aug-2020 03:31 PM,Rejected-Technical,Non-Responsive,14-Aug-2020 04:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed (General Rule No.26.7),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,AOC
