Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Award letter,Dinesh Kumar Dhiman,01-Jun-2020 02:45 PM,finance_50836.pdf,BOQ Comparative Chart,1.0,150692.0,ANIL KUMAR,INR,"845,186",Technical,Bid opening summary,Dinesh Kumar Dhiman,29-Feb-2020 12:06 PM,technical_50836.pdf,1,151272,ABHINAV MAHAJAN,26-Feb-2020 04:56 PM,Rejected-AOC,qualified,19-Oct-2020 03:03 PM,19-Oct-2020,"INR 845,186",60.0,Dinesh Kumar Dhiman,19-Oct-2020 03:01 PM,STSCAnil.pdf (190.00 KB),AOC,Er. DK Dhiman,Internal,GA/HDM,Dinesh Kumar Dhiman,19-Oct-2020 02:56 PM,finsummary_50836.pdf (190.44 KB),Er. DK Dhiman,Internal,"DHD, GA",Dinesh Kumar Dhiman,29-Feb-2020 12:10 PM,29-Feb-2020 12:15 PM,techsummary_50836.pdf (151.40 KB),PWD,2020_PWD_34691_3,No.PWN/GA/7936-66 dt.29/01/2020,C/O link road to SC/ST Basti Sudyal kms 0/0 to 1/500,AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of Enlistment,C/O link road to SC/ST Basti Sudyal kms 0/0 to 1/500,"C/O R/wall at RD 0/050 to 0/070,0/240 to 0/272,edge wall at RD0/0 to 0/032 Both side parapets at RD 0/0 to0/170, interlocking paver block at RD 0/0 to 0/032,0/050 to 0/070,0/075 to0/110,0/135 to 0/150 and causeway at RD 0/070 to 0/075.",Please refer Tender documents. ,NA ,"8,52,466",Civil Works - Roads,NA ,Tender,120.0,60.0,Nurpur,176202.0,NA ,NA ,NA ,Nurpur,No ,No,14-Feb-2020 11:30 AM,28-Feb-2020 11:30 AM,14-Feb-2020 11:30 AM,27-Feb-2020 04:00 PM,14-Feb-2020 11:30 AM ,27-Feb-2020 04:00 PM ,14-Feb-2020 11:30 AM,27-Feb-2020 04:00 PM,29-Feb-2020 12:15 PM,350.0,EE Nurpur,Nurpur,No,1.0,DD - Demand Draft,Executive Engineer,"Nurpur Division, HP.PWD., Nurpur.","17,100",No,fixed,,EE Nurpur,Nurpur,PWD,No.PWN/GA/7936-66 dt.29/01/2020,2020_PWD_34691_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2,151221,AMI CHAND,26-Feb-2020 03:09 PM,Rejected-AOC,qualified,19-Oct-2020 03:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Earnest money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,150692,ANIL KUMAR,24-Feb-2020 03:53 PM,Accepted-AOC,qualified,19-Oct-2020 03:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Cost of tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,151254,DEEPAK SOGA,26-Feb-2020 04:19 PM,Rejected-Technical,Not qualified,29-Feb-2020 12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,151538,Gian chand,27-Feb-2020 03:26 PM,Rejected-AOC,qualified,19-Oct-2020 03:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,150926,HARNAM SINGH,25-Feb-2020 03:33 PM,Rejected-AOC,qualified,19-Oct-2020 03:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,151502,Jagjit Singh,27-Feb-2020 03:32 PM,Rejected-AOC,qualified,19-Oct-2020 03:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,150739,JAKUB DIN GOVT CONTRACTOR,25-Feb-2020 07:07 PM,Rejected-AOC,qualified,19-Oct-2020 03:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,151483,MANGAL SINGH GOVT. CONTRACTOR,27-Feb-2020 02:23 PM,Rejected-AOC,qualified,19-Oct-2020 03:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,151293,RAJESH SINGH,26-Feb-2020 05:48 PM,Rejected-AOC,qualified,19-Oct-2020 03:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
