Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt. HDM, DAO, A.E.Bhoranj Sub Division",Amar Singh Bhatia,04-Aug-2020 06:36 PM,finsummary_55677.pdf (837.81 KB),24-Oct-2020,"INR 31,071,596",365.0,Amar Singh Bhatia,24-Oct-2020 01:10 PM,LALadrourHatwar.PDF (1105.00 KB),Award letter Attached,PWD,2020_PWD_37788_1,Construction of link road including one No. Bridge,Construction of link road including one No Bridge from Ladrour Hatwar road at village Samlah to Dasmal via Tohu and Govt. Primary School Tohu Km 0.0 to 1.510,Executive Engineer,Internal,"SupdtGr-II, DAO, HDM, A.E.Bhoranj",Amar Singh Bhatia,14-Jul-2020 02:41 PM,17-Jul-2020 11:30 AM,techsummary_55677.pdf (907.42 KB),Finance,Summary attached,Amar Singh Bhatia,04-Aug-2020 05:58 PM,finance_55677.pdf,BOQ Comparative Chart,1.0,161719.0,S.S.Chauhans Construction Private Limted,INR,"31,071,596",Technical,Summary attached,Amar Singh Bhatia,14-Jul-2020 02:19 PM,technical_55677.pdf,1.0,161957.0,DEEPAK JOSHI,09-Jun-2020 08:21 PM,Rejected-AOC,L2,24-Oct-2020 01:12 PM,AOC,"5,000",EE Bhoranj,E.E.Bhoranj,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Bhoranj,PWD,Construction of link road including one No. Bridge,2020_PWD_37788_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,18,200",Yes,fixed,,EE Bhoranj,Bhoranj,1.0,DD - Demand Draft,1.0,Corrigendum Eligibility criteria/ Bidding CAPACITYLadrour Hatwar road,Other,,03-Jun-2020 02:00 PM,10-Jun-2020 11:30 AM,03-Jun-2020 02:00 PM,10-Jun-2020 10:30 AM,NA ,NA ,03-Jun-2020 02:10 PM,10-Jun-2020 10:30 AM,17-Jul-2020 11:30 AM,"E.E. HP.PWD., Bhoranj","Executive Engineer, Bhoranj Division, HP.PWD.,Bhoranj",Construction of link road including one No Bridge from Ladrour Hatwar road at village Samlah to Dasmal via Tohu and Govt. Primary School Tohu Km 0.0 to 1.510,C O ROFD 5/7 mtr Wide road R/wall B/Wall soling wearing tarring drain parapets logo sin board and Km Stone etcUnder Nabard RIDFXXV,Please refer Tender documents. ,NA ,"1,86,86,224",Civil Works - Roads,NA ,Tender,120.0,365.0,Bhoranj,176045.0,NA ,NA ,NA ,HPPWD Division Bhoranj office,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,161719.0,S.S.Chauhans Construction Private Limted,09-Jun-2020 07:05 PM,Accepted-AOC,Work Awarded,24-Oct-2020 01:12 PM,AOC,,,,,,,.pdf,"Earnest Money-Indicated in Schedule F (FDR duly pledged in favour of Executive Engineer, HPPWD., Bh",,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractor Registration- Gen. Rules Sr. No 23 and 26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,GST Registration -Refer Gen. Rules Sr. No 21 and 26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Proof of, Mandatory Machinery Tool and Plant as per Gen Rules 25 and Schedule F Sr. No.6.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
