Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage
22-Oct-2020,"INR 2,173,333",60.0,SHASHI PAL,22-Oct-2020 03:01 PM,AOC.pdf (1635.00 KB),Work Awarded,Er.S.K.Agnihotri EE,Internal,Supdt. HDM AO,Sanjiv Kumar Agnihotri,09-Jul-2020 06:32 PM,finsummary_56631.pdf (617.79 KB),Er.S.K.Agnihorti EE,Internal,Supdt. HDM AO,Sanjiv Kumar Agnihotri,06-Jul-2020 04:53 PM,07-Jul-2020 10:30 AM,techsummary_56631.pdf (595.69 KB),PWD,2020_PWD_38332_1,Tender Notice Job7,C/O Link road to Pansai from Naloot,Finance,Financial Bid Opened,Sanjiv Kumar Agnihotri,09-Jul-2020 03:03 PM,finance_56631.pdf,BOQ Comparative Chart,1.0,165604.0,Charanjit Sharma Govt Contractor,INR,"2,173,333",Technical,Tech bid opened,Sanjiv Kumar Agnihotri,06-Jul-2020 04:49 PM,technical_56631.pdf,1.0,165604.0,Charanjit Sharma Govt Contractor,01-Jul-2020 03:08 PM,Accepted-AOC,Lowest,22-Oct-2020 03:03 PM,AOC,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,500.0,Executive Engineer HPPWD Division Bangana,Bangana,No,"31,800",Yes,fixed,,Executive Engineer HPPWD Division Bangana,Bangana,C/O Link road to Pansai from Naloot,"P/L C.C.Pavement from RD 0/100 to 0/400, P/L Soling Wearing M/T with seal Coat from RD. 0/000 to 0/100 and 0/400 to 1/000",Please refer Tender documents. ,NA ,"15,85,723",Civil Works,NA ,Tender,120.0,60.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,24-Jun-2020 11:00 AM,04-Jul-2020 11:30 AM,24-Jun-2020 11:30 AM,03-Jul-2020 06:00 PM,NA ,NA ,24-Jun-2020 11:30 AM,03-Jul-2020 06:00 PM,07-Jul-2020 10:30 AM,PWD,Tender Notice Job7,2020_PWD_38332_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,SS - Small Savings Instrument,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,165607.0,kamal singh,01-Jul-2020 03:23 PM,Rejected-AOC,Higher side,22-Oct-2020 03:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money (Indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document as per General Rule 19,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no pending litigation with the Department,AOC
