Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla||CEO BBNDA at Baddi Distt.Solan (H.P.)||Executive Engineer (Project Division) BBNDA,2020_BBNDA_38693_1,BBNDA-06(PROJECT)NIT/3915-25 DATED 01.07.2020,C/o Retaining wall on road from Sikka chowk to Vardhman chowk. (SH C/o Retaining wall RD 1/320 and 4/820),1.0,170249.0,gobind sahib enterprises,INR,"935,780",Jt. CEO,Internal,"EE, JC, AE I, AE II, JDM and Clerk",Satpal Singh,20-Aug-2020 02:52 PM,finsummary_57165.pdf (195.74 KB),26-Sep-2020,"INR 1,047,910",90.0,pardeep kumar,06-Oct-2020 12:47 PM,GobindAOC.pdf (370.00 KB),AOC,Technical,Bid Opening Summary,Satpal Singh,07-Aug-2020 12:39 PM,technical_57165.pdf,Finance,Financial Summary,Satpal Singh,20-Aug-2020 02:48 PM,finance_57165.pdf,BOQ Comparative Chart,1,170500,bhupinder chandel,29-Jul-2020 02:33 PM,Rejected-AOC,Reject,06-Oct-2020 12:49 PM,Jt. CEO,Internal,"EE, AE I , AE II, JC, JDM, Clerk",Satpal Singh,07-Aug-2020 12:44 PM,13-Aug-2020 10:00 AM,techsummary_57165.pdf (288.43 KB),AOC,"21,000",No,fixed,,EE BBNDA BADDI,BBNDA BADDI,500.0,EE BBNDA BADDI,BBNDA BADDI,No,Baddi Barotiwala Nalagarh Development Authority||Director Industries to the Govt. of H.P.Shimla||CEO BBNDA at Baddi Distt.Solan (H.P.)||Executive Engineer (Project Division) BBNDA,BBNDA-06(PROJECT)NIT/3915-25 DATED 01.07.2020,2020_BBNDA_38693_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,EE BBNDA BADDI,BBNDA BADDI,C/o Retaining wall on road from Sikka chowk to Vardhman chowk. (SH C/o Retaining wall RD 1/320 and 4/820),C/o Retaining wall on road from Sikka chowk to Vardhman chowk. (SH C/o Retaining wall RD 1/320 and 4/820),Please refer Tender documents. ,NA ,"10,47,910",Civil Works - Others,RETAINING WALL ,Tender,90.0,90.0,BADDI,173205.0,NA ,NA ,NA ,BBNDA BADDI,No ,No,08-Jul-2020 05:00 PM,30-Jul-2020 11:00 AM,08-Jul-2020 05:00 PM,29-Jul-2020 05:00 PM,08-Jul-2020 05:00 PM ,29-Jul-2020 02:00 PM ,08-Jul-2020 05:00 PM,29-Jul-2020 05:00 PM,13-Aug-2020 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,170199,Divya Construction Co.,28-Jul-2020 04:29 PM,Rejected-Finance,Reject,20-Aug-2020 02:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,170249,gobind sahib enterprises,28-Jul-2020 07:02 PM,Accepted-AOC,Accept,06-Oct-2020 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,170113,HARDEEP SINGH,28-Jul-2020 11:25 AM,Rejected-Finance,Reject,20-Aug-2020 02:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,170278,K.S BUILDERS,28-Jul-2020 09:20 PM,Rejected-AOC,Reject,06-Oct-2020 12:49 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,168803,mangla constructions,21-Jul-2020 07:22 PM,Rejected-Finance,Reject,20-Aug-2020 02:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,170163,Naranjan Dass,28-Jul-2020 02:59 PM,Rejected-Finance,Reject,20-Aug-2020 02:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,170572,RAJ KUMAR,29-Jul-2020 04:55 PM,Rejected-Finance,Reject,20-Aug-2020 02:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,170099,SHIV CHADURY,29-Jul-2020 12:31 PM,Rejected-Finance,Reject,20-Aug-2020 02:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,169973,SIMRAT CONSTRUCTION,27-Jul-2020 02:35 PM,Rejected-Finance,Reject,20-Aug-2020 02:53 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
