S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,S.No.1,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,78398.0,Shyama Power India limited,INR,235206467.0,Technical,TECHNICAL BIDS OPENED,Uday Sankar Nath,19-Mar-2020 02:34 PM,,CGM(PPandD),Internal,,JHARNA DEVI,16-Oct-2020 12:40 PM,finsummary_25751.pdf (123.39 KB),Assam Electricity Grid Corporation Ltd||CGM (T and T),2019_AEGCL_15556_2,Tech-765/AIIMS/2018/ SSandTL/IFB,AEGCL/MD/Tech-765/AIIMS/2018/ SSandTL/IFB,MD(AEGCL),Internal,,JHARNA DEVI,02-Jul-2020 08:57 PM,04-Jul-2020 12:00 PM,techsummary_25751.pdf (677.09 KB),1,78633,ABN Tower and Transmission Private Limited,17-Mar-2020 11:02 PM,Rejected-AOC,L5,16-Oct-2020 12:46 PM,16-Oct-2020,INR 235206467,720.0,JHARNA DEVI,16-Oct-2020 12:46 PM,NoA_AIIMS_16.07.2020.pdf (17925.00 KB),CONTRACT VALUE INCLUDING TAXES,Finance,PRICE BIDS OPENED ON 04.07.2020,SUBRATA BISWAS,04-Jul-2020 12:09 PM,,BOQ Comparative Chart,AOC,1.0,Corrigendum,Technical Bid,,CGM(PPandD),"AEGCL, 1ST FLOOR, BIJULEE BHAWAN, PALTANBAZAR, GHY-1",1.0,SBI Bank,"52,00,000",Yes,fixed,,AEGCL,Guwahati,1.0,Fee/PreQual/Technical,.rar,Techno Commercial,04-Mar-2020 04:00 PM,19-Mar-2020 12:00 PM,04-Mar-2020 04:00 PM,18-Mar-2020 12:00 PM,NA ,NA ,04-Mar-2020 04:00 PM,18-Mar-2020 12:00 PM,04-Jul-2020 12:00 PM,"2,000",AEGCL,Guwahati,No,AEGCL/MD/Tech-765/AIIMS/2018/ SSandTL/IFB,"Construction of 1X25 MVA , 132/33KV Sub-station at AIIMS Campus (Changsari), Guwahati, Assam alongwith Associated Transmission Line under Deposit Scheme of Health and Family Welfare Deptt. Govt. of Assam",Please refer Tender documents. ,NA ,"26,00,00,000",Electrical Works,NA ,Tender,180.0,720.0,GUWAHATI,781001.0,NA ,NA ,NA ,GUWAHATI,No ,No,Assam Electricity Grid Corporation Ltd||CGM (T and T),Tech-765/AIIMS/2018/ SSandTL/IFB,2019_AEGCL_15556_2,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,78595,East India Udyog Ltd,17-Mar-2020 05:25 PM,Rejected-Technical,Non-responsive,02-Jul-2020 08:57 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.rar,EMD and Tender Fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77621,GUPTA POWER INFRASTRUCTURE LIMITED,18-Mar-2020 09:19 AM,Rejected-AOC,L9,16-Oct-2020 12:46 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.rar,"MA, Type Test, GTP, Performance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,77662,HI-TECH CORPORATION,17-Mar-2020 07:41 PM,Rejected-AOC,L4,16-Oct-2020 12:46 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.rar,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,78635,M/s. ASHOKA BUILDCON LTD,18-Mar-2020 11:41 AM,Rejected-AOC,L6,16-Oct-2020 12:46 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.rar,Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,78517,M/S G. B. CONSTRUCTION,18-Mar-2020 10:20 AM,Rejected-Technical,Non-responsive,02-Jul-2020 08:57 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,77463,Neccon Power and Infra Limited,16-Mar-2020 05:30 PM,Rejected-AOC,L10,16-Oct-2020 12:46 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,78691,NK POWER AND INFRASTRUCTURE PRIVATE LIMITED,18-Mar-2020 01:51 AM,Rejected-AOC,L2,16-Oct-2020 12:46 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,78551,PISCESIA POWER TRANSMISSION PVT. LTD.,17-Mar-2020 10:51 AM,Rejected-Technical,Non-responsive,02-Jul-2020 08:57 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,78428,POWER CABLE INDUSTRIES,17-Mar-2020 09:27 PM,Rejected-AOC,L8,16-Oct-2020 12:46 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,78641,PVR CONSTRUCTIONS,18-Mar-2020 10:49 AM,Rejected-Technical,Non-responsive,02-Jul-2020 08:57 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,77913,SALASAR TECHNO ENGINEERING LIMITED,17-Mar-2020 03:37 PM,Rejected-AOC,L3,16-Oct-2020 12:46 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,78398,Shyama Power India limited,17-Mar-2020 05:53 PM,Accepted-AOC,L1,16-Oct-2020 12:46 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,78329,SIDDHARTHA ENGINEERING LTD,18-Mar-2020 11:40 AM,Rejected-AOC,L11,16-Oct-2020 12:46 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,78688,SK AND S BUILDTECH PRIVATE LIMITED,18-Mar-2020 09:22 AM,Rejected-Technical,Non-responsive,02-Jul-2020 08:57 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,78452,Techno Power Enterprises Private Limited,18-Mar-2020 10:56 AM,Rejected-AOC,L7,16-Oct-2020 12:46 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,17,78418,T N T Projects Ltd,18-Mar-2020 10:54 AM,Rejected-AOC,L12,16-Oct-2020 12:46 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,18,77709,Win Power Infra Pvt Ltd,17-Mar-2020 09:28 PM,Rejected-AOC,L13,16-Oct-2020 12:46 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
