Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.3,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Corrigendum Title,Corrigendum Type,View
Technical,BOS,Kulbir Singh Thakur,06-Oct-2020 01:24 PM,technical_59754.pdf,1.0,179134.0,BALAK RAM,23-Sep-2020 11:06 PM,Rejected-Finance,Being L3,09-Oct-2020,1.0,179165.0,Vinay Thakur,INR,"15,008,477",Finance,Financial bid opening summary,Kulbir Singh Thakur,09-Oct-2020 12:38 PM,finance_59754.pdf,BOQ Comparative Chart,Er Kulbir Singh Thakur,Internal,Ms Akriti Aggarwal DAO Sh Ghanshyam Mehta Sh Rajinder Singh Supdt II Smt Samriti Verma TA,Kulbir Singh Thakur,09-Oct-2020 12:42 PM,finsummary_59754.pdf (642.47 KB),29-Oct-2020,"INR 15,008,477",365.0,Kulbir Singh Thakur,07-Aug-2023 03:11 PM,vinayLOA.pdf (461.00 KB),LOA,PWD,2020_PWD_40478_5,2901-36,C/o retaining wall at Rd24/180 to 24/250 and U shape drain between Km.24/00 to 24/240 on Shimla Bypass NH22 (New NH5) on Kalka Shimla Wangtoo Road against Smart city project,Er Kulbir Singh Thakur EE,Internal,Miss Akriti Aggrawal AO Sh Ghanshyam Mehta HDM Sh Rajinder Singh Supdtt Gr II Smt Samriti Verma TA,Kulbir Singh Thakur,06-Oct-2020 01:49 PM,06-Oct-2020 02:30 PM,techsummary_59754.pdf (1842.66 KB),1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,09-Sep-2020 05:00 PM,25-Sep-2020 11:00 AM,09-Sep-2020 05:00 PM,25-Sep-2020 10:30 AM,NA ,NA ,09-Sep-2020 05:00 PM,25-Sep-2020 10:30 AM,06-Oct-2020 02:30 PM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and earnest money deposit,C/o retaining wall at Rd24/180 to 24/250 and U shape drain between Km.24/00 to 24/240 on Shimla Bypass NH22 (New NH5) on Kalka Shimla Wangtoo Road against Smart city project,C/o retaining wall at Rd24/180 to 24/250 and U shape drain between Km.24/00 to 24/240 on Shimla Bypass NH22 (New NH5) on Kalka Shimla Wangtoo Road against Smart city project,As per tender document ,NA ,"1,85,83,841",Civil Works,NA ,Tender,120.0,365.0,Shimla,171001.0,NA ,NA ,NA ,Solan,No ,No,"Executive Engineer, NH Division, HPPWD Solan","Executive Engineer, NH Division, HPPWD Solan",PWD,2901-36,2020_PWD_40478_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,000","Executive Engineer, NH Division HPPWD Solan",Solan,No,1.0,DD - Demand Draft,"2,18,500",No,fixed,,"Executive Engineer, NH Division HPPWD Solan",Solan,1.0,SBD corrigendum,Other,
,,,,,2.0,178773.0,kapoor sanjee,24-Sep-2020 12:11 PM,Rejected-Finance,Being L2,09-Oct-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,.pdf,contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,
,,,,,3.0,179093.0,RAJVIR MOTORS,24-Sep-2020 05:38 PM,Rejected-Finance,Being L4,09-Oct-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,.pdf,Sales Tax/GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.0,179165.0,Vinay Thakur,24-Sep-2020 12:28 PM,Accepted-AOC,Being L1,07-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,.pdf,"List of machinery, tools and plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,.pdf,Affidavit of correctness of all the documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,.pdf,Affidavit regarding both gazetted and non gazetted employees of HPPWD related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of CA showing total annual volume in last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
