S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,163755.0,FIL INDUSTRIES LIMITED,27-Jun-2020 10:18 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Jul-2020 05:05 PM,1.0,Revocation_Corrigendum,Revocation_Corrigendum.,17-Aug-2020 05:14 PM,Corrigendum_revocation.pdf ,189.55,Financial Opening,Technical,Bid opening summary document.,BRIJ MOHAN SAINI,20-Jul-2020 05:04 PM,technical_55017.pdf,"Mr. B.M. Saini, AGM, HO",Internal,"Sh.Maan Singh-EE-HPMC,Sh DS Negi-AO-HPMC,Sh.Anil Sharma-ALO-HPMC,Sh.Gauri Shankar-AC-HIMUDA, Sh.JC Sharma-HDO-HPHDP,Sh.Ishan Agrawal-PO-HPMC,Sh.Arun Thakur-AE-HPMC, Sh.Piyush Maria-AE-HPMC",BRIJ MOHAN SAINI,20-Jul-2020 05:07 PM,31-Jul-2020 11:30 AM,techsummary_55017.pdf (188.11 KB),Finance,Kindly refer the attached document.,BRIJ MOHAN SAINI,17-Aug-2020 05:32 PM,finance_55017.pdf,BOQ Comparative Chart,HP Horticultural Produce Marketing and Processing Corporation Ltd.,2020_HPMC_37338_1,HPHDP PIU HPMC GOODS-JAROL TIKKAR-3,"PROCUREMENT OF PLANT DESIGN,SUPPLY,INSTALLATION, and COMMISSIONING OF GOODS AT Jarol Tikkar","Mr. B.M. Saini, AGM, HO",Internal,"Sh.Maan Singh-EE-HPMC,Sh DS Negi-AO-HPMC,Sh.Anil Sharma-ALO-HPMC,Sh.Gauri Shankar-AC-HIMUDA, Sh.JC Sharma-HDO-HPHDP,Sh.Ishan Agrawal-PO-HPMC,Sh.Arun Thakur-AE-HPMC, Sh.Piyush Maria-AE-HPMC",BRIJ MOHAN SAINI,17-Aug-2020 05:37 PM,finsummary_55017.pdf (184.50 KB),1.0,164826.0,LUXMI ENGINEERS,INR,"122,522,500",18-Sep-2020,"INR 129,500,000",365.0,BRIJ MOHAN SAINI,05-Oct-2020 01:01 PM,LOA-JAROL-TIKKAR.pdf (353.00 KB),Letter of Acceptance (LOA) and Contract has been awarded to Ms LUXMI ENGINEERS.,AOC,1.0,Fee/PreQual/Technical,.pdf,Letter of Bid Technical Part andBid Security in accordance with ITB 20,1.0,BOQ-Corrigendum-1,BOQ,,21-May-2020 09:00 AM,27-Jun-2020 12:30 PM,21-May-2020 09:00 AM,27-Jun-2020 12:00 PM,21-May-2020 09:00 AM ,04-Jun-2020 09:00 AM ,12-Jun-2020 09:00 AM,27-Jun-2020 12:00 PM,31-Jul-2020 11:30 AM,"25,90,000",No,fixed,,Project Director,Himachal Pradesh Horticulture Development Society,"PROCUREMENT OF PLANT DESIGN,SUPPLY,INSTALLATION, and COMMISSIONING OF GOODS AT Jarol Tikkar","PROCUREMENT OF PLANT DESIGN, SUPPLY, INSTALLATION, TESTING and COMMISSIONING OF GOODS FOR UP GRADATION, EXPANSION AND STRENGTHENING OF EXISTING POST HARVEST INFRASTRUCTURE PROJECT AT JAROL TIKKAR, DISTRICT SHIMLA HP",Please refer Tender documents. ,NA ,"12,95,00,000",Miscellaneous Goods,NA ,Tender,120.0,365.0,HPMC Jarol Tikkar,172031.0,Shimla ,"HPMC HO 3rd Floor, Nigam Vihar Shimla-2  ",08-Jun-2020 03:00 PM ,Shimla,No ,No,1.0,DD - Demand Draft,Managing Director,"HPMC HO 3rd Floor, Nigam Vihar Shimla-2","5,900",Project Director,Himachal Pradesh Horticulture Development Society,No,HP Horticultural Produce Marketing and Processing Corporation Ltd.,HPHDP PIU HPMC GOODS-JAROL TIKKAR-3,2020_HPMC_37338_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Offline,No,No,No,AOC
2.0,164845.0,Frick India Limited,26-Jun-2020 03:09 AM,Rejected-Finance,L2,17-Aug-2020 05:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,written confirmation authorizing the signatory of the Bid to commit the Bidder inaccordance ITB 21.2,2.0,Date_Extension,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,164826.0,LUXMI ENGINEERS,27-Jun-2020 10:49 AM,Accepted-AOC,Accepted L1,05-Oct-2020 01:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"documentary evidence established in accordance with ITB 14.1,15,16,16.2",3.0,Fin_Bid_Opening_Date_Extended,Financial Bid Opening Date Corrigendum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,162984.0,RINAC INDIA LTD,27-Jun-2020 10:21 AM,Rejected-Finance,L3,17-Aug-2020 05:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,documentary evidence in accordance with ITB 15,4.0,General_Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"in the case of a bid submitted by a JV (where permitted), JV agreement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Any other document required in the BDS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Scanned Copy of FEE and EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.pdf,Letter of Bid Financial Part prepared in accordance with ITB 12 and ITB 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Completed schedules as required, including Price Schedules in accordance with ITB 12 and 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Any other document required in the BDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
