S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,DD - Demand Draft,20-May-2020 09:00 AM,04-Jun-2020 11:00 AM,20-May-2020 09:00 AM,03-Jun-2020 06:00 PM,NA ,NA ,20-May-2020 03:00 PM,03-Jun-2020 06:00 PM,09-Jun-2020 11:30 AM,PWD,PW-SNR-CB-E-Tender/19-417-28 dt. 08.05.2020,2020_PWD_37267_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Sundernagar,Sundernagar,No,Executive Engineer,O/O Executive Engineer Sunder Nagar Division HPPWD,"19,000",No,fixed,,EE Sundernagar,Sundernagar,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,Annual Surfacing on Link road from Bahot to Nahungi via Saghi (VR),"SH Providing and laying 30mm thick bituminous concrete including profile correction layer, V-shape drain and road marking in KM 0/0 to 1/0.",AS per bid document ,NA ,"9,63,166",Civil Works,Tarring ,Tender,120.0,30.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,AOC,Er. D.R. Chauhan Executive Engineer,Internal,N.R. Chandel AE. Suket Member Sushil Kumar DAO Gr-I Member Amar Singh HDM Member Girja Sharma Supdt PMGSY Member,Chaman Singh,09-Jun-2020 10:06 AM,09-Jun-2020 11:30 AM,techsummary_54915.pdf (1402.06 KB),PWD,2020_PWD_37267_1,PW-SNR-CB-E-Tender/19-417-28 dt. 08.05.2020,Annual Surfacing on Link road from Bahot to Nahungi via Saghi (VR),12-Oct-2020,"INR 1,225,966",30.0,Chaman Singh,12-Oct-2020 01:33 PM,AOCBahotNahungiAMP.pdf (8046.00 KB),AOC issued after negotiation.,Er D.R. Chauhan Execuitve Engineer,Internal,Er NR Chandel A.E Suket Sh. Sushil Kumar DAO Gr-I Sh. Amar Singh HDM Sh. Lalit Kumar Supdt. PMGSY,Chaman Singh,12-Oct-2020 01:31 PM,finsummary_54915.pdf (8045.52 KB),1.0,160328.0,Ajmer Singh,01-Jun-2020 06:08 PM,Accepted-AOC,Found Lowest,12-Oct-2020 01:35 PM,Technical,BOS,Chaman Singh,06-Jun-2020 03:57 PM,technical_54915.pdf,1.0,160328.0,Ajmer Singh,INR,"1,225,966",Finance,FBOS,Chaman Singh,11-Jun-2020 10:54 AM,finance_54915.pdf,BOQ Comparative Chart,AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,160359.0,VIRENDER KUMAR,01-Jun-2020 08:59 PM,Rejected-AOC,Not Found Lowest,12-Oct-2020 01:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
