S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Regarding Tender Cost,Fee,,350.0,EE Nurpur,Nurpur,No,"7,400",No,fixed,,EE Nurpur,Nurpur,03-Sep-2020 11:30 AM,16-Sep-2020 11:30 AM,03-Sep-2020 11:30 AM,15-Sep-2020 04:00 PM,03-Sep-2020 11:30 AM ,15-Sep-2020 04:00 PM ,03-Sep-2020 11:30 AM,15-Sep-2020 04:00 PM,17-Sep-2020 12:00 PM,1.0,DD - Demand Draft,PWD,No.PWN/GA/E-27/20-21-2472-77 dt.14/8/2020,2020_PWD_40261_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodical renewal on Bhaloon to Bassa Samlatian road for 2020-21,P/L 80mm thick interlocking paver block (ISI marked) in kms 0/340 to0/472,Please refer Tender documents. ,NA ,"3,69,281",Civil Works - Roads,NA ,Tender,120.0,30.0,Nurpur,176202.0,NA ,NA ,NA ,Nurpur,No ,No,Executive Engineer,"Nurpur Division, HP PWD., Nurpur",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,AOC,PWD,2020_PWD_40261_4,No.PWN/GA/E-27/20-21-2472-77 dt.14/8/2020,Periodical renewal on Bhaloon to Bassa Samlatian road for 2020-21,Er. DK Dhiman,Internal,"GA,Supdt. HDM, DAO",Dinesh Kumar Dhiman,17-Sep-2020 11:57 AM,17-Sep-2020 12:00 PM,techsummary_59486.pdf (188.85 KB),Er. DK Dhiman,Internal,"GA, HDM",Dinesh Kumar Dhiman,19-Oct-2020 12:28 PM,finsummary_59486.pdf (188.84 KB),19-Oct-2020,"INR 389,962",30.0,Dinesh Kumar Dhiman,19-Oct-2020 12:33 PM,Bhaloon.pdf (189.00 KB),AOC,1,177774,BIRBAL,15-Sep-2020 03:34 PM,Rejected-AOC,qualified,19-Oct-2020 12:35 PM,Technical,Bid opening summary,Dinesh Kumar Dhiman,17-Sep-2020 11:44 AM,technical_59486.pdf,Finance,Bid opening summary,Dinesh Kumar Dhiman,16-Oct-2020 12:09 PM,finance_59486.pdf,BOQ Comparative Chart,1.0,177593.0,VIVEK MAHAJAN,INR,"389,962",AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,177309,Mohit Sharma Govt Contractor,14-Sep-2020 03:51 PM,Rejected-AOC,qualified,19-Oct-2020 12:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of Enlistment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,177763,M/S ASHISH KUMAR GOVT CONTRACTOR,15-Sep-2020 02:47 PM,Rejected-AOC,qualified,19-Oct-2020 12:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidder quoting bid except Sl. No.3 and 4 should be owner of Hot Mix Plant and Paver.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,177557,M/S ER RAJ SHARMA GOVT CONTRACTOR,15-Sep-2020 02:11 PM,Rejected-AOC,qualified,19-Oct-2020 12:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Paver blocks should be of ISI Marked and consent of the same be uploaded from the approved Firm,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,177591,M/S GANDEEP KUMAR GOVT CONTRACTOR,14-Sep-2020 07:37 PM,Rejected-AOC,qualified,19-Oct-2020 12:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,177603,SACHIN SHARMA,14-Sep-2020 08:07 PM,Rejected-AOC,qualified,19-Oct-2020 12:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,177771,SANJEEV KUMAR,15-Sep-2020 03:59 PM,Rejected-AOC,qualified,19-Oct-2020 12:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,177664,SHUBHAM SINGH,15-Sep-2020 10:55 AM,Rejected-AOC,qualified,19-Oct-2020 12:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,177447,Tarsem Singh,14-Sep-2020 01:21 PM,Rejected-AOC,qualified,19-Oct-2020 12:35 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,177593,VIVEK MAHAJAN,14-Sep-2020 07:38 PM,Accepted-AOC,qualified,19-Oct-2020 12:35 PM,,,,,,,,,,,,,,,,,AOC
