Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
B. Saikia,Internal,,CHANDAN DEKA,12-Sep-2020 02:19 PM,12-Sep-2020 02:20 PM,techsummary_28302.pdf (488.83 KB),Finance,Fin Op,Munindra Barman,12-Sep-2020 09:57 PM,,BOQ Comparative Chart,Technical,tbe report,Munindra Barman,11-Sep-2020 06:00 PM,,1.0,87383.0,4 Star Group,INR,34683570.0,B. Saikia,Internal,,CHANDAN DEKA,09-Oct-2020 04:21 PM,finsummary_28302.pdf (1070.61 KB),09-Oct-2020,INR 3.468357E+7,90.0,CHANDAN DEKA,09-Oct-2020 04:23 PM,NPW_Gail.pdf (1071.00 KB),Public Works Roads Department||CE PWD(R) - PWD||Traffic Engineering Cell - PWD,2020_PWD_18315_1,CE/Commn/14/19-20/Pt-I/15_GAIL,"Approach Road at BGPL,Panikhaiti",1,87383,4 Star Group,28-Aug-2020 12:07 PM,Accepted-AOC,Awarded,09-Oct-2020 04:23 PM,AOC,1.0,DD - Demand Draft,"Approach Road at BGPL,Panikhaiti","Construction of the Existing Approach Road at Receiving Terminal of Barauni- Guwahati Pipeline (BGPL) at Kharghuli No. 2, Panikhaiti, Guwahati, Assam (Deposit work)",Please refer Tender documents. ,NA ,"3,85,37,300",Civil Works – Roads,NA ,Tender,180.0,90.0,"Panikhaiti, Guwahati, Assam",781137.0,NA ,NA ,NA ,"O/o the Chief Engineer, PWD Roads, Assam",No ,No,"10,000","Empowered Officer, Assam State Road Board",GUWAHATI,Yes,Public Works Roads Department||CE PWD(R) - PWD||Traffic Engineering Cell - PWD,CE/Commn/14/19-20/Pt-I/15_GAIL,2020_PWD_18315_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"7,71,000",Yes,fixed,,"Dispur Territorial Road Division, Guwahati-21",GUWAHATI,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Document,"Chief Engineer, PWD Roads, Assam","O/o the Chief Engineer, PWD Roads, Assam",08-Aug-2020 09:00 AM,28-Aug-2020 02:10 PM,08-Aug-2020 09:00 AM,28-Aug-2020 02:00 PM,08-Aug-2020 09:00 AM ,28-Aug-2020 12:00 PM ,08-Aug-2020 09:00 AM,28-Aug-2020 02:00 PM,12-Sep-2020 02:20 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,87326,Dhaneswar Kalita,27-Aug-2020 03:28 PM,Rejected-Finance,Not Qualified,09-Oct-2020 04:21 PM,AOC,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,87261,Hemanta kr Bhagabati,26-Aug-2020 07:49 PM,Rejected-Finance,Not Qualified,09-Oct-2020 04:21 PM,AOC,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification details,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,87396,Jitu Tapan Gogoi,28-Aug-2020 12:21 PM,Rejected-Finance,Not Qualified,09-Oct-2020 04:21 PM,AOC,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form of Bid,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,87353,Kanakjyoti Bhagawati,28-Aug-2020 12:41 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,11-Sep-2020 06:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,87346,Kishor Kr. Baruah,27-Aug-2020 06:36 PM,Rejected-Finance,Not Qualified,09-Oct-2020 04:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,87404,M/S K.K Enterprise,28-Aug-2020 01:10 PM,Rejected-Finance,Not Qualified,09-Oct-2020 04:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,87336,M/S MORAMI ENTERPRISE,27-Aug-2020 04:15 PM,Rejected-Finance,Not Qualified,09-Oct-2020 04:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,87379,Pusphas Construction Pvt Ltd,28-Aug-2020 11:31 AM,Rejected-Finance,Not Qualified,09-Oct-2020 04:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,87047,Rana Construction and Engineers Pvt. Ltd.,27-Aug-2020 08:38 PM,Rejected-Finance,Not Qualified,09-Oct-2020 04:21 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
