S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,167778.0,babu ram,INR,"1,003,020",Finance,Bid opening summary,Pradeep Kumar Bhardwaj,24-Jul-2020 03:56 PM,finance_56965.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Ajay Kumar Soni,18-Jul-2020 03:12 PM,technical_56965.pdf,1.0,167778.0,babu ram,15-Jul-2020 05:09 PM,Accepted-AOC,L1,12-Oct-2020 12:23 PM,09-Oct-2020,"INR 675,397",30.0,Ajay Kumar Soni,12-Oct-2020 12:22 PM,38551_4.pdf (481.00 KB),AOC,ER.A.K.SONI,Internal,Sh. Padam Sharma. Sh.R.S.Thakur. Sh.Naresh Kumar,Pradeep Kumar Bhardwaj,24-Jul-2020 03:58 PM,finsummary_56965.pdf (195.42 KB),ER.A.K.SONI,Internal,Sh. Padam SharmaSh.R.S.Thakur.Sh.Naresh Kumar,Ajay Kumar Soni,24-Jul-2020 03:25 PM,24-Jul-2020 03:30 PM,techsummary_56965.pdf (238.95 KB),PWD,2020_PWD_38551_4,SD-III-CB-TENDER/2020-21-4346 dated 24-06-2020,C/O Lift under Sugmaya Bharat Abhiyan for disabled person in Public Service Commission office building at Nigam Vihar Shimla. (SH- C/O Civil work etc.),AOC,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),500.0,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,No,"13,500",No,fixed,,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",Shimla,03-Jul-2020 05:00 PM,17-Jul-2020 11:00 AM,03-Jul-2020 05:00 PM,16-Jul-2020 05:00 PM,NA ,NA ,03-Jul-2020 05:00 PM,16-Jul-2020 05:00 PM,24-Jul-2020 03:30 PM,PWD,SD-III-CB-TENDER/2020-21-4346 dated 24-06-2020,2020_PWD_38551_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/O Lift under Sugmaya Bharat Abhiyan for disabled person in Public Service Commission office building at Nigam Vihar Shimla. (SH- C/O Civil work etc.),C/O Lift under Sugmaya Bharat Abhiyan for disabled person in Public Service Commission office building at Nigam Vihar Shimla. (SH- C/O Civil work etc.),As per bidding documents ,NA ,"6,75,397",Civil Works,NA ,Tender,120.0,30.0,Nigam Vihar,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,AOC
,,,,,,,,,,,,,,,,2.0,167875.0,Mitter Dev Sharma,16-Jul-2020 03:37 PM,Rejected-AOC,L2,12-Oct-2020 12:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,FDR - Fixed Deposit,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,HP.PWD Form No-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
