Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Tender Stage
05-Oct-2020,"INR 634,694",30.0,Gurcharan Singh Rana,07-Oct-2020 10:43 AM,Awardletter.pdf (980.00 KB),Awardletter,Er.G.S. Rana E.E.,Internal,"Er. Kuldeep Singh AE to EE Arvind Choudhary AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Gurcharan Singh Rana,07-Aug-2020 12:33 PM,finsummary_57588.pdf (572.40 KB),Er.G.S. Rana E.E.,Internal,"Er. Kuldeep Singh AE to EE R.D. Sharma AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Gurcharan Singh Rana,30-Jul-2020 04:48 PM,04-Aug-2020 10:00 AM,techsummary_57588.pdf (535.64 KB),PWD,2020_PWD_39029_1,Job 4 Construction of link road GHS Behdala to khi,"Job 4 Construction of link road GHS Behdala to khindrian WSS Tank Mohalla Palasrian km. 0-0 to 3-0 Sub Head Construction of C.C. Pavement at RD. 1-785 to 1-900 and 2-150 to 2-185, V-shape drain ,Retaining wall etc. Under OTMNP Head",Technical,TechnicalBidOpeningSummary,Gurcharan Singh Rana,25-Jul-2020 06:52 PM,technical_57588.pdf,1.0,169620.0,Karnail Singh,24-Jul-2020 06:19 PM,Rejected-AOC,ok,07-Oct-2020 10:45 AM,Finance,Proceedingregardingopeningoffinancialbids,Gurcharan Singh Rana,07-Aug-2020 12:08 PM,finance_57588.pdf,BOQ Comparative Chart,1.0,169310.0,unique engg. solutions,INR,"601,176",AOC,PWD,Job 4 Construction of link road GHS Behdala to khi,2020_PWD_39029_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,18-Jul-2020 10:00 AM,25-Jul-2020 11:00 AM,18-Jul-2020 10:30 AM,25-Jul-2020 09:00 AM,NA ,NA ,18-Jul-2020 10:30 AM,25-Jul-2020 09:00 AM,04-Aug-2020 10:00 AM,"Job 4 Construction of link road GHS Behdala to khindrian WSS Tank Mohalla Palasrian km. 0-0 to 3-0 Sub Head Construction of C.C. Pavement at RD. 1-785 to 1-900 and 2-150 to 2-185, V-shape drain ,Retaining wall etc. Under OTMNP Head","Job 4 Construction of link road GHS Behdala to khindrian WSS Tank Mohalla Palasrian km. 0-0 to 3-0 Sub Head Construction of C.C. Pavement at RD. 1-785 to 1-900 and 2-150 to 2-185, V-shape drain ,Retaining wall etc. Under OTMNP Head",Please refer to Bidding Documents ,NA ,"6,34,694",Civil Works - Roads,NA ,Tender,120.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"12,750",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,169303.0,Ram Sahore Govt Contractor,23-Jul-2020 10:57 AM,Rejected-Technical,As per Technical Bid Evaluation Proceeding,30-Jul-2020 04:49 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,169439.0,Rishi Kumar,24-Jul-2020 02:31 PM,Rejected-AOC,ok,07-Oct-2020 10:45 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,169664.0,Tilak Raj Govt Contractor,25-Jul-2020 08:09 AM,Rejected-AOC,ok,07-Oct-2020 10:45 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,169310.0,unique engg. solutions,23-Jul-2020 08:38 PM,Accepted-AOC,ok,07-Oct-2020 10:45 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,169531.0,Vijay Kumar,24-Jul-2020 05:51 PM,Rejected-AOC,ok,07-Oct-2020 10:45 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,AOC
