Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722-2020-21- 4075-4150 dt 25-7-2020,2020_HPIPH_39303_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money in shape of FDR as mentioned NIT,Improvement and augmentation of LWSS Tirmali under JJM in GP Birla in Tehsil Nahan Distt. Sirmour HP,C/O RCC Storage tank 35000 and 30000 ltrs cap. And Laying and jointing of GMS pipe in Distribution system) under JJM.,Please refer Tender documents. ,NA ,"10,25,001",Civil Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,27-Jul-2020 05:00 PM,04-Aug-2020 11:30 AM,27-Jul-2020 05:00 PM,04-Aug-2020 11:00 AM,NA ,NA ,27-Jul-2020 05:00 PM,04-Aug-2020 11:00 AM,22-Aug-2020 05:00 PM,"20,500",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,1.0,ICICI BANK,AOC,Dr. Mandeep Gupta EE,Internal,HDM DM EE,Mandeep Gupta,09-Oct-2020 05:39 PM,finsummary_58037.pdf (721.63 KB),1.0,170808.0,Chaman Lal Contractor,INR,"775,116","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2020_HPIPH_39303_6,NHN-SMR00-722-2020-21- 4075-4150 dt 25-7-2020,Improvement and augmentation of LWSS Tirmali under JJM in GP Birla in Tehsil Nahan Distt. Sirmour HP,Dr. Mandeep Gupta EE,Internal,HDM DAO Supdt EE,Mandeep Gupta,22-Aug-2020 04:58 PM,22-Aug-2020 05:00 PM,techsummary_58037.pdf (99.80 KB),1.0,170808.0,Chaman Lal Contractor,30-Jul-2020 04:07 PM,Accepted-AOC,AOC,09-Oct-2020 05:42 PM,Finance,Fianancial Bid Openign Summary,Mandeep Gupta,22-Aug-2020 05:46 PM,finance_58037.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Mandeep Gupta,22-Aug-2020 04:27 PM,technical_58037.pdf,09-Oct-2020,"INR 1,025,001",90.0,Mandeep Gupta,09-Oct-2020 05:41 PM,AOC.pdf (722.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender form as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,171450.0,DINESH KUMAR GUPTA,04-Aug-2020 12:02 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Aug-2020 04:27 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV as mentioned NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3.0,171327.0,KESHWA NAND,03-Aug-2020 01:42 PM,Rejected-Finance,Rejected,09-Oct-2020 05:40 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,4.0,171470.0,Mohan Singh,04-Aug-2020 10:28 AM,Rejected-Finance,Rejected,09-Oct-2020 05:40 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Card and GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint Venture is not Allowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit specifying that the benefit availed under earnest money exemption has not been exhausted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
