S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,155181.0,GVM ENGINEERS,INR,"196,000",Technical,Tender opening Summary,Thakur Singh Negi,08-Jul-2020 02:20 PM,technical_52653.pdf,Industries Department||Directorate of Industries,2020_HPInd_35828_15,No.Ind.SP/F/(NIT)148/94-Vol-II,M-03,Additional Controller of Stores,Internal,T.S Negi (JDI SP) M.R Sharma (A.E Forest) Rakesh Sharma (A.E PWD) Ravinder Chauhan (A.E IPH) Karamchand (Supdt-Gr-I SP) Vinay Kumar (SO FA SP),Thakur Singh Negi,08-Jul-2020 02:41 PM,08-Jul-2020 02:50 PM,techsummary_52653.pdf (1315.83 KB),Additional Controller of Stores,Internal,T S Negi (JDI SP) Karam Chand (Supdt Gr-I) Vinay kumar (S O FA SP),Navneet Gupta,01-Oct-2020 12:27 PM,finsummary_52653.pdf (978.63 KB),Finance,Financial bid opening summary.,Navneet Gupta,01-Oct-2020 12:12 PM,finance_52653.pdf,BOQ Comparative Chart,1,159265,AMAR PROMOTERS PRIVATE LIMITED,26-May-2020 09:32 AM,Accepted-AOC,"Rates approved for item codes M0301001000 , M0301002001 and M0301002002",01-Oct-2020 12:37 PM,01-Oct-2020,"INR 43,248,034",365.0,Navneet Gupta,01-Oct-2020 12:35 PM,Rate_Contract_M-03.pdf (1522.00 KB),AOC,Industries Department||Directorate of Industries,No.Ind.SP/F/(NIT)148/94-Vol-II,2020_HPInd_35828_15,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,03-Mar-2020 05:00 PM,26-May-2020 11:00 AM,03-Mar-2020 05:00 PM,26-May-2020 10:30 AM,NA ,NA ,03-Mar-2020 05:00 PM,26-May-2020 10:30 AM,08-Jul-2020 02:50 PM,"5,00,000",Yes,fixed,,Additional Controller of Store,Shimla,1.0,CORRIGENDUM,Date,,500.0,Additional Controller of Store,Shimla,Yes,1.0,ICICI BANK,Director of Industries,Director of Industries Shimla,M-03,Barbed wire and U-Nail Stapples (ISI Marked),Please refer Tender documents. ,NA ,"4,32,48,034",Miscellaneous Goods,NA ,Rate Contract,120.0,365.0,Director of Industries Shimla,171001.0,NA ,NA ,NA ,Shimla,No ,No,1.0,Fee/PreQual/Technical,.pdf,All Documents as per terms and conditions of tender Enclosed.,AOC
2.0,156223.0,Shark steels,INR,"196,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,156257,Brijsons Hetreat,19-May-2020 12:59 PM,Accepted-AOC,"Rates approved for item codes M0301001000 , M0301002001 and M0301002002",01-Oct-2020 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum,Other,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price schedule,AOC
3.0,156257.0,Brijsons Hetreat,INR,"196,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,155181,GVM ENGINEERS,20-Apr-2020 12:15 PM,Accepted-AOC,"Rates approved for item codes M0301001000 , M0301002001 and M0301002002",01-Oct-2020 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,156322.0,Shiv Enterprises,INR,"196,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,157114,Himachal Steels and Wires,22-Apr-2020 12:02 PM,Accepted-AOC,"Rates approved for item codes M0301001000 , M0301002001 and M0301002002",01-Oct-2020 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,157058.0,Partap Wires (India)Pvt.Ltd.,INR,"196,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,157088,Himachal Wire Industries Pvt Ltd,22-Apr-2020 12:13 PM,Accepted-AOC,"Rates approved for item codes M0301001000 , M0301002001 and M0301002002",01-Oct-2020 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,157088.0,Himachal Wire Industries Pvt Ltd,INR,"196,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,157298,J J Wirecloth Industries,29-Apr-2020 05:35 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,08-Jul-2020 02:20 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7.0,157114.0,Himachal Steels and Wires,INR,"196,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,159387,K.B. Enterprises,25-May-2020 07:33 PM,Accepted-AOC,Rates approved for item codes M0301002001 and M0301002002,01-Oct-2020 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8.0,159265.0,AMAR PROMOTERS PRIVATE LIMITED,INR,"196,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,157058,Partap Wires (India)Pvt.Ltd.,20-Apr-2020 05:12 PM,Accepted-AOC,"Rates approved for item codes M0301001000 , M0301002001 and M0301002002",01-Oct-2020 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9.0,159387.0,K.B. Enterprises,INR,"133,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,156223,Shark steels,13-May-2020 03:37 PM,Accepted-AOC,"Rates approved for item codes M0301001000 , M0301002001 and M0301002002",01-Oct-2020 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,156322,Shiv Enterprises,17-Apr-2020 09:47 AM,Accepted-AOC,"Rates approved for item codes M0301001000 , M0301002001 and M0301002002",01-Oct-2020 12:37 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
