Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,BOS,Chaman Singh,08-May-2020 04:19 PM,technical_54243.pdf,1.0,157693.0,ANIL KUMAR,05-May-2020 05:32 PM,Rejected-AOC,Not found lowest.,12-Oct-2020 12:33 PM,Finance,FBOS,Chaman Singh,12-May-2020 05:37 PM,finance_54243.pdf,BOQ Comparative Chart,Er D R Chauhan Executive Engineer,Internal,AE Suket DAO Gr-I HDM Supdt. Gr-II,Chaman Singh,08-May-2020 04:33 PM,08-May-2020 04:35 PM,techsummary_54243.pdf (1262.61 KB),PWD,2020_PWD_36742_1,PW-SNR-CB-E-Tender/19-199-206 dt 16.05.2020,Annual Surfacing on Khurahal to Suin road (V.R),AOC,Annual Surfacing on Khurahal to Suin road (V.R),"SH Providing and laying 20mm thick premix carpet including profile correction, V-shape drain and road marking in Km 1/0 to 2/500.",AS pr bid document ,NA ,"9,56,324",Civil Works,Tarring ,Tender,120.0,90.0,In Sundernagar Division,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,1.0,DD - Demand Draft,PWD,PW-SNR-CB-E-Tender/19-199-206 dt 16.05.2020,2020_PWD_36742_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,O/O Executive Engineer Sunder Nagar Division HPPWD,25-Apr-2020 05:00 PM,06-May-2020 11:00 AM,25-Apr-2020 05:00 PM,05-May-2020 06:00 PM,NA ,NA ,25-Apr-2020 05:25 PM,05-May-2020 06:00 PM,08-May-2020 04:35 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"20,000",No,fixed,,EE Sundernagar,Sundernagar,350.0,EE Sundernagar,Sundernagar,No,AOC
,,,,,2.0,157568.0,CRC Construction,05-May-2020 12:58 PM,Rejected-AOC,Not Found lowest,12-Oct-2020 12:33 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,AOC
,,,,,3.0,157574.0,VIRENDER KUMAR,05-May-2020 10:03 AM,Accepted-AOC,Being lowest,12-Oct-2020 12:33 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,AOC
