S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,21782.0,ABDUL HASIM,INR,4276800.04,Soil Conservation Department,2017_SCD_3887_5,TENDER-1/EP/2017-18/5891 DTD. 13/11/2017,"Wetland Dev. Of Jalisara Beel at Maloibari, Kamrup(M).",S Choudhury,Internal,,Sibananda Choudhury,08-Dec-2017 04:27 PM,08-Dec-2017 04:35 PM,techsummary_6311.pdf (714.68 KB),Technical,Techincal Bid opening summary,Sibananda Choudhury,08-Dec-2017 04:21 PM,,12-Jan-2018,INR 4752000.0,50.0,Sibananda Choudhury,12-Jan-2018 04:40 PM,JALISARA_workorder.pdf (909.00 KB),1,21782,ABDUL HASIM,24-Nov-2017 07:50 AM,Accepted-AOC,,12-Jan-2018 04:39 PM,Finance,FINANCIAL BID OPENING,Gautam Kalita,12-Jan-2018 03:44 PM,,BOQ Comparative Chart,Sibananda Choudhury,Internal,,Gautam Kalita,12-Jan-2018 03:47 PM,finsummary_6311.pdf (562.10 KB),AOC,"Wetland Dev. Of Jalisara Beel at Maloibari, Kamrup(M).","Wetland Dev. Of Jalisara Beel at Maloibari, Kamrup(M).",Refer to Bidding Document ,NA ,"47,52,000",Civil Works,NA ,Tender,180.0,50.0,As per Bidding Document,781005.0,NA ,NA ,NA ,"Directorate of Soil Conservation, RGB Road, Ghy-5",No ,No,"95,040",Yes,percentage,2.0%,"Divisional Officer,South Bank , SC Divn.",Guwahati,"2,000","Divisional Officer,South Bank , SC Divn.",Guwahati,No,1.0,DD - Demand Draft,"Director, Soil Conservation, Assam","Directorate of Soil Conservation,Assam, RGB Road, Ghy-5",1.0,Fee/PreQual/Technical,.pdf,Tender fee and EMD,14-Nov-2017 03:10 PM,25-Nov-2017 10:00 AM,15-Nov-2017 10:00 AM,24-Nov-2017 02:00 PM,NA ,NA ,18-Nov-2017 10:00 AM,24-Nov-2017 02:00 PM,08-Dec-2017 04:35 PM,Soil Conservation Department,TENDER-1/EP/2017-18/5891 DTD. 13/11/2017,2017_SCD_3887_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21776,Anupam Industrial Corporation,24-Nov-2017 01:00 AM,Rejected-AOC,,12-Jan-2018 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit Receipt,,,,,.pdf,Technical Qualification Documents,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,21813,BARKAT ULLAH,24-Nov-2017 12:53 PM,Rejected-AOC,,12-Jan-2018 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document seal and signed in each page,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,21806,B.C.D EWNTERPRISE,24-Nov-2017 01:02 PM,Rejected-Technical,Technically rejected,08-Dec-2017 04:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ(Financial Bid),,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,21770,KALYAN SINGHA,24-Nov-2017 01:02 PM,Rejected-AOC,,12-Jan-2018 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,21554,KULEN HAZARIKA,22-Nov-2017 12:06 AM,Rejected-AOC,,12-Jan-2018 04:39 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21822,Manoranjan Boro,24-Nov-2017 01:32 PM,Rejected-Technical,Technically rejected,08-Dec-2017 04:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,21736,M/S CORE GROUP,24-Nov-2017 11:15 AM,Rejected-Technical,Technically rejected,08-Dec-2017 04:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,21702,M/S Peejay Engineers,23-Nov-2017 12:46 AM,Rejected-Technical,Technically rejected,08-Dec-2017 04:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,21808,M/S S.S. ENTERPRISE,24-Nov-2017 12:40 PM,Rejected-Technical,Technically rejected,08-Dec-2017 04:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
