Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
14-Nov-2017 03:15 PM,25-Nov-2017 10:00 AM,15-Nov-2017 10:00 AM,24-Nov-2017 02:00 PM,NA ,NA ,18-Nov-2017 10:00 AM,24-Nov-2017 02:00 PM,08-Dec-2017 04:15 PM,1.0,Fee/PreQual/Technical,.pdf,Tender fee and EMD,"2,000","Divisional Officer,South Bank , SC Divn.",Guwahati,No,1.0,DD - Demand Draft,Soil Conservation Department,TENDER-1/EP/2017-18/5891 DTD. 13/11/2017,2017_SCD_3887_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Director, Soil Conservation, Assam","Directorate of Soil Conservation,Assam, RGB Road, Ghy-5","Wetland Dev. Taraduba Beel, Kamrup(R).","Wetland Dev. Taraduba Beel, Kamrup(R).",Refer to Bidding Document ,NA ,"51,50,000",Civil Works,NA ,Tender,180.0,50.0,As per Bidding Document,781005.0,NA ,NA ,NA ,"Directorate of Soil Conservation, RGB Road, Ghy-5",No ,No,"1,03,000",Yes,percentage,2.0%,"Divisional Officer,South Bank , SC Divn.",Guwahati,AOC,1,21783,ABDUL HASIM,24-Nov-2017 08:15 AM,Rejected-AOC,,12-Jan-2018 04:09 PM,Technical,Bid Opening Summary,Sibananda Choudhury,08-Dec-2017 04:02 PM,,Sibananda Choudhury,Internal,"Sibananda Choudhury, C.J.Saikia, A.Tamuli, G.Kalita",Sibananda Choudhury,08-Dec-2017 04:10 PM,08-Dec-2017 04:15 PM,techsummary_6313.pdf (689.15 KB),Finance,Financial Bid Opening Summary,Gautam Kalita,12-Jan-2018 03:32 PM,,BOQ Comparative Chart,1.0,21773.0,Anupam Industrial Corporation,INR,4635000.0,Sibananda Choudhury,Internal,,Gautam Kalita,12-Jan-2018 04:08 PM,finsummary_6313.pdf (651.04 KB),Soil Conservation Department,2017_SCD_3887_7,TENDER-1/EP/2017-18/5891 DTD. 13/11/2017,"Wetland Dev. Taraduba Beel, Kamrup(R).",12-Jan-2018,INR 5150000.0,50.0,Gautam Kalita,12-Jan-2018 04:10 PM,TARADUBA_workorder.pdf (911.00 KB),AOC
,,,,,,,,,,,.pdf,Technical Qualification Documents,,,,,2.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,21773,Anupam Industrial Corporation,24-Nov-2017 12:49 AM,Accepted-AOC,,12-Jan-2018 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Bidding Document seal and signed in each page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,21817,Chandan khakhlary,24-Nov-2017 01:31 PM,Rejected-Technical,Technically not accepted,08-Dec-2017 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,BOQ(Financial Bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,21804,Ikbal Hussain,24-Nov-2017 12:48 PM,Rejected-AOC,,12-Jan-2018 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,21555,KULEN HAZARIKA,22-Nov-2017 12:12 AM,Rejected-AOC,,12-Jan-2018 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,21823,Manoranjan Boro,24-Nov-2017 01:39 PM,Rejected-Technical,Technically not accepted,08-Dec-2017 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,21173,M/S Peejay Engineers,21-Nov-2017 09:17 AM,Rejected-Technical,Technically not accepted,08-Dec-2017 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,21815,M/S S.S. ENTERPRISE,24-Nov-2017 12:33 PM,Rejected-Technical,Technically not accepted,08-Dec-2017 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,21692,POPULAR ENTERPRISE,22-Nov-2017 09:49 PM,Rejected-AOC,,12-Jan-2018 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,21694,SAHIL AKHTAR,24-Nov-2017 01:34 PM,Rejected-AOC,,12-Jan-2018 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,21790,Sri Hemanta Saharia,24-Nov-2017 12:12 PM,Rejected-AOC,,12-Jan-2018 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,21786,Sri Tohibbul Hussain,24-Nov-2017 10:20 AM,Rejected-Technical,Technically not accepted,08-Dec-2017 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,13,21820,Ubedur Rahman,24-Nov-2017 01:47 PM,Rejected-AOC,,12-Jan-2018 04:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
