EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"53,000",No,fixed,,EE Hamirpur,EE Hamirpur,PWD,C/O Goat Project Building in Sheep breading Farm,2019_PWD_30359_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Offline,No,No,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,"1,500",EE Hamirpur,EE Hamirpur,No,1.0,Fee,.pdf,Earnest Money,C/O Goat Project Building in Sheep breading Farm Tal Tehsil Bhoranj,Distt Hamirpur SH C/O Goat Project Building including boundary wall,Please refer Tender documents. ,NA ,"30,28,185",Civil Works - Buildings,NA ,Tender,60.0,180.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,DD - Demand Draft,22-Jul-2019 06:00 PM,29-Jul-2019 11:30 AM,22-Jul-2019 06:00 PM,29-Jul-2019 10:30 AM,NA ,NA ,22-Jul-2019 06:00 PM,29-Jul-2019 10:30 AM,03-Aug-2019 04:10 PM,AOC,1.0,126109.0,SUNIL KUMAR CONT,27-Jul-2019 04:43 PM,Rejected-AOC,l2,06-Oct-2019 01:40 PM,Technical,Attached,Vivek Sharma,02-Aug-2019 03:06 PM,technical_43745.pdf,Finance,Attached,Vivek Sharma,05-Oct-2019 05:38 PM,finance_43745.pdf,BOQ Comparative Chart,1.0,126138.0,SURESH KUMAR GOVT CONT,INR,"3,442,435",EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,03-Aug-2019 04:06 PM,03-Aug-2019 04:10 PM,techsummary_43745.pdf (935.68 KB),PWD,2019_PWD_30359_1,C/O Goat Project Building in Sheep breading Farm,C/O Goat Project Building in Sheep breading Farm Tal Tehsil Bhoranj,06-Oct-2019,"INR 3,442,435",180.0,Vivek Sharma,06-Oct-2019 01:40 PM,TalAward.pdf (857.00 KB),Award,EE Hamirpur,Internal,SupdtSrDAOHDMAEtoEE,Vivek Sharma,06-Oct-2019 12:28 PM,finsummary_43745.pdf (593.88 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC,2.0,126138.0,SURESH KUMAR GOVT CONT,27-Jul-2019 04:43 PM,Accepted-AOC,l1,06-Oct-2019 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD and similar work done 40 Percent as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
