Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
07-Oct-2019,"INR 19,274,717",30.0,Vivek Sharma,07-Oct-2019 11:29 AM,AMPHamirpur23205.pdf (1663.00 KB),Award,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,14-Apr-2019 03:46 PM,finsummary_32512.pdf (592.38 KB),EEHamirpur,Internal,SupdtAEtoEEHDMSrDAO,Dev Raj,14-Sep-2018 03:51 PM,14-Sep-2018 04:30 PM,techsummary_32512.pdf (289.99 KB),PWD,2018_PWD_23205_1,AMP Hamirpur Sub-Division.,AMP Under Hamirpur Sub Division for the year 2018-19,Technical,Attached,Dev Raj,14-Sep-2018 03:48 PM,technical_32512.pdf,1.0,93976.0,ASHISH SHARMA,07-Sep-2018 10:46 AM,Accepted-AOC,l1,07-Oct-2019 11:29 AM,1.0,93976.0,ASHISH SHARMA,INR,"22,361,241",Finance,Attached,Vivek Sharma,12-Apr-2019 04:10 PM,finance_32512.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,"1,90,000",No,fixed,,EE Hamirpur,EE Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,30-Aug-2018 06:00 PM,08-Sep-2018 03:00 PM,30-Aug-2018 06:00 PM,08-Sep-2018 10:30 AM,NA ,NA ,30-Aug-2018 06:00 PM,08-Sep-2018 10:30 AM,14-Sep-2018 04:30 PM,PWD,AMP Hamirpur Sub-Division.,2018_PWD_23205_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AMP Under Hamirpur Sub Division for the year 2018-19,AMP Masiyana Galot Amp Chamardi Khaggal and various,Please refer Tender documents. ,NA ,"1,57,13,790",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"5,000",EE Hamirpur,EE Hamirpur,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,94026.0,Piar Chand Chauhan,07-Sep-2018 05:18 PM,Rejected-Technical,Rejected,14-Sep-2018 03:51 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD and similar Work done 40perecent estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,93982.0,Praveen Kumar,07-Sep-2018 11:17 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Sep-2018 03:48 PM,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,94047.0,SURESH KUMAR,07-Sep-2018 07:49 PM,Rejected-AOC,l2,07-Oct-2019 11:29 AM,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,GST will be applicable as per Govt. rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,The bidders are required paver Machine and Mini Hot Plant for execution of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Finance Turn over last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
