Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage
A. Kalita,Internal,GC Sharma P Patwary,Priyanka Bora,25-Oct-2018 02:43 PM,25-Oct-2018 02:45 PM,techsummary_13216.pdf (54.61 KB),Technical,Financial bid of the successful bidder may be opened,Priyanka Bora,23-Oct-2018 03:42 PM,technical_13216.pdf,1.0,42723.0,Taznur Ali,INR,1684664.0,A. Kalita,Internal,"g.c. sarma, p. patowary",Priyanka Bora,13-Dec-2018 03:54 PM,finsummary_13216.pdf (54.61 KB),24-Sep-2019,INR 14975625.31,60.0,Jayanta Kumar Barman,24-Sep-2019 02:33 PM,pub_barsiral.pdf (6578.00 KB),Name of Work Immediate measures to M.E. along B/B of river Pagladia from G.K. Ali to N.T. Road -Ph-I (U/S) (Bank Restoration works at 3rd Km Pub-Barsiral and at 7 th km Keherua on L/B ) for 2017-,Finance,Updated CS may be prepared,Priyanka Bora,26-Oct-2018 02:19 PM,finance_13216.pdf,BOQ Comparative Chart,Department of Water Resources||Chief Engineer - DoWR,2018_DoWR_8586_2,NALBARI/SDRF/2017-18/II/4,IM at Pub-Barsiral,1,42769,DILNUR ALI,06-Oct-2018 01:34 AM,Accepted-AOC,PROPER,24-Sep-2019 02:33 PM,AOC,IM at Pub-Barsiral,Immediate measures to M.E. along B/B of river Pagladia from G.K. Ali to N.T. Road -Ph-I (U/S) (Bank Restoration works at 3rd Km Pub-Barsiral and at 7 th km Keherua on L/B ) for 2017-18 under SDRF,Please refer Tender documents. ,NA ,"1,49,75,625",Civil Works,NA ,Tender,180.0,60.0,Nalbari,781335.0,NA ,NA ,NA ,Guwahati,No ,No,"Chief Engineer,W.R.Deptt",O/O Chief Engineer Water Resources Department Chandmari,"5,000","The Executive Engineer,Nalbari W.R. Division",Nalbari,No,1.0,Fee,.pdf,cost of tender and emd,Department of Water Resources||Chief Engineer - DoWR,NALBARI/SDRF/2017-18/II/4,2018_DoWR_8586_2,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,"2,99,513",Yes,percentage,2.0%,"The Executive Engineer,Nalbari W.R. Division",Nalbari,29-Sep-2018 06:00 PM,08-Oct-2018 02:00 PM,29-Sep-2018 06:05 PM,06-Oct-2018 02:00 PM,NA ,NA ,01-Oct-2018 10:00 AM,06-Oct-2018 02:00 PM,25-Oct-2018 02:45 PM,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,2.0,42744.0,Sri Dhrubajyoti Kakati,INR,1684663.0,,,,,,,,,,,,,,,,,,,,,,,,2,42782,DIMBESWAR PATGIRI-BANAJIT THAKURIA JV,06-Oct-2018 12:10 PM,Accepted-AOC,PROPER,24-Sep-2019 02:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC
,,,,,,,,,,,,3.0,42760.0,HITESH KALITA,INR,1684665.0,,,,,,,,,,,,,,,,,,,,,,,,3,42760,HITESH KALITA,05-Oct-2018 11:34 PM,Accepted-AOC,PROPER,24-Sep-2019 02:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,AOC
,,,,,,,,,,,,4.0,42761.0,JAYANTA DEKA,INR,1684664.0,,,,,,,,,,,,,,,,,,,,,,,,4,42761,JAYANTA DEKA,06-Oct-2018 12:01 AM,Accepted-AOC,PROPER,24-Sep-2019 02:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,AOC
,,,,,,,,,,,,5.0,42765.0,KAMINI KALITA,INR,1684664.0,,,,,,,,,,,,,,,,,,,,,,,,5,42737,JAYANTA KUMAR DUTTA,05-Oct-2018 01:40 PM,Rejected-AOC,Not Qualified for AOC,24-Sep-2019 02:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6.0,42769.0,DILNUR ALI,INR,1684664.0,,,,,,,,,,,,,,,,,,,,,,,,6,42765,KAMINI KALITA,06-Oct-2018 01:22 AM,Accepted-AOC,PROPER,24-Sep-2019 02:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,7.0,42782.0,DIMBESWAR PATGIRI-BANAJIT THAKURIA JV,INR,1684665.0,,,,,,,,,,,,,,,,,,,,,,,,7,42774,M/S REALTY ASSOCIATES-SOMLA DAIMARY-JV,06-Oct-2018 10:32 AM,Rejected-AOC,Not Qualified for AOC,24-Sep-2019 02:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,8.0,42788.0,Sri Uday Baishya,INR,1684665.0,,,,,,,,,,,,,,,,,,,,,,,,8,42744,Sri Dhrubajyoti Kakati,06-Oct-2018 12:30 PM,Accepted-AOC,PROPER,24-Sep-2019 02:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,42788,Sri Uday Baishya,06-Oct-2018 12:41 PM,Accepted-AOC,PROPER,24-Sep-2019 02:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,42723,Taznur Ali,05-Oct-2018 11:45 AM,Accepted-AOC,PROPER,24-Sep-2019 02:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
