Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Dr Suresh Kumar Walia,Internal,Er JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,24-Sep-2019 01:02 PM,finsummary_45093.pdf (191.58 KB),28-Oct-2019,"INR 2,892,649",30.0,Suresh Kumar Walia,29-Oct-2019 03:04 PM,Award.pdf (424.00 KB),Award,PWD,2019_PWD_31308_3,PWD CIVIL-6971-7000-TANDA,"Construction of link road Baroi Mualkar via lower Jadrangal road Km 2/700 to 3/720 in Distt Kangra (HP) (SH Construction of Balance work of retaining wall, GSB and Metalling and Tarring etc)",Dr Suresh Kumar Walia,Internal,Er JN Sharma AE Sh Pankaj Rana TA Ajit Kumar Supdt Gr II Suraj Parkash DAO Vijay Sharma HDM,Suresh Kumar Walia,20-Sep-2019 04:28 PM,20-Sep-2019 04:30 PM,techsummary_45093.pdf (640.76 KB),Technical,Sum,Suresh Kumar Walia,20-Sep-2019 04:27 PM,technical_45093.pdf,1.0,130347.0,Navneet Thakur,10-Sep-2019 05:05 PM,Accepted-AOC,l1,29-Oct-2019 03:04 PM,1.0,130347.0,Navneet Thakur,INR,"2,984,143",Finance,sUM,Ravi Bhushan,20-Sep-2019 04:50 PM,None,BOQ Comparative Chart,AOC,PWD,PWD CIVIL-6971-7000-TANDA,2019_PWD_31308_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Construction of link road Baroi Mualkar via lower Jadrangal road Km 2/700 to 3/720 in Distt Kangra (HP) (SH Construction of Balance work of retaining wall, GSB and Metalling and Tarring etc)","Construction of link road Baroi Mualkar via lower Jadrangal road Km 2/700 to 3/720 in Distt Kangra (HP) (SH Construction of Balance work of retaining wall, GSB and Metalling and Tarring etc)",Please refer Tender documents. ,NA ,"20,66,118",Civil Works - Roads,NA ,Tender,120.0,30.0,TANDA,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,06-Sep-2019 05:00 PM,20-Sep-2019 11:30 AM,06-Sep-2019 05:00 PM,19-Sep-2019 05:00 PM,NA ,NA ,06-Sep-2019 05:00 PM,19-Sep-2019 05:00 PM,20-Sep-2019 04:30 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD (Nationalized Bank),Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,500.0,EE HPPWD Division Tanda at Nagrota Bagwan,Kangra,No,1.0,DD - Demand Draft,"38,500",No,fixed,,EE HPPWD Division Tanda at Nagrota Bagwan,Tanda at Nagrota Bagwan,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,130248.0,Singh,10-Sep-2019 09:22 AM,Rejected-AOC,l2,29-Oct-2019 03:04 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,AOC
