Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
A. Kalita,Internal,"G.C.SARMA, B. SARMA",Jayanta Kumar Barman,14-Feb-2019 03:42 PM,14-Feb-2019 03:45 PM,techsummary_17625.pdf (54.63 KB),R. SARMA,Internal,"G.C. SARMA, B. SARMA",Jayanta Kumar Barman,25-Sep-2019 11:46 AM,finsummary_17625.pdf (54.63 KB),Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11046_1,GHY.EAST/2018-19/RIDF/III,A/E measures to Protect Tamulibari Area PK 2,Technical,Financial bid of the successful bidder may be opened,Jayanta Kumar Barman,14-Feb-2019 03:38 PM,technical_17625.pdf,1.0,52998.0,Yugant Infrastructure Private Limited,INR,392431.5,Finance,Updated CS may be prepared,Jayanta Kumar Barman,18-Feb-2019 12:12 PM,,BOQ Comparative Chart,25-Sep-2019,INR 4840254.9,180.0,Jayanta Kumar Barman,25-Sep-2019 12:12 PM,0002.pdf (7621.00 KB),Name of Work A/E measures to Protect Tamulibari Area from the Erosion of river Brahmaputra (Ph-I),1,53491,Ahmed Ali,30-Jan-2019 06:04 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,14-Feb-2019 03:38 PM,AOC,A/E measures to Protect Tamulibari Area PK 2,A/E measures to Protect Tamulibari Area from the Erosion of river Brahmaputra (Ph-I).,Please refer Tender documents. ,NA ,"48,40,254",Civil Works,NA ,Tender,180.0,180.0,GUWAHATI,781003.0,NA ,NA ,NA ,GUWAHATI,No ,No,"96,805",Yes,percentage,2.0%,"The Executive Engineer, Ghy. East W R Division",Guwahati,"1,000","The Executive Engineer, Ghy. East W R Division",Guwahati,No,1.0,DD - Demand Draft,"Chief Engineer,W.R.Deptt",O/O Chief Engineer Water Resources Department Chandmari,11-Jan-2019 06:00 PM,02-Feb-2019 02:00 PM,11-Jan-2019 06:05 PM,01-Feb-2019 02:00 PM,NA ,NA ,27-Jan-2019 09:00 AM,01-Feb-2019 02:00 PM,14-Feb-2019 03:45 PM,Department of Water Resources||Chief Engineer - DoWR,GHY.EAST/2018-19/RIDF/III,2019_DoWR_11046_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,1.0,Fee,.pdf,FEE,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,53047.0,Prafulla Das,INR,400280.13,,,,,,,,,,,,,,2,53768,ARIF HUSSAIN,01-Feb-2019 01:04 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,14-Feb-2019 03:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,53050.0,R.J.ENTERPRISE,INR,392432.0,,,,,,,,,,,,,,3,53587,Ashim Agarwalla,01-Feb-2019 07:25 AM,Accepted-AOC,proper,25-Sep-2019 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,53052.0,S. D. Enterprise,INR,392431.5,,,,,,,,,,,,,,4,53502,DIGANTA CHOUDHURY,31-Jan-2019 12:26 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,14-Feb-2019 03:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,53142.0,Rabindra Chhawchharia,INR,392431.5,,,,,,,,,,,,,,5,53573,Gofur Ullah Ahmed,31-Jan-2019 09:04 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,14-Feb-2019 03:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6.0,53162.0,NORTH EAST ENTERPRISE,INR,392431.5,,,,,,,,,,,,,,6,53507,MD FARUKAR RAHMAN,31-Jan-2019 12:24 PM,Accepted-AOC,proper,25-Sep-2019 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7.0,53472.0,Tarun Prasad Goswami,INR,400280.13,,,,,,,,,,,,,,7,53162,NORTH EAST ENTERPRISE,28-Jan-2019 12:40 PM,Accepted-AOC,proper,25-Sep-2019 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8.0,53507.0,MD FARUKAR RAHMAN,INR,400280.13,,,,,,,,,,,,,,8,53518,Nuruddin,30-Jan-2019 09:13 PM,Accepted-AOC,proper,25-Sep-2019 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9.0,53518.0,Nuruddin,INR,400280.13,,,,,,,,,,,,,,9,53047,Prafulla Das,28-Jan-2019 05:40 PM,Accepted-AOC,proper,25-Sep-2019 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10.0,53587.0,Ashim Agarwalla,INR,392431.5,,,,,,,,,,,,,,10,53142,Rabindra Chhawchharia,31-Jan-2019 11:08 PM,Accepted-AOC,proper,25-Sep-2019 12:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
