Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
R. SARMA,Internal,"G.C. SARMA, P. GOSWAMI",Jayanta Kumar Barman,04-Mar-2019 10:14 AM,04-Mar-2019 10:15 AM,techsummary_18356.pdf (54.63 KB),1.0,54959.0,RAJIB KUMAR DEKA,INR,22280287.08,19-Sep-2019,INR 49504962.41,60.0,Jayanta Kumar Barman,19-Sep-2019 06:03 PM,document_1801_1.PDF (450.00 KB),Name of Work Immediate measures for restoration of damages at Uttar Safakamar and its adjoining area from the flood devastation of river Beki on its L/B under SDRF 2018-19.,R. SARMA,Internal,"G.C. SARMA, P. CHAUDHURY",Jayanta Kumar Barman,19-Sep-2019 06:00 PM,finsummary_18356.pdf (54.63 KB),Technical,Financial bid of the successful bidder may be opened,Jayanta Kumar Barman,04-Mar-2019 10:13 AM,technical_18356.pdf,Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11598_1,BARPETA/2018-19/SDRF/X,IM at Uttar Safakamar,1,54993,Ashok Kumar Jain,11-Feb-2019 09:09 PM,Accepted-AOC,PROPER,19-Sep-2019 06:03 PM,Finance,Updated CS may be prepared,Jayanta Kumar Barman,05-Mar-2019 11:50 AM,,BOQ Comparative Chart,AOC,"Chief Engineer,W.R.Deptt",O/O Chief Engineer Water Resources Department Chandmari,IM at Uttar Safakamar,Immediate measures for restoration of damages at Uttar Safakamar and its adjoining area from the flood devastation of river Beki on its L/B under SDRF 2018-19.,Please refer Tender documents. ,NA ,"4,95,04,962",Civil Works,NA ,Tender,180.0,60.0,BARPETA,781301.0,NA ,NA ,NA ,Guwahati,No ,No,"9,90,099",Yes,percentage,2.0%,"The Executive Engineer,Barpeta W.R. Division",Barpeta,1.0,DD - Demand Draft,"5,000","The Executive Engineer,Barpeta W.R. Division",Barpeta,No,Department of Water Resources||Chief Engineer - DoWR,BARPETA/2018-19/SDRF/X,2019_DoWR_11598_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,1.0,Fee,.pdf,FEE,02-Feb-2019 06:00 PM,13-Feb-2019 02:00 PM,02-Feb-2019 06:05 PM,12-Feb-2019 02:00 PM,NA ,NA ,07-Feb-2019 09:00 AM,12-Feb-2019 02:00 PM,04-Mar-2019 10:15 AM,AOC
,,,,,,,2.0,54993.0,Ashok Kumar Jain,INR,22271700.62,,,,,,,,,,,,,,,,,,,,,,,2,55005,KHANDAKAR JIYAUR RAHMAN,12-Feb-2019 09:03 AM,Rejected-AOC,Not Qualified for AOC,19-Sep-2019 06:03 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,55009,Khitish Ojha,11-Feb-2019 11:37 PM,Rejected-AOC,Not Qualified for AOC,19-Sep-2019 06:03 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,55000,MANOJ PATOWARY,12-Feb-2019 12:31 PM,Rejected-AOC,Not Qualified for AOC,19-Sep-2019 06:03 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,55007,MD GAFUR,11-Feb-2019 11:44 PM,Rejected-AOC,Not Qualified for AOC,19-Sep-2019 06:03 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,54998,MOHAMMAD MANJUR ALAM,12-Feb-2019 12:28 PM,Rejected-AOC,Not Qualified for AOC,19-Sep-2019 06:03 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,55074,Mrinal Jyoti das,12-Feb-2019 01:53 PM,Rejected-AOC,Not Qualified for AOC,19-Sep-2019 06:03 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,54955,RAHIN BASUMATARY,11-Feb-2019 11:33 PM,Not Admitted-Fee,Fee not received,02-Mar-2019 03:51 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,54959,RAJIB KUMAR DEKA,11-Feb-2019 04:33 PM,Accepted-AOC,PROPER,19-Sep-2019 06:03 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,55037,Sri Nirendu Roy,12-Feb-2019 11:02 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,04-Mar-2019 10:13 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,54996,Surajit Roy,11-Feb-2019 08:53 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,04-Mar-2019 10:13 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
