Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
22-Oct-2019,"INR 643,425",60.0,Pramod Kashyap,22-Oct-2019 04:37 PM,award.pdf (501.00 KB),Restoration of rain damages on Mahral Sudder Nandal Dhangota road,Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,21-Oct-2019 11:20 AM,finsummary_45861.pdf (181.72 KB),Executive Engineer,Internal,supdt HDM DAO,Pramod Kashyap,19-Oct-2019 05:45 PM,21-Oct-2019 10:30 AM,techsummary_45861.pdf (789.33 KB),PWD,2019_PWD_31877_1,Restoration of rain damages on Mahral Sudder,Restoration of rain damages on Mahral Sudder Nandal Dhangota road,Technical,tech bid opening summary,Pramod Kashyap,17-Oct-2019 12:14 PM,technical_45861.pdf,1.0,134398.0,BACHITAR SINGH,16-Oct-2019 08:54 PM,Accepted-AOC,L 1,22-Oct-2019 04:37 PM,Finance,finbid,Pramod Kashyap,21-Oct-2019 11:14 AM,finance_45861.pdf,BOQ Comparative Chart,1.0,134398.0,BACHITAR SINGH,INR,"689,383",AOC,Restoration of rain damages on Mahral Sudder Nandal Dhangota road,C/o 900mm dia RCC H.P culvert at RD 5/855 i/c Wing walls and Kheri Mangnoti road km 0/0 to 6/0 (SH C/o R/wall at RD 3/705 to 3/715 ),Please refer Tender documents. ,NA ,"6,43,425",Civil Works - Roads,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,03-Oct-2019 10:30 AM,17-Oct-2019 11:00 AM,03-Oct-2019 10:30 AM,17-Oct-2019 10:30 AM,NA ,NA ,03-Oct-2019 10:30 AM,17-Oct-2019 10:30 AM,21-Oct-2019 10:30 AM,350.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,1.0,DD - Demand Draft,"12,900",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,PWD,Restoration of rain damages on Mahral Sudder,2019_PWD_31877_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,134235.0,Parmjeet Sharma,15-Oct-2019 07:28 PM,Rejected-Finance,L 4,21-Oct-2019 11:20 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,134401.0,sanjay verma,16-Oct-2019 10:14 PM,Rejected-Finance,L 5,21-Oct-2019 11:20 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,134400.0,Sanjeev Kumar,16-Oct-2019 10:33 PM,Rejected-Finance,L 3,21-Oct-2019 11:20 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,134413.0,shashi kant,17-Oct-2019 10:09 AM,Rejected-Finance,L 2,21-Oct-2019 11:20 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"G.S.T. No.with latest clearance return, EPF No.with latest clearance return,Labour Licence, Pan Card",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit Magistrate/Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by bidder is true and correctattested by Magistrate/Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in charge not below the rank of Executive Eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
