Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,PWD,PW/MED/TA/NIT/ e-notice/19-20-957-63 dt 31.05.19,2019_PWD_29395_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,15-Jun-2019 10:00 AM,25-Jun-2019 11:30 AM,15-Jun-2019 10:00 AM,25-Jun-2019 10:00 AM,NA ,NA ,15-Jun-2019 10:00 AM,25-Jun-2019 10:00 AM,27-Jun-2019 04:50 PM,Construction of Indoor Auditorium for cultural programme at Kullu District Kullu HP SH Balance work of LED Wall increasing height Top and bottom therein,Construction of Indoor Auditorium for cultural programme at Kullu District Kullu HP SH Balance work of LED Wall increasing height Top and bottom therein,Please refer to bid document ,NA ,"9,75,473",Electrical Works,NA ,Tender,120.0,180.0,Kullu,175101.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,"19,550",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",350.0,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,1.0,DD - Demand Draft,AOC,1.0,122840.0,Acoustic Media Solutions,24-Jun-2019 07:44 PM,Accepted-AOC,work awarded being L1,05-Oct-2019 04:18 PM,Technical,techbidsummary,Dalip singh Patial,27-Jun-2019 04:40 PM,technical_42545.pdf,1.0,122840.0,Acoustic Media Solutions,INR,"929,000",Finance,financial bid summary,Dalip singh Patial,27-Jun-2019 05:54 PM,finance_42545.pdf,BOQ Comparative Chart,PWD,2019_PWD_29395_1,PW/MED/TA/NIT/ e-notice/19-20-957-63 dt 31.05.19,Construction of Indoor Auditorium for cultural programme at Kullu District Kullu HP SH Balance work of LED Wall increasing height Top and bottom therein,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Yadvinder Kumar Sr Asstt Sh Kapil Dev Sr Asstt,Dalip singh Patial,27-Jun-2019 04:44 PM,27-Jun-2019 04:50 PM,techsummary_42545.pdf (379.63 KB),Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Yadvinder Kumar Sr Asstt Sh Kapil Dev Sr Asstt,Dalip singh Patial,27-Jun-2019 06:01 PM,finsummary_42545.pdf (585.69 KB),20-Sep-2019,"INR 929,000",60.0,Dalip singh Patial,05-Oct-2019 04:18 PM,AOC.pdf (602.00 KB),work awarded to M/s Acoustic Media Solutions being L1 firm,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,2.0,FDR - Fixed Deposit,AOC,2.0,122851.0,Shanti Infotech,24-Jun-2019 08:30 PM,Rejected-Finance,rejected being L2,27-Jun-2019 06:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,Approved OEM/ auth. agency of approved OEM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates past 5 yrs as per Technical qualification criteria,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
