Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
24-Oct-2019,"INR 2,335,063",180.0,Mahesh Kanwar,24-Oct-2019 02:34 PM,3.pdf (478.00 KB),AOC,Er Mahesh Kanwar,Internal,Deepak Sharma Sr DAO Lekh Ram Shandil HDM Leela Verma Sr Asstt,Mahesh Kanwar,24-Oct-2019 02:22 PM,finsummary_43632.pdf (613.11 KB),Er Mahesh Kanwar,Internal,Deepak Sharma Sr DAO Lekh Ram shandil HDM Leela Verma Sr Asstt,Mahesh Kanwar,08-Aug-2019 12:13 PM,08-Aug-2019 12:15 PM,techsummary_43632.pdf (353.92 KB),PWD,2019_PWD_30277_1,PW.THD.CB.Tender.2019-3786-99 dt.9.7.2019,C.O Kiar Kallar Samber km 0.0 to 6.150 SH Formation cutting 5.7 mtr wide 4.405 to 6.150,Finance,summary,Mahesh Kanwar,09-Aug-2019 03:53 PM,finance_43632.pdf,BOQ Comparative Chart,1.0,126296.0,Sandeep Thakur,INR,"1,438,983",1.0,Corrigendum,Revoke,08-Aug-2019 11:55 AM,Corrigendum.pdf ,183.23,Technical Opening,Technical,summary,Mahesh Kanwar,08-Aug-2019 12:10 PM,technical_43632.pdf,1,126606,Aman Thakur,02-Aug-2019 03:19 PM,Rejected-Finance,Non Responsive,24-Oct-2019 02:22 PM,AOC,PWD,PW.THD.CB.Tender.2019-3786-99 dt.9.7.2019,2019_PWD_30277_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,18-Jul-2019 12:00 PM,03-Aug-2019 11:00 AM,18-Jul-2019 12:00 PM,02-Aug-2019 06:00 PM,NA ,NA ,18-Jul-2019 12:00 PM,02-Aug-2019 06:00 PM,08-Aug-2019 12:15 PM,1.0,Corrigendum,Other,,C.O Kiar Kallar Samber km 0.0 to 6.150 SH Formation cutting 5.7 mtr wide 4.405 to 6.150,C.O Kiar Kallar Samber km 0.0 to 6.150 SH Formation cutting 5.7 mtr wide 4.405 to 6.150,Please refer Tender documents. ,NA ,"23,35,063",Civil Works - Roads,NA ,Tender,90.0,180.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Theog,No ,No,500.0,EE Theog,HP PWD Theog,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (as per Schedule-F),"42,600",No,fixed,,EE Theog,HP PWD Theog,Executive Engineer,HP PWD Division Theog,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,126598,Amit Thakur,02-Aug-2019 02:22 PM,Rejected-Finance,Non Responsive,24-Oct-2019 02:22 PM,AOC,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money deposit (as Schedule-F.),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,126564,Arun Hetta,02-Aug-2019 08:04 AM,Rejected-Finance,Non Responsive,24-Oct-2019 02:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,126576,Ashok Kumar,02-Aug-2019 05:40 PM,Rejected-Finance,Non Responsive,24-Oct-2019 02:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,126565,Indu Verma,02-Aug-2019 07:36 AM,Rejected-Finance,Non Responsive,24-Oct-2019 02:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand (as per Performa given in General Rule No-19).,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,126405,MANOJ SHARMA,31-Jul-2019 02:25 PM,Rejected-Finance,Non Responsive,24-Oct-2019 02:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery, Tools and plants (as per Schedule-F with reference to clause-18).",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,126561,Mohinder Verma,01-Aug-2019 11:36 PM,Rejected-Finance,Non Responsive,24-Oct-2019 02:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,126626,Rajesh Sharma,02-Aug-2019 05:33 PM,Rejected-Finance,Non Responsive,24-Oct-2019 02:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,126563,Rajesh Verma,01-Aug-2019 11:57 PM,Rejected-Finance,Non Responsive,24-Oct-2019 02:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,126585,Rakesh Kumar Sharma,02-Aug-2019 01:47 PM,Rejected-Finance,Non Responsive,24-Oct-2019 02:22 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,AOC
