S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,DD - Demand Draft,500.0,"Executive Engineer, Chamba Division HPPWD Chamba",chamba,No,PWD,No.PWC- WA-II/ Cont-2818-918 dated 10.06.2019,2019_PWD_29674_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Corrigendum,Other,,"29,140",No,fixed,,Executive Engineer Chamba Division HPPWD Chamba,Chamba,"Executive Engineer, Chamba Division HPPWD Chamba","Executive Engineer, Chamba Division HPPWD Chamba",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form ( as per schedule F ),27-Jun-2019 10:00 AM,10-Jul-2019 11:30 AM,27-Jun-2019 10:00 AM,09-Jul-2019 05:00 PM,NA ,NA ,27-Jun-2019 10:00 AM,09-Jul-2019 05:00 PM,15-Jul-2019 11:30 AM,AMP on various roads of Chamba Division,AMP on various roads of Chamba Division,Please refer Tender documents. ,NA ,"14,56,892",Civil Works,NA ,Tender,60.0,60.0,Chamba,176310.0,NA ,NA ,NA ,"Executive Engineer, Chamba Division HPPWD Chamba",No ,No,AOC,Executive Engineer,Internal,Assistant Engineer Superintendent and Senior Assistant,Inder Singh Uttam,12-Jul-2019 01:23 PM,15-Jul-2019 11:30 AM,techsummary_42908.pdf (251.92 KB),PWD,2019_PWD_29674_1,No.PWC- WA-II/ Cont-2818-918 dated 10.06.2019,AMP on various roads of Chamba Division,26-Oct-2019,"INR 1,456,892",60.0,Inder Singh Uttam,26-Oct-2019 04:57 PM,3.AOC5482.pdf (257.00 KB),AMP on various roads of Chamba Division,EE,Internal,AE Superintendent and Senior Assistant,Inder Singh Uttam,26-Oct-2019 04:55 PM,finsummary_42908.pdf (90.07 KB),1.0,124085.0,Avinash Dhiman,09-Jul-2019 12:07 PM,Rejected-AOC,l2,26-Oct-2019 04:57 PM,Technical,Bid opening Summary,Inder Singh Uttam,12-Jul-2019 12:59 PM,technical_42908.pdf,Finance,Bid opening Summary,Inder Singh Uttam,26-Oct-2019 04:52 PM,finance_42908.pdf,BOQ Comparative Chart,1.0,124086.0,R P Dhiman,INR,"2,875,303",AOC
2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( as per schedule F ),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,123809.0,Manesh Mehta,09-Jul-2019 04:31 PM,Rejected-Technical,Non Responsive,12-Jul-2019 01:23 PM,,,,,,,,,,,,,,,,,AOC
3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,124086.0,R P Dhiman,09-Jul-2019 12:15 PM,Accepted-AOC,L1,26-Oct-2019 04:57 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done at least one similar work 40 percent estimated value work without L.D. in last five year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Own Mini Hot mix plant paver finisher and Road Roller documentary proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
