Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
07-Oct-2019,"INR 1,580,808",180.0,Yogesh Sharma,07-Oct-2019 11:10 AM,34.pdf (201.00 KB),AOC,Er KS Pal,Internal,Suptt DAO DHD TA,Yogesh Sharma,07-Oct-2019 11:08 AM,finsummary_40701.pdf (169.62 KB),Er KS Pal,Internal,Suptt DOA DHD TA,Kamal Singh Pal,27-Jun-2019 02:02 PM,27-Jun-2019 02:10 PM,techsummary_40701.pdf (231.47 KB),PWD,2019_PWD_28367_1,PW.CHD-CB-E-9/18- 14779-878 DT 14.2.19,"C/O Link road From Ajeetpur to Garha Bawara Km,. 0/0 to 5/0",Technical,Bid Opening Summary,Kamal Singh Pal,27-Jun-2019 01:59 PM,technical_40701.pdf,1.0,118533.0,Ashish Kumar,14-Mar-2019 04:32 PM,Rejected-AOC,Rejected,07-Oct-2019 11:10 AM,1.0,118530.0,Jai Lal Chauhan,INR,"1,580,808",Finance,Bid Opening Summary,Yogesh Sharma,07-Oct-2019 11:03 AM,finance_40701.pdf,BOQ Comparative Chart,AOC,PWD,PW.CHD-CB-E-9/18- 14779-878 DT 14.2.19,2019_PWD_28367_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"C/O Link road From Ajeetpur to Garha Bawara Km,. 0/0 to 5/0",SH Cutting in earth work between Km. RDs. 1/480 to 2/510,Please refer Tender documents. ,NA ,"9,71,240",Civil Works - Roads,NA ,Tender,120.0,180.0,CHOPAL,171211.0,NA ,NA ,NA ,CHOPAL,No ,No,500.0,EE CHOPAL,CHOPAL,No,"19,500",No,fixed,,EE CHOPAL,CHOPAL,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),EE CHOPAL,HPPWD CHOPAL,1.0,DD - Demand Draft,09-Mar-2019 06:00 PM,16-Mar-2019 11:30 AM,09-Mar-2019 06:00 PM,15-Mar-2019 11:00 AM,NA ,NA ,09-Mar-2019 06:00 PM,15-Mar-2019 11:00 AM,27-Jun-2019 02:10 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,118123.0,Bharat Bhushan Govt. Contractor,11-Mar-2019 10:28 PM,Rejected-Technical,Non Responsive,27-Jun-2019 02:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,118530.0,Jai Lal Chauhan,14-Mar-2019 04:25 PM,Accepted-AOC,Accepted,07-Oct-2019 11:10 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,118485.0,Mohan Lal,14-Mar-2019 12:59 PM,Rejected-Technical,Non Responsive,27-Jun-2019 02:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,AOC
