EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"1,78,218",Yes,percentage,2.0%,"The Executive Engineer, Barpeta W.R. Division",Barpeta,1.0,DD - Demand Draft,22-Jan-2019 06:00 PM,04-Feb-2019 02:00 PM,22-Jan-2019 06:05 PM,02-Feb-2019 02:00 PM,NA ,NA ,28-Jan-2019 09:00 AM,02-Feb-2019 02:00 PM,07-Mar-2019 11:25 AM,IM at 9th km Mairambhitha,Immediate measures for restoration of breach like damages on R/B of river Pohumara at 9th km Mairambhitha under SDRF for 2018-19.,Please refer Tender documents. ,NA ,"89,10,915",Civil Works,NA ,Tender,180.0,60.0,BARPETA,781301.0,NA ,NA ,NA ,GUWAHATI,No ,No,1.0,Fee,.pdf,FEE,"Chief Engineer,W.R.Deptt",O/O Chief Engineer Water Resources Department Chandmari,Department of Water Resources||Chief Engineer - DoWR,BARPETA/2018-19/SDRF/VIII,2019_DoWR_11282_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,"2,000","The Executive Engineer, Barpeta W. R. Division",Barpeta,No,AOC,Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11282_1,BARPETA/2018-19/SDRF/VIII,IM at 9th km Mairambhitha,23-Sep-2019,INR 8910915.62,60.0,Jayanta Kumar Barman,23-Sep-2019 03:09 PM,mairambhitha.pdf (10537.00 KB),Name of Work Immediate measures for restoration of breach like damages on R/B of river Pohumara at 9th km Mairambhitha under SDRF for 2018-19.,Finance,Updated CS may be prepared,Jayanta Kumar Barman,07-Mar-2019 05:45 PM,,BOQ Comparative Chart,1,53784,APURBA BARUA,01-Feb-2019 03:07 PM,Accepted-AOC,PROPER,23-Sep-2019 03:09 PM,R. SARMA,Internal,"G.C. SARMA, P. GOSWAMI",Jayanta Kumar Barman,23-Sep-2019 03:04 PM,finsummary_17940.pdf (54.63 KB),R. SARMA,Internal,"G.C. SARMA, P. GOSWAMI",Jayanta Kumar Barman,07-Mar-2019 11:20 AM,07-Mar-2019 11:25 AM,techsummary_17940.pdf (54.63 KB),Technical,Financial bid of the successful bidder may be opened,Jayanta Kumar Barman,07-Mar-2019 11:01 AM,technical_17940.pdf,1.0,53638.0,BIKASH TALUKDAR,INR,796788.07,AOC
,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,53662,ASHOK KR DAS,01-Feb-2019 03:49 PM,Accepted-AOC,PROPER,23-Sep-2019 03:09 PM,,,,,,,,,,,,,,,,,,,2.0,53662.0,ASHOK KR DAS,INR,792562.0,AOC
,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,53935,ASRAFUL HOQUE,02-Feb-2019 12:52 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,07-Mar-2019 11:01 AM,,,,,,,,,,,,,,,,,,,3.0,53729.0,SRI PRANJIT KR DAS,INR,796471.08,AOC
,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,4,53919,BHABEN BORO,02-Feb-2019 12:20 PM,Accepted-AOC,PROPER,23-Sep-2019 03:09 PM,,,,,,,,,,,,,,,,,,,4.0,53784.0,APURBA BARUA,INR,828775.41,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,5,53638,BIKASH TALUKDAR,01-Feb-2019 07:26 PM,Accepted-AOC,PROPER,23-Sep-2019 03:09 PM,,,,,,,,,,,,,,,,,,,5.0,53824.0,RAJIB KUMAR CHOUDHURY,INR,795641.02,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,6,53941,Champak Pathak,02-Feb-2019 01:57 PM,Accepted-AOC,PROPER,23-Sep-2019 03:09 PM,,,,,,,,,,,,,,,,,,,6.0,53863.0,GAJIUL ALAM,INR,797168.2,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,7,53921,DIMBESWAR PATGIRI-BANAJIT THAKURIA JV,02-Feb-2019 11:53 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,07-Mar-2019 11:01 AM,,,,,,,,,,,,,,,,,,,7.0,53885.0,RABEN MEDHI,INR,797090.76,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,8,53863,GAJIUL ALAM,01-Feb-2019 10:16 PM,Accepted-AOC,PROPER,23-Sep-2019 03:09 PM,,,,,,,,,,,,,,,,,,,8.0,53919.0,BHABEN BORO,INR,817631.88,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,9,53736,KANTESWAR BARO,01-Feb-2019 11:10 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,07-Mar-2019 11:01 AM,,,,,,,,,,,,,,,,,,,9.0,53941.0,Champak Pathak,INR,795832.9,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,10,53814,MOON MOON RAY,01-Feb-2019 06:20 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,07-Mar-2019 11:01 AM,,,,,,,,,,,,,,,,,,,10.0,53942.0,Sri Nitya Nath,INR,801417.21,AOC
