Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee,.pdf,Cost of Tender and EMD,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","O/o the Additional Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh - 05","5,000","The Executive Engineer, Jorhat W.R. Division",Jorhat,No,Department of Water Resources||Chief Engineer - DoWR,JOR/RIDF/2018-19/JHANJIMUKH/1,2019_DoWR_11468_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,Fortification of Brahmaputra Dyke from Jhanjimukh to Neamati Ph-I from Ch.2000 m to 9550 m (Under NABARD RIDF - XXIV) (Package 1),Fortification of Brahmaputra Dyke from Jhanjimukh to Neamati Ph-I from Ch.2000 m to 9550 m (Under NABARD RIDF - XXIV) (Package 1),Please refer Tender documents. ,NA ,"1,91,80,546",Civil Works,NA ,Tender,180.0,180.0,Jorhat,785001.0,NA ,NA ,NA ,Dibrugarh,No ,No,28-Jan-2019 06:00 PM,19-Feb-2019 02:00 PM,28-Jan-2019 06:05 PM,18-Feb-2019 02:00 PM,NA ,NA ,13-Feb-2019 10:00 AM,18-Feb-2019 02:00 PM,01-Mar-2019 04:05 PM,1.0,DD - Demand Draft,"3,83,611",Yes,percentage,2.0%,"The Executive Engineer, Jorhat W.R. Division",Jorhat,AOC,1.0,55135.0,SRI SUDIP KUMAR DAS,INR,2876922.52,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Director, Design and Planning, Dy. Director, Design and Planning, EE, Jorhat WR Division AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,01-Mar-2019 04:00 PM,01-Mar-2019 04:05 PM,techsummary_18166.pdf (754.57 KB),Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11468_1,JOR/RIDF/2018-19/JHANJIMUKH/1,Fortification of Brahmaputra Dyke from Jhanjimukh to Neamati Ph-I from Ch.2000 m to 9550 m (Under NABARD RIDF - XXIV) (Package 1),Technical,Financial Bid of the successful bidders may be opened.,Joy Sekhar Chakraborty,01-Mar-2019 03:59 PM,technical_18166.pdf,Finance,Updated CS may be prepared.,Joy Sekhar Chakraborty,01-Mar-2019 04:13 PM,finance_18166.pdf,BOQ Comparative Chart,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Director, Design and Planning, Dy. Director, Design and Planning, EE, Jorhat WR Division AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh, Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,01-Mar-2019 04:16 PM,finsummary_18166.pdf (754.57 KB),23-Sep-2019,INR 19180545.81,180.0,Joy Sekhar Chakraborty,23-Sep-2019 04:03 PM,JHANJHI.pdf (2586.00 KB),Fortification of Brahmaputra Dyke from Jhanjimukh to Neamati Ph-I from Ch.2000 m to 9550 m (Under NABARD RIDF - XXIV) (Package 1),1,55725,Kishur Konwar,18-Feb-2019 11:29 AM,Accepted-AOC,PROPER,23-Sep-2019 04:03 PM,AOC
2.0,PreQual/Technical,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,AOC,2.0,55296.0,Sri Hemanta Phukan,INR,2876922.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55724,Md Gafur,18-Feb-2019 12:19 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,23-Sep-2019 04:03 PM,AOC
3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,AOC,3.0,55313.0,M/S TINI VAI SUPPLY AND CONSTRUCTION,INR,2876922.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,55697,MOHAN CH DAS,18-Feb-2019 07:45 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,01-Mar-2019 03:59 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,AOC,4.0,55449.0,Sailendra Kalita,INR,2876922.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,55156,M/S B. L. AGARWALA,14-Feb-2019 06:20 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,01-Mar-2019 03:59 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,,,,,,,AOC,5.0,55725.0,Kishur Konwar,INR,2876922.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,55637,M/s KALITA CONSTRUCTION,17-Feb-2019 01:20 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,23-Sep-2019 04:03 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,55313,M/S TINI VAI SUPPLY AND CONSTRUCTION,14-Feb-2019 08:23 PM,Accepted-AOC,PROPER,23-Sep-2019 04:03 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,55689,RAJANI CHETIA,18-Feb-2019 12:55 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,23-Sep-2019 04:03 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,55694,Rana Kumar Dutta,17-Feb-2019 09:24 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,23-Sep-2019 04:03 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,55312,Rizwan Ansari,16-Feb-2019 09:37 PM,Not Admitted-Fee,Insufficient Fee amount,01-Mar-2019 11:49 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,55449,Sailendra Kalita,15-Feb-2019 09:28 PM,Accepted-AOC,PROPER,23-Sep-2019 04:03 PM,AOC
