Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11328_1,SIV/SDRF/2018-19/KOBORSTHAN/1,Immediate measures to Dikhow Bund right bank from AT road to NH-37 bridge to restore the breach like damages at Sensua Koborsthan for 2018-19 (Package 1),Technical,Financial Bid of the successful bidders may be opened.,Joy Sekhar Chakraborty,08-Mar-2019 01:34 PM,technical_17989.pdf,1,53800,BALI MAUT,01-Feb-2019 05:09 PM,Accepted-AOC,Proper,27-Sep-2019 02:20 PM,AOC,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","O/o the Additional Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh - 05","1,000","The Executive Engineer, Sivasagar W.R. Division",Sivasagar,No,1.0,Fee,.pdf,Cost of Tender and EMD,1.0,DD - Demand Draft,Department of Water Resources||Chief Engineer - DoWR,SIV/SDRF/2018-19/KOBORSTHAN/1,2019_DoWR_11328_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,Immediate measures to Dikhow Bund right bank from AT road to NH-37 bridge to restore the breach like damages at Sensua Koborsthan for 2018-19 (Package 1),Immediate measures to Dikhow Bund right bank from AT road to NH-37 bridge to restore the breach like damages at Sensua Koborsthan for 2018-19 (Package 1),Please refer Tender documents. ,NA ,"49,81,772",Civil Works,NA ,Tender,180.0,60.0,Sivasagar,787055.0,NA ,NA ,NA ,Dibrugarh,No ,No,"99,635",Yes,percentage,2.0%,"The Executive Engineer, Sivasagar W.R. Division",Sivasagar,23-Jan-2019 06:00 PM,04-Feb-2019 02:00 PM,23-Jan-2019 06:05 PM,02-Feb-2019 02:00 PM,NA ,NA ,28-Jan-2019 10:00 AM,02-Feb-2019 02:00 PM,08-Mar-2019 01:40 PM,AOC
,,,,,,,,,2,53797,Bibhuti Phukan,01-Feb-2019 04:12 PM,Accepted-AOC,Proper,27-Sep-2019 02:20 PM,AOC,,,,,,,2.0,PreQual/Technical,.pdf,Technical Documents,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,53770,DEVA BARUAH,02-Feb-2019 09:20 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,08-Mar-2019 01:34 PM,AOC,,,,,,,3.0,Finance,.xls,BOQ,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,53700,DILIP GOGOI,01-Feb-2019 10:39 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,08-Mar-2019 01:34 PM,AOC,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,53654,JYOTI PRASAD KALITA,31-Jan-2019 07:49 PM,Accepted-AOC,Proper,27-Sep-2019 02:20 PM,AOC,,,,,,,,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,53457,M/S ALI BROTHERS,02-Feb-2019 12:23 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,08-Mar-2019 01:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,53466,M/S EAST INDIA CONSTRUCTION,31-Jan-2019 09:32 PM,Accepted-AOC,Proper,27-Sep-2019 02:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,53511,NAYAN KAKOTY,01-Feb-2019 06:11 PM,Accepted-AOC,Proper,27-Sep-2019 02:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,53440,PRATUL HAZARIKA,01-Feb-2019 05:35 PM,Accepted-AOC,Proper,27-Sep-2019 02:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,53839,RUPAM KONWAR,02-Feb-2019 11:59 AM,Rejected-AOC,Not qualified for AOC,27-Sep-2019 02:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
