Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
04-Oct-2019,"INR 222,123",60.0,Rattan Kumar Sharma,04-Oct-2019 12:27 PM,33.pdf (1775.00 KB),AOC,Executive Engineer,Internal,TENDER ASSISTANT SUPERINTENDENT G-II HDM DAO,Rattan Kumar Sharma,04-Oct-2019 12:20 PM,finsummary_43740.pdf (498.51 KB),Executive Engineer,Internal,Superintendent G-II HDM DAO,Rattan Kumar Sharma,21-Aug-2019 02:47 PM,21-Aug-2019 03:00 PM,techsummary_43740.pdf (617.43 KB),PWD,2019_PWD_30355_3,2499-2550 DATED 16.07.2019,C/O Cross Drainage work on Nohra Hindga Bandal Road km. 0/00 to 5/600,Finance,SUMMARY,Rattan Kumar Sharma,25-Aug-2019 11:01 AM,finance_43740.pdf,BOQ Comparative Chart,1.0,127046.0,Bhim Singh,INR,"327,743",Technical,Summary,Rattan Kumar Sharma,09-Aug-2019 12:40 PM,technical_43740.pdf,1.0,127046.0,Bhim Singh,07-Aug-2019 02:40 PM,Accepted-AOC,AOC,04-Oct-2019 12:27 PM,AOC,25-Jul-2019 04:30 PM,08-Aug-2019 02:00 PM,25-Jul-2019 05:00 PM,07-Aug-2019 05:00 PM,NA ,NA ,25-Jul-2019 05:00 PM,07-Aug-2019 05:00 PM,21-Aug-2019 03:00 PM,"4,500",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",Sangrah,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,1.0,DD - Demand Draft,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",C/O Cross Drainage work on Nohra Hindga Bandal Road km. 0/00 to 5/600,C/O 900 mm dia hume Pipe Culvert at RD 4/945 with wing wall both side).Under MNP,Please refer Tender documents. ,NA ,"2,22,123",Civil Works,NA ,Tender,90.0,60.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,350.0,"Executive Engineer, HPPWD Division Sangrah",Sangrah,No,PWD,2499-2550 DATED 16.07.2019,2019_PWD_30355_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,127041.0,Sunil Chauhan,07-Aug-2019 02:57 PM,Rejected-Finance,NOT THE LOWEST BIDDER,04-Oct-2019 12:20 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,127088.0,VIJAY KUMAR,07-Aug-2019 04:46 PM,Rejected-Finance,NOT THE LOWEST BIDDER,04-Oct-2019 12:20 PM,AOC,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,GST NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,"LIST OF MACHINERY, TOOL, PLANT AS PER SBD CONDITIONS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,FORM NO 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
