Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,Karluhi to Athmah road under Bharwain Division,2019_PWD_29632_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,AR and MO Karluhi to Athmah road km 000 to 4635 SH Providing and fixing interlocking paver block at RD 1655 to 1715 to 4555 to 4635,AR and MO Karluhi to Athmah road km 000 to 4635 SH Providing and fixing interlocking paver block at RD 1655 to 1715 to 4555 to 4635,Tender documents ,NA ,"9,52,258",Civil Works,Road ,Tender,120.0,90.0,Bharwain,177109.0,NA ,NA ,NA ,Bharwain,No ,No,"19,100",No,fixed,,EE Bharwain,PNB at Amb,Executive Engneer,Division HPPWD Bharwain,26-Jun-2019 12:00 PM,02-Jul-2019 11:30 AM,26-Jun-2019 12:00 PM,01-Jul-2019 06:00 PM,NA ,NA ,26-Jun-2019 12:00 PM,01-Jul-2019 06:00 PM,15-Jul-2019 03:05 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of form as indicated in scheduled (F),350.0,EE Bharwain,PNB at Amb,No,AOC,Er.H.L. Sharma,Internal,Proceeding Attached,Harbans Lal Sharma,15-Jul-2019 03:01 PM,15-Jul-2019 03:05 PM,techsummary_42862.pdf (3624.38 KB),PWD,2019_PWD_29632_1,Karluhi to Athmah road under Bharwain Division,AR and MO Karluhi to Athmah road km 000 to 4635 SH Providing and fixing interlocking paver block at RD 1655 to 1715 to 4555 to 4635,30-Aug-2019,"INR 952,258",90.0,Harbans Lal Sharma,03-Oct-2019 04:17 PM,SurinderkumarAW5958dt3082019.PDF (362.00 KB),AW No. 5958-66 dated 30-08-2019,Er.H.L. Sharma,Internal,Proceeding attached,Harbans Lal Sharma,26-Jul-2019 06:20 PM,finsummary_42862.pdf (892.90 KB),1.0,123364.0,Surinder Kumar,INR,"1,283,820",Finance,Proceeding attached,Harbans Lal Sharma,26-Jul-2019 06:18 PM,finance_42862.pdf,BOQ Comparative Chart,1.0,123369.0,Manu Sharma,30-Jun-2019 09:52 PM,Rejected-AOC,ok,03-Oct-2019 04:17 PM,Technical,Proceeding attached,Harbans Lal Sharma,15-Jul-2019 02:59 PM,technical_42862.pdf,AOC
,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in scheduled F),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,123364.0,Surinder Kumar,01-Jul-2019 05:24 PM,Accepted-AOC,ok,03-Oct-2019 04:17 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number Registration / GST Number Registration,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration (General Rule No. 23),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and Work in hand certificate General Rule No.19(Shown in scheduled F),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machineries Tool plants Indicated in schedule-F),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 7 and 8 duly signed(Refer General Rules No.26.7),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. list of both Gazetted officer and NGO serving as HPPWD employee related to him (Gener,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit reg. (i) information furnished is correct (ii) as per Bid capacity,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An undertaking that before submission of bid the site been visited,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
