S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,DD - Demand Draft,IM at Taparvita,Immediate measures for restoration of B/dyke from Kharmuza to Beldubi at Taparvita area under SDRF for 2017-18,Please refer Tender documents. ,NA ,"1,98,02,122",Civil Works,NA ,Tender,180.0,60.0,GOALPARA,783101.0,NA ,NA ,NA ,Guwahati,No ,No,"10,000","The Executive Engineer, Goalpara WR Division",Goalpara,No,Department of Water Resources||Chief Engineer - DoWR,GOALPARA/SDRF/2017-18/II/3,2018_DoWR_8534_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,1.0,Fee,.pdf,COST OF TENDER AND EMD,08-Sep-2018 06:45 PM,19-Sep-2018 02:00 PM,08-Sep-2018 06:45 PM,18-Sep-2018 02:00 PM,NA ,NA ,13-Sep-2018 10:00 AM,18-Sep-2018 02:00 PM,22-Sep-2018 02:45 PM,"3,96,042",Yes,percentage,2.0%,"The Executive Engineer, Goalpara WR Division",Goalpara,"Chief Engineer,W.R.Deptt",O/O Chief Engineer Water Resources Department Chandmari,AOC,19-Sep-2019,INR 19802122.2,60.0,Jayanta Kumar Barman,19-Sep-2019 04:13 PM,document_1611_1.PDF (960.00 KB),Name of Work Immediate measures for restoration of B/dyke from Kharmuza to Beldubi at Taparvita area under SDRF for 2017-18.,A.Kalita,Internal,"G.C.Sharma, P.K.Das",haimanti mandal,22-Sep-2018 02:41 PM,22-Sep-2018 02:45 PM,techsummary_12830.pdf (54.63 KB),1,41357,ANKUR DUTTA,17-Sep-2018 01:02 AM,Not Admitted-Fee,Fee not received,21-Sep-2018 04:59 PM,Technical,Financial bid of the successful bidder may be opened,Priyanka Bora,22-Sep-2018 02:34 PM,technical_12830.pdf,R. SARMA,Internal,"G.C. SARMA, S. SARMA",Jayanta Kumar Barman,19-Sep-2019 04:05 PM,finsummary_12830.pdf (54.63 KB),Department of Water Resources||Chief Engineer - DoWR,2018_DoWR_8534_1,GOALPARA/SDRF/2017-18/II/3,IM at Taparvita,Finance,Updated CS may be prepared,Priyanka Bora,24-Sep-2018 06:15 PM,finance_12830.pdf,BOQ Comparative Chart,1.0,41400.0,Ashok Kumar Jain,INR,3617907.19,AOC
2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,41400,Ashok Kumar Jain,18-Sep-2018 09:04 AM,Accepted-AOC,PROPER,19-Sep-2019 04:13 PM,,,,,,,,,,,,,,,,,,,,,,2.0,41406.0,Mainul Haque,INR,3617901.5,AOC
3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,3,41372,Gokul Chandra Saha,18-Sep-2018 12:16 PM,Not Admitted-Fee,Fee not received,21-Sep-2018 04:59 PM,,,,,,,,,,,,,,,,,,,,,,3.0,41409.0,Nuruddin,INR,3617907.19,AOC
4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,4,41385,KHANDAKAR JIYAUR RAHMAN,17-Sep-2018 04:18 PM,Rejected-AOC,Not Qualified for AOC,19-Sep-2019 04:13 PM,,,,,,,,,,,,,,,,,,,,,,4.0,41425.0,SULTAN MAMUD,INR,3617907.19,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,5,41406,Mainul Haque,17-Sep-2018 08:17 PM,Accepted-AOC,PROPER,19-Sep-2019 04:13 PM,,,,,,,,,,,,,,,,,,,,,,5.0,41466.0,Zahirul Islam,INR,3349291.1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,6,41403,Manik Lal Saha,17-Sep-2018 08:52 PM,Rejected-AOC,Not Qualified for AOC,19-Sep-2019 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,7,41405,M.H. CONSTRUCTION,18-Sep-2018 11:03 AM,Not Admitted-Finance,Price Bid not complied,24-Sep-2018 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,8,41409,Nuruddin,17-Sep-2018 08:53 PM,Accepted-AOC,PROPER,19-Sep-2019 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,9,41433,Rabindra Chhawchharia,18-Sep-2018 11:40 AM,Rejected-AOC,Not Qualified for AOC,19-Sep-2019 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,10,41435,SANOWAR ALOM,18-Sep-2018 01:08 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,22-Sep-2018 02:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
