Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
25-Jun-2018 06:00 PM,05-Jul-2018 02:05 PM,25-Jun-2018 06:05 PM,05-Jul-2018 02:00 PM,NA ,NA ,30-Jun-2018 10:00 AM,05-Jul-2018 02:00 PM,06-Sep-2018 10:45 AM,"Chief Engineer,W.R.Deptt",O/O Chief Engineer Water Resources Department Chandmari,I M at Holongbari,Immediate measures for restoration of breach like damage of R/B embankment of river Rupahi at Holongbari under SDRF for 2017-18.,Please refer Tender documents. ,NA ,"97,02,019",Civil Works,NA ,Tender,180.0,60.0,Barpeta,781301.0,NA ,NA ,NA ,Guwahati,No ,No,1.0,Fee,.pdf,Cost of Tender and EMD,"2,000","The Executive Engineer, Barpeta WR Division",Barpeta,No,Department of Water Resources||Chief Engineer - DoWR,BARPETA/SDRF/17-18/II/2,2018_DoWR_7717_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,"1,94,040",Yes,percentage,2.0%,"The Executive Engineer, Barpeta WR Division",Barpeta,1.0,DD - Demand Draft,AOC,1,38177,ABBASUZ ZAMAN,04-Jul-2018 11:26 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,05-Sep-2018 12:20 PM,Department of Water Resources||Chief Engineer - DoWR,2018_DoWR_7717_1,BARPETA/SDRF/17-18/II/2,I M at Holongbari,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC,2,38174,APURBA BARUA,04-Jul-2018 10:52 PM,Accepted-AOC,PROPER,19-Sep-2019 03:26 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,AOC,3,38212,Champak Pathak,05-Jul-2018 01:25 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,05-Sep-2018 12:20 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,AOC,4,38187,DILNUR ALI,05-Jul-2018 06:29 AM,Rejected-AOC,Not Qualified for AOC,19-Sep-2019 03:26 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,AOC,5,38163,Dimbeswar Patgiri,05-Jul-2018 01:36 PM,Accepted-AOC,PROPER,19-Sep-2019 03:26 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,38215,Gurupad Das,05-Jul-2018 01:46 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,05-Sep-2018 12:20 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,38207,M/S Kusumbar Construction,05-Jul-2018 11:49 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,05-Sep-2018 12:20 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,38198,Pulin Saikia,05-Jul-2018 09:33 AM,Not Admitted-Fee,Fee not received,29-Aug-2018 02:05 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,38210,RAJIB KUMAR CHOUDHURY,05-Jul-2018 12:42 PM,Accepted-AOC,PROPER,19-Sep-2019 03:26 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,38214,RANJAN DAS-M/S RSANZARANG-JV,05-Jul-2018 01:25 PM,Not Admitted-Fee,Fee not received,29-Aug-2018 02:05 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,38201,Sri Nirendu Roy,05-Jul-2018 08:28 AM,Accepted-AOC,PROPER,19-Sep-2019 03:26 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,38171,SRI PRANJIT KR DAS,05-Jul-2018 10:20 AM,Accepted-AOC,PROPER,19-Sep-2019 03:26 PM,,,,,AOC
