S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,DD - Demand Draft,EE Hamirpur,Executive Engineer HPPWD Hamirpur,"46,700",Yes,fixed,,EE Hamirpur,EE Hamirpur,S/R to Ravi Hostal of Sainik School Sujanpur Tihra,SH Replacement of old Corrugated Sheet roofing and Providing and Fixing prepainted sheet roofing A.C. ceiling and steel work etc,Please refer Tender documents. ,NA ,"26,08,673",Civil Works - Buildings,NA ,Tender,60.0,90.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,PWD,S/R to Ravi Hostal of Sainik School Sujanpur Tihra,2019_PWD_28114_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,05-Mar-2019 06:00 PM,12-Mar-2019 03:00 PM,05-Mar-2019 06:00 PM,12-Mar-2019 10:30 AM,NA ,NA ,05-Mar-2019 06:00 PM,12-Mar-2019 10:30 AM,19-Mar-2019 10:00 AM,"1,500",EE Hamirpur,EE Hamirpur,No,1.0,Fee/PreQual/Technical,.pdf,Registration EPF No.,AOC,Finance,Attached,Vivek Sharma,25-May-2019 04:50 PM,finance_40192.pdf,BOQ Comparative Chart,1.0,118053.0,SAJEEV KUMAR GOVT.CONTRACTOR,INR,"2,892,071",1.0,118110.0,CONTINENTAL CONSTRUCTION CO.,11-Mar-2019 08:50 PM,Rejected-Technical,Rejected,18-Mar-2019 06:17 PM,Technical,Attached,Vivek Sharma,18-Mar-2019 05:58 PM,technical_40192.pdf,EE Hamirpur,Internal,SupdtSrDAOHDMAEtoEE,Vivek Sharma,18-Mar-2019 06:17 PM,19-Mar-2019 10:00 AM,techsummary_40192.pdf (140.92 KB),PWD,2019_PWD_28114_1,S/R to Ravi Hostal of Sainik School Sujanpur Tihra,S/R to Ravi Hostal of Sainik School Sujanpur Tihra,22-Jul-2019,"INR 2,608,673",90.0,Swaroop Kumar,09-Oct-2019 01:06 PM,SanjayRavihostelsainikschool.pdf (389.00 KB),AOC,EEHamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,27-May-2019 09:43 AM,finsummary_40192.pdf (585.44 KB),AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,AOC,,,,,,,,,,,,2.0,118053.0,SAJEEV KUMAR GOVT.CONTRACTOR,11-Mar-2019 06:05 PM,Accepted-AOC,Lowest,09-Oct-2019 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,AOC,,,,,,,,,,,,3.0,118023.0,Yash Paul,11-Mar-2019 04:23 PM,Rejected-AOC,Higher,09-Oct-2019 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD and similar work done 40 Percent,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
