Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage
23-Sep-2019,INR 14135862.42,60.0,Joy Sekhar Chakraborty,23-Sep-2019 12:59 PM,GOTONG.pdf (2061.00 KB),Immediate measures for restoration of Gotong Baligaon area up to Gelabeel outfall from the flood damages of river Gelabeel under S.D.R.F. For 2018-19.,1.0,54119.0,Sailendra Kalita,INR,2545678.36,Finance,Updated CS may be prepared,Joy Sekhar Chakraborty,25-Feb-2019 03:00 PM,finance_18145.pdf,BOQ Comparative Chart,Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11445_1,JOR/SDRF/2018-19/GOTONG/1,Immediate measures for restoration of Gotong Baligaon area up to Gelabeel outfall from the flood damages of river Gelabeel under S.D.R.F. For 2018-19.,Technical,Financial Bid of the successful bidders may be opened.,Joy Sekhar Chakraborty,25-Feb-2019 02:46 PM,technical_18145.pdf,1,54104,Akhil Kumar Jain,06-Feb-2019 09:47 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,23-Sep-2019 12:59 PM,"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Director, Design and Planning, Dy. Director, Design and Planning, AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh Accounts Officer, Dibrugarh WRD, DBR",Joy Sekhar Chakraborty,25-Feb-2019 03:04 PM,finsummary_18145.pdf (754.57 KB),"Addl. Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh",Internal,"Director, Design and Planning, Dy. Director, Design and Planning, AEE, Office of the Addl. Chief Engineer, UAZ, WRD, Dibrugarh",Joy Sekhar Chakraborty,25-Feb-2019 02:47 PM,25-Feb-2019 02:50 PM,techsummary_18145.pdf (754.57 KB),AOC,Immediate measures for restoration of Gotong Baligaon area up to Gelabeel outfall from the flood damages of river Gelabeel under S.D.R.F. For 2018-19.,Immediate measures for restoration of Gotong Baligaon area up to Gelabeel outfall from the flood damages of river Gelabeel under S.D.R.F. For 2018-19.,Please refer Tender documents. ,NA ,"1,41,35,862",Civil Works,NA ,Tender,180.0,60.0,Jorhat,785001.0,NA ,NA ,NA ,Dibrugarh,No ,No,"Addl. Chief Engineer, UAZ, W.R. Deptt., Dibrugarh","O/o the Additional Chief Engineer, Upper Assam Zone, Water Resources Department, Dibrugarh - 05",1.0,Fee,.pdf,Cost of Tender and EMD,"2,82,717",Yes,percentage,2.0%,"The Executive Engineer, Jorhat W.R. Division",Jorhat,Department of Water Resources||Chief Engineer - DoWR,JOR/SDRF/2018-19/GOTONG/1,2019_DoWR_11445_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,"5,000","The Executive Engineer, Jorhat W.R. Division",Jorhat,No,28-Jan-2019 09:00 AM,08-Feb-2019 02:00 PM,28-Jan-2019 09:00 AM,07-Feb-2019 02:00 PM,NA ,NA ,02-Feb-2019 10:00 AM,07-Feb-2019 02:00 PM,25-Feb-2019 02:50 PM,1.0,DD - Demand Draft,AOC
,,,,,,,2.0,54349.0,NILA SAIKIA,INR,2545678.36,,,,,,,,,,,,,,,,2,54111,Ashok Kumar Jain,06-Feb-2019 10:04 PM,Rejected-AOC,NOT QUALIFIED FOR AOC,23-Sep-2019 12:59 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC
,,,,,,,3.0,54408.0,BHASKAR SARMAH AND MRIDUL SAIKIA(JV),INR,2545678.36,,,,,,,,,,,,,,,,3,54408,BHASKAR SARMAH AND MRIDUL SAIKIA(JV),06-Feb-2019 01:40 PM,Accepted-AOC,PROPER,23-Sep-2019 12:59 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,AOC
,,,,,,,4.0,54482.0,BITUPON DUTTA,INR,2545678.36,,,,,,,,,,,,,,,,4,54482,BITUPON DUTTA,06-Feb-2019 09:46 PM,Accepted-AOC,PROPER,23-Sep-2019 12:59 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,AOC
,,,,,,,5.0,54504.0,SUBHASHIS DAS,INR,2538517.35,,,,,,,,,,,,,,,,5,54363,CHANDRAJIT HAZARIKA,06-Feb-2019 08:53 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,23-Sep-2019 12:59 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,54182,DEBA KANTA KALITA,05-Feb-2019 12:25 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,23-Sep-2019 12:59 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,54391,M/S B. L. AGARWALA,07-Feb-2019 11:55 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,23-Sep-2019 12:59 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,54515,M/S STAR CONSTRUCTIONS,07-Feb-2019 06:11 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,23-Sep-2019 12:59 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,54349,NILA SAIKIA,05-Feb-2019 09:17 PM,Accepted-AOC,PROPER,23-Sep-2019 12:59 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,54522,Pijus Das,07-Feb-2019 08:45 AM,Rejected-AOC,NOT QUALIFIED FOR AOC,23-Sep-2019 12:59 PM,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
