Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
25-Oct-2019,"INR 898,437",120.0,Dalip Singh Tomar,25-Oct-2019 11:04 AM,aoc.pdf (1797.00 KB),AOC,Er. P.K.Upreti,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,25-Oct-2019 11:01 AM,finsummary_43809.pdf (384.79 KB),Er. P.K. Upreti,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,07-Sep-2019 01:58 PM,07-Sep-2019 04:00 PM,techsummary_43809.pdf (714.08 KB),PWD,2019_PWD_30401_1,tender/2019-20 -1885-1934 dated 22.07.2019,"Construction of link road to Village Chiya Mimyana Km 0/0 to 1/900. (SH Providing and laying Grading II in Km 1/615 to 1/900 ,Grading III and 20 mm thick premix carpet in km 0/985 to 1/900).",Technical,Summary,Dalip Singh Tomar,07-Sep-2019 01:52 PM,technical_43809.pdf,1.0,128022.0,DALIP SINGH CONTRUCTOR,16-Aug-2019 07:16 PM,Accepted-AOC,L1,25-Oct-2019 11:04 AM,1.0,128022.0,DALIP SINGH CONTRUCTOR,INR,"1,183,261",Finance,Summary,Dalip Singh Tomar,25-Oct-2019 10:55 AM,finance_43809.pdf,BOQ Comparative Chart,AOC,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),1.0,DD - Demand Draft,"18,000",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,PWD,tender/2019-20 -1885-1934 dated 22.07.2019,2019_PWD_30401_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,24-Jul-2019 04:30 PM,19-Aug-2019 11:30 AM,24-Jul-2019 05:00 PM,17-Aug-2019 05:00 PM,NA ,NA ,24-Jul-2019 05:00 PM,17-Aug-2019 05:00 PM,07-Sep-2019 04:00 PM,"Construction of link road to Village Chiya Mimyana Km 0/0 to 1/900. (SH Providing and laying Grading II in Km 1/615 to 1/900 ,Grading III and 20 mm thick premix carpet in km 0/985 to 1/900).","Construction of link road to Village Chiya Mimyana Km 0/0 to 1/900. (SH Providing and laying Grading II in Km 1/615 to 1/900 ,Grading III and 20 mm thick premix carpet in km 0/985 to 1/900).",Please refer tender document ,NA ,"8,98,437",Civil Works - Roads,NA ,Tender,90.0,120.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,350.0,EE Paonta Sahib,Paonta Sahib,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,128098.0,GAGAN KUMAR,17-Aug-2019 11:56 AM,Rejected-Finance,L3,25-Oct-2019 11:01 AM,,,,,,,,,,,,AOC,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,128011.0,Ramesh Chand,16-Aug-2019 05:48 PM,Rejected-Finance,L2,25-Oct-2019 11:01 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plants as per schedule F Sr. No. 6.19 Ref.Clause No.18,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,R.C. and purchase bills along with proof of ownership/Affidavit hire basis.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
