Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
06-Oct-2019,"INR 1,911,365",90.0,Vivek Sharma,06-Oct-2019 01:48 PM,DhanpurAward.pdf (922.00 KB),Award,EE Hamirpur,Internal,SupdtSrDAOHDMAEtoEE,Vivek Sharma,06-Oct-2019 12:02 PM,finsummary_43733.pdf (596.80 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Dev Raj,04-Aug-2019 01:00 PM,05-Aug-2019 09:00 AM,techsummary_43733.pdf (1635.29 KB),PWD,2019_PWD_30354_1,C/O Balance work of Dhanpur Pathrian Karlooi,C/O Balance work of Dhanpur Pathrian Karlooi Dhamander road Km. 0/0 to 3/0,Technical,Attached,Dev Raj,04-Aug-2019 12:53 PM,None,1.0,Corrigendum,Corrigendum,04-Aug-2019 12:17 PM,DhanpurF.pdf ,1621.72,Technical Opening,1.0,126150.0,AJINDER THAKUR,28-Jul-2019 04:33 PM,Accepted-AOC,l1,06-Oct-2019 01:48 PM,1.0,126150.0,AJINDER THAKUR,INR,"1,911,365",Finance,Attached,Vivek Sharma,05-Oct-2019 06:02 PM,finance_43733.pdf,BOQ Comparative Chart,AOC,C/O Balance work of Dhanpur Pathrian Karlooi Dhamander road Km. 0/0 to 3/0,SH Prov and laying 80mm thick interlocking concrete block pavement U-Shape Drain V-Shape drain Protection work at various RDs Under NABARD RIDF-XIX,Please refer Tender documents. ,NA ,"15,48,822",Civil Works - Roads,NA ,Tender,90.0,90.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,Fee,.pdf,Earnest Money,PWD,C/O Balance work of Dhanpur Pathrian Karlooi,2019_PWD_30354_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,500.0,EE Hamirpur,EE Hamirpur,No,"30,800",No,fixed,,EE Hamirpur,EE Hamirpur,EE Hamirpur,Executive Engineer HPPWD Hamirpur,22-Jul-2019 06:00 PM,29-Jul-2019 03:00 PM,22-Jul-2019 06:00 PM,29-Jul-2019 10:30 AM,NA ,NA ,22-Jul-2019 06:00 PM,29-Jul-2019 10:30 AM,05-Aug-2019 09:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,126117.0,ASHWANI KUMAR GOVT. CONTRACTOR,27-Jul-2019 12:15 PM,Rejected-Technical,Rejected,04-Aug-2019 01:00 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,126145.0,MOHINDER PAL GOVT. CONTRACTOR,27-Jul-2019 06:59 PM,Rejected-AOC,l2,06-Oct-2019 01:48 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,126134.0,Pawangovcont,27-Jul-2019 03:00 PM,Rejected-Technical,Rejected,04-Aug-2019 01:00 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate shown in Schedule in SBD and similar work done 40 Percent as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,126128.0,RAMESH CHAND GOVT. CONTRACTOR,27-Jul-2019 02:28 PM,Rejected-Technical,Rejected,04-Aug-2019 01:00 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,126099.0,vinod kumar,27-Jul-2019 10:08 AM,Rejected-Technical,Rejected,04-Aug-2019 01:00 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,126131.0,Vishal,27-Jul-2019 02:45 PM,Rejected-Technical,Rejected,04-Aug-2019 01:00 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,126168.0,vishal govt contractor,28-Jul-2019 07:20 PM,Rejected-AOC,l3,06-Oct-2019 01:48 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Registration EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
