Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Department of Water Resources||Chief Engineer - DoWR,NALBARI/SDRF/2017-18/II/1,2018_DoWR_8361_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,IM at Chatemari,Immediate measures to restore of flood damages at Chatemari and its adjoining area due to diversion of channel of river Brahmaputra under SDRF for 2017-18,Please refer Tender documents. ,NA ,"2,08,72,606",Civil Works,NA ,Tender,180.0,60.0,Nalbari,781335.0,NA ,NA ,NA ,Guwahati,No ,No,27-Aug-2018 06:00 PM,06-Sep-2018 02:00 PM,27-Aug-2018 06:05 PM,05-Sep-2018 02:00 PM,NA ,NA ,31-Aug-2018 10:00 AM,05-Sep-2018 02:00 PM,09-Oct-2018 12:45 PM,"10,000","The Executive Engineer, Nalbari WR Division",Nalbari,No,1.0,DD - Demand Draft,"Chief Engineer,W.R.Deptt",O/O Chief Engineer Water Resources Department Chandmari,1.0,Fee,.pdf,Cost of Tender and EMD,"4,17,452",Yes,percentage,2.0%,"The Executive Engineer, Nalbari WR Division",Nalbari,AOC,A. Kalita,Internal,"G.C. Sarma, P. Patowary",Priyanka Bora,09-Oct-2018 12:44 PM,09-Oct-2018 12:45 PM,techsummary_12624.pdf (54.61 KB),Technical,Financial bid of the successful bidder may be opened,Priyanka Bora,09-Oct-2018 12:41 PM,technical_12624.pdf,Department of Water Resources||Chief Engineer - DoWR,2018_DoWR_8361_1,NALBARI/SDRF/2017-18/II/1,IM at Chatemari,1,40903,Ashok Kumar Agarwalla,05-Sep-2018 12:24 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-Oct-2018 12:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,2.0,PreQual/Technical,.pdf,Technical Documents,,,,,,,AOC,,,,,,,,,,,,,,,,,2,40932,Ashok Kumar Jain,05-Sep-2018 12:16 PM,Accepted-AOC,PROPER,20-Sep-2019 04:37 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,3.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,3,40921,Bipul Nath,05-Sep-2018 09:14 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-Oct-2018 12:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,4,40925,DILNUR ALI,05-Sep-2018 12:57 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-Oct-2018 12:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,5,40915,HEMEN KUMAR DUTTA,04-Sep-2018 05:56 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-Oct-2018 12:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,6,40857,JAYANTA KUMAR DUTTA,05-Sep-2018 11:38 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-Oct-2018 12:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,7,40911,LEON AND ASSOCIATES,04-Sep-2018 05:27 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-Oct-2018 12:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,8,40896,Rabindra Chhawchharia,05-Sep-2018 12:25 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-Oct-2018 12:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,9,40919,Sri Dhrubajyoti Kakati,05-Sep-2018 10:43 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-Oct-2018 12:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,10,40909,SUDIPANKURAN JV,04-Sep-2018 06:37 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-Oct-2018 12:41 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,11,40949,Taznur Ali,05-Sep-2018 01:52 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,09-Oct-2018 12:41 PM,AOC
