S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,56306.0,RAJIB KUMAR DEKA,INR,2071942.0,Department of Water Resources||Chief Engineer - DoWR,2019_DoWR_11705_1,PGP/2018-19/RIDF/I,Anti-erosion measures to protect Futuri area,23-Sep-2019,INR 21287517.46,180.0,Jayanta Kumar Barman,23-Sep-2019 11:21 AM,WO.pdf (4095.00 KB),Name of Work Anti-erosion measures to protect Futuri area at D/S of Land Spur No. 1 from erosion of river Brahmaputra,R. SARMA,Internal,"G.C. SARMA, A.M. MAZUMDAR",Jayanta Kumar Barman,02-Mar-2019 01:49 PM,02-Mar-2019 01:50 PM,techsummary_18531.pdf (54.63 KB),Finance,Updated CS may be prepared,Jayanta Kumar Barman,05-Mar-2019 11:49 AM,,BOQ Comparative Chart,1,56776,ANIL THAKURIA,27-Feb-2019 02:38 PM,Not Admitted-Fee,Fee not received,02-Mar-2019 11:31 AM,R. SARMA,Internal,"G.C. SARMA, P. BORAH",Jayanta Kumar Barman,23-Sep-2019 11:14 AM,finsummary_18531.pdf (54.63 KB),Technical,Financial bid of the successful bidder may be opened,Jayanta Kumar Barman,02-Mar-2019 01:48 PM,technical_18531.pdf,AOC,"5,000","The Executive Engineer, PGP W R Division",MIRZA,No,1.0,DD - Demand Draft,1.0,Fee,.pdf,FEE,"Chief Engineer,W.R.Deptt",O/O Chief Engineer Water Resources Department Chandmari,"4,25,750",Yes,percentage,2.0%,"The Executive Engineer, PGP W R Division",MIRZA,08-Feb-2019 06:00 PM,01-Mar-2019 02:00 PM,08-Feb-2019 06:05 PM,28-Feb-2019 02:00 PM,NA ,NA ,23-Feb-2019 09:00 AM,28-Feb-2019 02:00 PM,02-Mar-2019 01:50 PM,Department of Water Resources||Chief Engineer - DoWR,PGP/2018-19/RIDF/I,2019_DoWR_11705_1,Yes,Open Tender,Works,Works,3.0,No,No,Offline,No,No,No,Anti-erosion measures to protect Futuri area,Anti-erosion measures to protect Futuri area at D/S of Land Spur No. 1 from erosion of river Brahmaputra,Please refer Tender documents. ,NA ,"2,12,87,517",Civil Works,NA ,Tender,180.0,180.0,PGP,781125.0,NA ,NA ,NA ,GUWAHATI,No ,No,AOC
2.0,56368.0,Tarun Prasad Goswami-Farukar Rahman JV,INR,2326033.0,,,,,,,,,,,,,,,,,,,,,,,,,2,56672,Ashit Roy,26-Feb-2019 08:31 PM,Accepted-AOC,PROPER,23-Sep-2019 11:21 AM,,,,,,,,,,,,AOC,,,,,2.0,BC - Bankers Cheque,2.0,PreQual/Technical,.pdf,TECHNICAL DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,56672.0,Ashit Roy,INR,2071943.0,,,,,,,,,,,,,,,,,,,,,,,,,3,56792,DIGANTA DAS,27-Feb-2019 05:03 PM,Accepted-AOC,PROPER,23-Sep-2019 11:21 AM,,,,,,,,,,,,AOC,,,,,3.0,BG - Bank Guarantee Irrevocable,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,56681.0,Ram Chandra Agarwalla,INR,2072365.0,,,,,,,,,,,,,,,,,,,,,,,,,4,56722,DIVINE ASSOCIATES,27-Feb-2019 09:43 AM,Accepted-AOC,PROPER,23-Sep-2019 11:21 AM,,,,,,,,,,,,AOC,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,56690.0,SULTAN MAMUD,INR,2071942.0,,,,,,,,,,,,,,,,,,,,,,,,,5,56872,Krishna Kanta Das,28-Feb-2019 09:30 AM,Accepted-AOC,PROPER,23-Sep-2019 11:21 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,56722.0,DIVINE ASSOCIATES,INR,2072787.0,,,,,,,,,,,,,,,,,,,,,,,,,6,56306,RAJIB KUMAR DEKA,23-Feb-2019 06:38 PM,Accepted-AOC,PROPER,23-Sep-2019 11:21 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7.0,56773.0,Sri Dhrubajyoti Kakati,INR,2071943.0,,,,,,,,,,,,,,,,,,,,,,,,,7,56681,Ram Chandra Agarwalla,27-Feb-2019 09:30 AM,Accepted-AOC,PROPER,23-Sep-2019 11:21 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8.0,56792.0,DIGANTA DAS,INR,2327224.0,,,,,,,,,,,,,,,,,,,,,,,,,8,56773,Sri Dhrubajyoti Kakati,28-Feb-2019 09:54 AM,Accepted-AOC,PROPER,23-Sep-2019 11:21 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9.0,56872.0,Krishna Kanta Das,INR,2071520.0,,,,,,,,,,,,,,,,,,,,,,,,,9,56690,SULTAN MAMUD,26-Feb-2019 09:26 PM,Accepted-AOC,PROPER,23-Sep-2019 11:21 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,56368,Tarun Prasad Goswami-Farukar Rahman JV,24-Feb-2019 08:37 PM,Accepted-AOC,PROPER,23-Sep-2019 11:21 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
